rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,total_crossing_cost_twd,start,end,rank_net_pnl,rank_return_over_max_dd
1,1,780,2.0,0.0,14790,10.612121949227115,47,0.0027855861626385524,0.004166914935850934,6.9033641108750565,True,31,29,2,0.9354838709677419,450257.524368376,278441.08465401985,0.13922054232700984,-45263.77429920994,-0.02016705769694111,831.3445943606398,8981.970472710318,32886,0.405854693998445,171816.4397143561,135606.56510852976,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,28,33
2,2,390,2.5,0.5,14790,10.19772973291998,47,0.0023102267223105957,0.0035962624267310574,7.9766074219964205,True,37,30,7,0.8108108108108109,430736.95364524995,228450.88046335898,0.11422544023167948,-31288.180757138412,-0.01432005289826469,19.57810319755028,6174.348120631324,13483,0.166397215811623,202286.07318189106,159245.7356993951,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,66,9
3,3,780,2.0,0.25,14790,10.161789799133127,47,0.002866874921266991,0.004478564247952104,7.169271702760158,True,29,27,2,0.9310344827586207,447766.7923010433,286996.72017431684,0.14349836008715838,-45263.77429920994,-0.020015751395209606,31.23597655831968,9896.438626700581,48287,0.5959224475187895,160770.0721267264,127044.34200107807,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,24,27
4,4,2500,1.0,0.0,14790,9.982833187804552,47,0.003394012058677502,0.005397092199227586,8.75335942154743,True,33,33,0,1.0,524752.4515834249,343699.8932366732,0.17184994661833672,-45263.77429920994,-0.01963245633388568,,10415.148279899187,58250,0.7188784262424565,181052.55834675167,143032.59350431606,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,2,2
5,5,390,1.75,0.5,14790,9.939952006238665,47,0.002677937305223725,0.004276774856738274,9.386984366773449,True,53,39,14,0.7358490566037735,559518.5386579864,266923.0938372057,0.1334615469186029,-31288.180757138412,-0.014217723360764167,8.190109520738714,5036.28478938124,37349,0.46093373977218033,292595.4448207808,230100.06239462708,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,36,1
6,6,780,1.75,0.0,14790,9.755416078846553,47,0.002617868166761069,0.004259927866790458,6.408533069637046,True,32,29,3,0.90625,438039.3707455025,260558.51096884639,0.13027925548442312,-45263.77429920994,-0.020329029134869024,46.61147055894809,8142.4534677764495,38555,0.47581729997901984,177480.85977665617,140170.5374342305,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,39,45
7,7,2500,0.75,0.0,14790,9.681990631047846,47,0.0032592392002878134,0.005343820325284496,8.297741147502276,True,45,42,3,0.9333333333333333,576732.977915541,328981.42876852746,0.16449071438426385,-45263.77429920994,-0.01982355335750352,94.80750575230887,7310.698417078388,60925,0.7518912981771958,247751.54914701357,196205.55610796594,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,4,5
8,8,2500,1.0,0.25,14790,9.650990020798238,47,0.0031937530147830686,0.005253270104643565,8.167469165404661,True,29,29,0,1.0,481141.0298595187,321896.68788883515,0.16094834394441754,-45263.77429920994,-0.019706024067547647,,11099.885789270178,63768,0.7869775018820422,159244.3419706836,125853.06771301143,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,7,6
9,9,390,2.0,0.5,14790,9.604476869510467,47,0.0025087705908071758,0.004146555717694192,8.747098743186193,True,46,36,10,0.782608695652174,501078.225346689,249073.13487847502,0.12453656743923738,-31288.180757138412,-0.014237471314274207,11.443597689459475,5414.63336692337,27321,0.33717557911365065,252005.09046821398,198570.25972391848,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,49,3
10,10,1560,1.5,0.5,14790,9.464783004622413,47,0.0031453551503904634,0.005275447419457021,7.922842442908585,True,23,23,0,1.0,443309.02418091893,316626.9425217254,0.15831347126086265,-45263.77429920994,-0.019981903262832473,,13766.388805292407,60299,0.74416566908144,126682.08165919365,99884.95195707018,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,9,11
