rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,start,end,rank_net_pnl,rank_return_over_max_dd
1,1,390,1.0,0.0,14790,14.26759557869239,47,0.006599986802747847,0.007343321573730566,17.26127236391347,True,241,200,41,0.8298755186721992,1008513.588220371,721280.3810831072,0.36064019054155355,-48427.07954569487,-0.020893024739909113,5.842790910711048,2992.864651797125,53493,0.6601710498710338,287233.2071372639,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,1,3
2,2,390,2.5,0.5,14790,13.902699582919265,47,0.0037760118424394608,0.004311560451901181,14.373575015482766,True,49,47,2,0.9591836734693877,444051.0930158363,386579.2165732685,0.19328960828663433,-31288.180757138412,-0.013447566668586541,159.33309349127993,7889.371766801399,20972,0.258820915968357,57471.87644256786,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,45,12
3,3,780,1.0,0.0,14790,13.68167241684841,47,0.006017329580919594,0.006981759455760906,18.487731836406162,True,142,123,19,0.8661971830985915,812028.7509148178,648538.8635786134,0.3242694317893067,-45263.77429920994,-0.01753970874624832,14.125156251578105,4567.175095624038,54567,0.673425563687075,163489.88733620447,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,4,2
4,4,780,1.25,0.0,14790,13.67147065277067,47,0.005249560891864035,0.006095481443767534,15.359985241410268,True,98,90,8,0.9183673469387755,669233.9198890151,555853.3324375091,0.2779266662187546,-45263.77429920994,-0.018094201384352172,19.412457333230943,5671.972779974582,44012,0.5431635587258883,113380.58745150582,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,10,6
5,5,390,1.25,0.0,14790,13.580278803887786,47,0.006111007191559602,0.007143390289320996,18.587331341988026,True,175,152,23,0.8685714285714285,868511.3858226645,660011.9411802548,0.33000597059012765,-44640.97090842575,-0.017754349159562113,7.647377905602107,3771.4968067443133,50439,0.6224808401930173,208499.4446424097,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,3,1
6,6,780,1.75,0.0,14790,13.499048860257318,47,0.004030618660089183,0.004739895994774145,10.963858973332444,True,51,49,2,0.9607843137254902,474466.76083394955,414985.7790295472,0.20749288951477363,-45263.77429920994,-0.018925169506417552,42.13338082289195,8136.976059402886,34223,0.4223549593355465,59480.981804402334,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,39,41
7,7,780,1.0,0.25,14790,13.485752914581887,47,0.005659607709586247,0.006662103901469855,16.92292211793237,True,107,97,10,0.9065420560747663,728499.0980428773,604887.72661368,0.30244386330684,-45263.77429920994,-0.017871846315853184,20.24864614028699,5653.156323492337,62729,0.7741549321847734,123611.37142919726,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,5,4
8,8,390,1.75,0.0,14790,13.46632161771918,47,0.004734299700653069,0.005580935906132209,15.012600230168482,True,102,90,12,0.8823529411764706,616852.3098877927,495335.8126068387,0.2476679063034195,-36210.115509259515,-0.0164973357383966,9.85123751912609,4856.233456929791,38628,0.4767182119981735,121516.49728095402,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,20,8
9,9,780,1.75,0.25,14790,13.346551057086387,47,0.0043255905397235,0.005144896292376113,11.89617552549527,True,45,43,2,0.9555555555555556,501053.3974265925,448335.3627870589,0.22416768139352952,-45263.77429920994,-0.01884367634901695,79.52229332949334,9963.008061934643,43325,0.534685112737415,52718.03463953353,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,31,35
10,10,1560,1.0,0.0,14790,13.336174445142165,47,0.004978068502537161,0.005925566430463696,13.612124451103469,True,73,70,3,0.958904109589041,607714.3272961098,523729.90735631617,0.2618649536781581,-47501.86733784294,-0.01923762559024576,32.26050026780564,7174.382292552276,56825,0.7012921299781559,83984.41993979366,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,14,20
