rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,start,end,rank_net_pnl,rank_return_over_max_dd
1,1,104,1.5,0.0,2315,3.683061622849284,114,0.0011113747102052282,0.004790179580543779,5.237383549124529,True,41,30,11,0.7317073170731707,326304.65107944305,267059.53977980226,0.13352976988990117,-54453.548789761495,-0.02549551100037761,5.049112728718862,6513.647311702494,53310,0.26215239359740355,59245.11129964079,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,1,1
2,2,104,1.5,1.0,2315,3.450484479307927,114,0.0009900267098391295,0.0045547768400416855,4.416728341952943,True,34,24,10,0.7058823529411765,284899.07802368177,236221.78961575127,0.11811089480787562,-57762.80733750621,-0.02674171596337088,4.205502104336832,6947.69969458092,73890,0.36335472449657,48677.28840793038,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,2,2
3,3,104,2.0,1.0,2315,3.3512378576433344,114,0.0007724271410227514,0.003658916868109073,3.64989370549065,True,23,16,7,0.6956521739130435,215588.91450786524,182381.02407731197,0.09119051203865604,-53322.022913992405,-0.024984429519543345,5.213468096452042,7929.609742491825,50250,0.24710481669985984,33207.890430553256,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,7,3
4,4,104,2.0,0.0,2315,2.9052046827055062,114,0.0006629338721997637,0.0036223778075868784,3.2407913641421073,True,25,18,7,0.72,190761.29463297193,155362.2529427635,0.07768112647138163,-49906.83963738801,-0.023969801737590456,4.258657498978402,6214.49011771054,36150,0.1777679427601977,35399.04169020847,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,10,5
5,5,52,2.0,0.0,2367,2.8632145563495808,114,0.0007501551147841665,0.004159081702153154,2.5032971277063187,True,50,34,16,0.68,248668.9616323546,176372.7215455682,0.0881863607727841,-71124.96986090508,-0.03522808371277368,2.3540758938583513,3527.454430911364,50760,0.2496127461827838,72296.24008678642,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,9,14
6,6,104,1.5,0.5,2315,2.593532491291509,114,0.0008282140671624165,0.005069337194875669,3.207187212975645,True,37,26,11,0.7027027027027027,247580.87298583344,194770.8492498402,0.09738542462492013,-65205.464294756996,-0.03036474585297608,2.832517825641818,5264.077006752437,68205,0.3353986870251531,52810.02373599331,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,4,6
7,7,26,3.0,0.0,2393,2.563255845000961,114,0.00041001345449845887,0.002539255619549002,3.0650730397118466,True,28,20,8,0.7142857142857143,134513.6023071286,94920.74449126638,0.04746037224563316,-32422.6134199847,-0.015484254903790157,2.6131088737885264,3390.0265889737993,10605,0.052150180718448035,39592.85781586225,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,23,7
8,8,104,2.0,0.5,2315,2.4973681947184105,114,0.0006278989596725159,0.003991236452717698,2.367632959574721,True,24,15,9,0.625,180729.2269775159,146433.80803384932,0.07321690401692456,-65209.41704348894,-0.030924093922934714,3.0741269203268344,6101.408668077055,45930,0.225861178726857,34295.418943666584,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,12,15
9,9,52,2.0,0.5,2367,2.4397548876899546,114,0.0008030318331157322,0.005225006502118457,2.7161120583755745,True,42,30,12,0.7142857142857143,249118.09445847437,188276.53444187765,0.0941382672209388,-70130.68390253396,-0.034659198588897724,2.800712368308256,4482.774629568516,60270,0.2963782547761304,60841.56001659672,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,6,12
10,10,52,1.5,1.0,2367,2.411483056738673,114,0.0008922794450278672,0.0058737700974217395,3.5681699076222704,True,50,35,15,0.7,283360.26501153206,209738.5903097175,0.10486929515485861,-59303.10891573364,-0.02939021903941245,2.3223254445292283,4194.77180619435,80580,0.3962528583019842,73621.6747018146,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,3,4
