rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,start,end,rank_net_pnl,rank_return_over_max_dd
1,1,390,1.5,0.0,1795,9.019446854249859,35,0.0016495593762792383,0.0029032759678027913,4.906935160918611,True,13,12,1,0.9230769230769231,132628.20366012867,118464.67617676553,0.059232338088382734,-24436.443503926275,-0.012071147497554063,63.84091018704049,9112.667398212732,12715,0.20890495358580466,14163.52748336315,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,5,11
2,2,500,1.5,0.0,1685,7.57944850671728,35,0.001679647389542966,0.0035178780717919707,5.117263492746152,True,11,10,1,0.9090909090909091,132406.63934860387,120552.04348085303,0.060276021740426546,-23644.551939440193,-0.01177895604278914,20.69387483747158,10959.276680077548,14305,0.23502834141132015,11854.595867750853,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,4,7
3,3,500,2.0,0.0,1685,8.45501254932342,35,0.0015769842049148267,0.0029608292146287305,4.826501007510886,False,8,7,1,0.875,121721.80936395185,113087.21605053467,0.056543608025267256,-23612.080000223126,-0.0117152380031156,33.66333749747557,14135.902006316834,9210,0.15131849174402365,8634.593313417176,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,7,12
4,4,750,1.5,1.0,1435,7.863402628758878,35,0.0020264901220673863,0.004091044920714287,6.179264463143785,False,8,8,0,1.0,154930.89685615696,146245.20674322988,0.07312260337161505,-25260.95395342866,-0.011833544883497821,,18280.650842903735,17155,0.28185328185328185,8685.690112927094,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,1,4
5,5,750,1.5,0.0,1435,7.513086907481547,35,0.0015802701881485787,0.0033389752896112027,6.461162306070017,False,9,9,0,1.0,122985.16849816227,113244.9109230007,0.056622455461500444,-17874.088410341647,-0.008763509223147945,,12582.767880333411,10790,0.17727758153290069,9740.257575161542,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,6,2
6,6,750,1.5,0.5,1435,7.2153387238578945,35,0.0016942238369714012,0.0037274715237545497,5.077621484933454,False,8,8,0,1.0,130274.97849769334,121577.432033293,0.060788716016646475,-25260.953953429125,-0.011971888057631212,,15197.179004161624,14130,0.23215312577014705,8697.546464400337,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,3,8
7,7,390,2.0,0.0,1795,7.129458190238076,35,0.0015087457297084177,0.003359385147587927,4.437573081597684,False,9,8,1,0.8888888888888888,118007.57905004869,107964.38558685192,0.05398219279342587,-24436.443503926275,-0.012164800849655048,58.270913803358965,11996.042842983547,10090,0.16577671896820834,10043.193463196767,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,10,16
8,8,750,2.0,0.0,1435,7.048922795505069,35,0.0010892523665232284,0.002453047900011122,6.355849408142374,False,5,5,0,1.0,82943.86715977787,77465.30590568815,0.038732652952844046,-12496.629480256932,-0.006094016781332843,,15493.06118113763,4655,0.07648073605520414,5478.561254089729,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,17,3
9,9,500,2.0,1.0,1685,6.887551322732242,35,0.001560072670594789,0.003595673516036894,4.62437768031037,False,7,6,1,0.8571428571428571,119234.66736191946,111689.31247296186,0.055844656236480925,-25240.73008499411,-0.01207614518041114,33.25957659559975,15955.61606756598,12360,0.20307237328513925,7545.354888957612,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,8,13
10,10,500,1.5,1.0,1685,6.665121863689918,35,0.0017067079529253571,0.004064914247395406,5.119059985580189,False,9,8,1,0.8888888888888888,132100.55604714106,122409.04108886562,0.0612045205444328,-25260.953953429125,-0.011956203036658876,20.997241561167915,13601.004565429514,17585,0.28891809742873575,9691.51495827545,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,2,6
