rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,start,end,rank_net_pnl,rank_return_over_max_dd
1,1,390,1.5,0.0,2184,12.288871456870273,35,0.0026688319353599735,0.0034475414362197306,8.233830727196546,True,17,17,0,1.0,214187.1448859501,195107.53449293904,0.09755376724646939,-24436.443503926275,-0.01184791993892307,,11476.913793702297,36480,0.59935923765711,19079.610393011128,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,2,2
2,2,500,2.0,0.0,2184,12.287815831499607,35,0.002476042980994686,0.0031987754632970358,7.785793099987118,True,11,11,0,1.0,192460.07419925684,180444.53788037016,0.0902222689401852,-23612.080000223126,-0.011588064026558126,,16404.048898215467,25985,0.42692844820504394,12015.536318886692,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,6,4
3,3,500,1.5,0.0,2184,12.096223628156316,35,0.0030294365413333193,0.0039756882548183815,9.724234539551214,True,16,16,0,1.0,240519.24569013153,222761.5156870667,0.1113807578435333,-23644.551939440193,-0.011453935771552633,,13922.59473044167,39620,0.6509488211615871,17757.730003064786,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,1,1
4,4,390,2.0,0.0,2184,10.598463958610566,35,0.0024424277727281966,0.0036582979422935293,7.403992565588594,True,12,12,0,1.0,191190.0603269816,177771.08539141252,0.08888554269570624,-24436.443503926275,-0.012005082650787362,,14814.257115951043,22850,0.37542101371888603,13418.974935569086,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,7,6
5,5,390,2.0,0.5,2184,9.925152503466036,35,0.0025409749839402805,0.0040640914441130915,7.711760298503394,True,11,11,0,1.0,197563.8013671279,185160.6395331875,0.09258031976659387,-25260.95395342866,-0.012005082650787362,,16832.785412107954,29890,0.49108683151236343,12403.161833940418,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,5,5
6,6,390,2.0,1.0,2184,9.844552474068374,35,0.002571484067136831,0.004146561680643274,7.807707391044654,True,10,10,0,1.0,198797.89489752642,187464.34508530883,0.09373217254265444,-25260.95395342866,-0.012005082650787362,,18746.43450853088,34205,0.5619814343218599,11333.54981221763,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,3,3
7,7,500,2.0,0.5,2184,9.252785697902722,35,0.0023691735956254734,0.004064663995094901,4.939539882137682,True,10,10,0,1.0,183066.24254807667,172091.3653518491,0.08604568267592462,-35332.19297411991,-0.017419776887940962,,17209.13653518491,35860,0.5891727593855254,10974.877196227553,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,11,12
8,8,1000,1.5,0.0,2184,8.821870039793724,35,0.0022683114540548387,0.004081711457818354,4.740193653731731,True,11,11,0,1.0,176469.34162553653,164451.0409337442,0.08222552046687202,-35016.78266527527,-0.017346447523750374,,14950.094630340382,31365,0.5153207919165366,12018.300691792349,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,15,17
9,9,390,1.5,1.0,2184,8.256111921990032,35,0.002558468725272519,0.004919317021014356,4.815142871384538,True,12,12,0,1.0,199763.94610318998,186211.1235202335,0.09310556176011683,-39913.30955118337,-0.019335991526528772,,15517.593626686124,51485,0.8458884416331225,13552.822582956494,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,4,16
10,10,390,1.5,0.5,2184,8.12228384806577,35,0.0023718763967434933,0.00463568760000551,4.436424465107224,True,13,13,0,1.0,186747.60944586134,172113.72696493953,0.08605686348246969,-39913.30955118337,-0.019397797518995914,,13239.517458841503,47130,0.7743366466770722,14633.882480921833,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,10,19
11,11,750,1.5,0.0,2184,7.97792708788371,35,0.0023756249879716713,0.00472702710161605,4.968420367871211,True,13,13,0,1.0,186497.82847455784,172368.88637442084,0.08618444318721048,-35016.78266527527,-0.017346447523750374,,13259.14510572468,32430,0.5328185328185329,14128.942100137047,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,9,11
12,12,750,1.5,1.0,2184,7.749286903265965,35,0.0024046635753495068,0.004925982392884855,5.029890046748558,True,10,10,0,1.0,185451.73292450386,174501.44749231634,0.08725072374615818,-35016.78266527527,-0.017346447523750374,,17450.144749231633,48825,0.8021851638872916,10950.285432187524,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,8,10
13,13,500,1.5,0.5,2184,7.4789788589422255,35,0.0023577797984349223,0.005004505917637859,4.345573820706378,True,12,12,0,1.0,184335.89110056648,170914.100523147,0.0854570502615734,-39913.30955118337,-0.01966530860766329,,14242.84171026225,49495,0.8131931323420685,13421.790577419528,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,12,20
14,14,750,1.5,0.5,2184,7.0846295624001145,35,0.002050760174696358,0.004595132072687056,4.263285564483593,True,10,10,0,1.0,158840.58173822204,147905.71864615424,0.07395285932307713,-35016.78266527527,-0.017346447523750374,,14790.571864615424,37240,0.6118458884416331,10934.863092067795,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,21,23
15,15,500,1.5,1.0,2184,6.585145676552407,35,0.002155699995037698,0.005196646848777605,3.9600174270693858,True,10,10,0,1.0,166804.8289993171,155577.2189748887,0.0777886094874444,-39913.30955118337,-0.01964350180777157,,15557.721897488871,55975,0.919658260083792,11227.6100244284,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,17,28
16,16,390,2.5,1.0,2184,10.037202720943489,35,0.001579354603811981,0.0024978550079211687,4.908597939142259,False,5,5,0,1.0,118665.5299783714,113352.5687445035,0.056676284372251716,-23612.080000223126,-0.011546328518842892,,22670.5137489007,24500,0.4025301897642323,5312.961233867916,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,27,13
17,17,390,2.5,0.5,2184,9.357774268461052,35,0.0013705979896229093,0.0023250794412998815,4.240758176694458,False,5,5,0,1.0,103332.17758788784,98019.73656524454,0.049009868282622195,-23612.080000223126,-0.01155686465499523,,19603.94731304891,20305,0.33360716339439744,5312.441022643276,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,32,25
18,18,750,2.5,1.0,2184,9.279067370687358,35,0.0014094852409271537,0.002411329032413071,3.981498079848821,False,4,4,0,1.0,105064.18056632606,100858.66997882216,0.05042933498941106,-25673.521319892025,-0.012665919706113705,,25214.66749470554,21625,0.35529450423067443,4205.510587503906,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,31,27
19,19,390,2.5,0.0,2184,9.21191716277607,35,0.0012514857540270262,0.002156632554974801,3.8528200430222768,False,5,5,0,1.0,94614.25140542026,89329.42248993927,0.04466471124496963,-23612.080000223126,-0.011592732270447074,,17865.884497987856,14690,0.24135381582190094,5284.828915481003,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,36,30
20,20,750,2.0,1.0,2184,8.602243551428897,35,0.0023336184952874404,0.0043064399350137535,4.867662350663601,False,8,8,0,1.0,178161.1849921901,169322.50197666907,0.08466125098833464,-35214.91459650919,-0.01739258906830152,,21165.312747083633,43605,0.7164215887620143,8838.683015521055,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,13,14
21,21,750,2.0,0.0,2184,8.561179302404051,35,0.0020808434277093083,0.0038583896207636335,4.323412605989549,False,9,9,0,1.0,160260.27387169597,150390.6776573819,0.07519533882869081,-35214.91459650919,-0.01739258906830152,,16710.075295264654,26265,0.4315287932309209,9869.596214314091,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,18,21
22,22,500,2.0,1.0,2184,8.345131090027623,35,0.0023333812376283847,0.004438669496309887,4.858318549757676,False,9,9,0,1.0,179133.15603521434,169261.65037464735,0.08463082518732362,-35332.19297411991,-0.017419776887940962,,18806.850041627484,46025,0.7561817136285222,9871.505660567003,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,14,15
23,23,1000,2.0,0.0,2184,8.070846183422965,35,0.0018717314126319527,0.003681499356860368,3.8748874120057732,False,7,7,0,1.0,142556.07211207322,134788.64888590167,0.06739432444295078,-35214.91459650919,-0.01739258906830152,,19255.521269414523,24635,0.4047482132588516,7767.42322617157,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,23,29
24,24,500,2.5,1.0,2184,7.911908088133492,35,0.0013422172242681719,0.002693034050408505,3.3689650559601727,False,4,4,0,1.0,100101.40641372328,95873.68072344508,0.047936840361722514,-29223.701039465377,-0.014228951492659596,,23968.42018086127,24585,0.40392672307565924,4227.725690278194,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,33,35
25,25,750,2.5,0.5,2184,7.903995331165006,35,0.001229215145599121,0.0024687749272012563,3.460178801225674,False,4,4,0,1.0,91861.21669353572,87652.6937302423,0.04382634686512116,-25673.521319892025,-0.012665919706113705,,21913.173432560576,16090,0.2643555409512856,4208.522963293406,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,37,33
26,26,1000,1.5,0.5,2184,7.772646184832045,35,0.0022368771332079867,0.00456849865577921,4.667284987441712,False,9,9,0,1.0,171804.14764642945,161921.62822609107,0.08096081411304558,-35016.78266527527,-0.017346447523750374,,17991.29202512123,40530,0.6658999424956872,9882.51942033843,2026-06-05 21:30:00+08:00,2026-07-18 03:55:00+08:00,16,18
