rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,total_crossing_cost_twd,start,end,rank_net_pnl,rank_return_over_max_dd
1,1,390,2.0,0.5,10031,9.913600420215937,32,0.0025189394691041977,0.004033542075763596,5.614543306452296,True,30,25,5,0.8333333333333334,331613.59298090934,167124.16717405515,0.08356208358702762,-31288.180757138878,-0.014883148820135939,13.115526614375591,5570.8055724685055,15204,0.29110264412491144,164489.42580685424,128478.95748044293,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,19,1
2,2,390,2.0,0.25,10031,8.794176557307644,32,0.0021916250897268154,0.003956137280201703,4.779898976605747,True,30,25,5,0.8333333333333334,309161.3362405517,144617.04251878188,0.07230852125939098,-31431.67343887617,-0.015127625419133435,11.208813598925357,4820.568083959396,14832,0.2839801642765513,164544.2937217698,128528.11236798282,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,29,3
3,3,2500,0.75,0.5,10031,8.604297800984014,32,0.003229018995941673,0.005957381838402752,5.163075565930824,True,23,22,1,0.9565217391304348,341225.158041688,216133.84639074688,0.1080669231953735,-45263.77429920994,-0.020930726621253833,39.58882511624074,9397.12375611943,41500,0.7945777250186677,125091.31165094106,98172.24171644075,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,1,2
4,4,390,2.5,0.5,10031,8.455336404181413,32,0.001953734039878245,0.003668046414988137,4.283192755408877,True,24,20,4,0.8333333333333334,260077.75604829597,128458.5389258475,0.06422926946292375,-31288.180757138878,-0.01499565233944097,12.558614910757312,5352.439121910313,13368,0.2559497597120374,131619.21712244846,102716.04374443425,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,43,12
5,5,2500,1.0,0.5,10031,8.285706413827013,32,0.003013575757656272,0.005773681769732575,4.77821774650293,True,18,17,1,0.9444444444444444,299123.54895074555,201025.57769028723,0.10051278884514352,-45263.77429920994,-0.021035623359506074,51.1503185664105,11168.087649460402,40648,0.7782649485917785,98097.9712604583,76843.79974229314,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,3,4
6,6,1560,1.5,0.5,10031,7.936847511924643,32,0.0028793643827538587,0.005759023652092086,4.505550646012432,True,16,15,1,0.9375,278819.20011033275,191628.69273886812,0.09581434636943414,-45263.77429920994,-0.021265846041311987,35.21364230933613,11976.793296179258,35744,0.6843707518811388,87190.5073714646,68243.86353853409,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,6,7
7,7,2500,1.0,0.25,10031,7.795497380691876,32,0.00286773532017277,0.005839766813539695,4.530819001937096,True,20,19,1,0.95,299593.3323329841,190782.1176405363,0.09539105882026815,-45263.77429920994,-0.021053822450087915,48.59485875567554,9539.105882026815,39922,0.7643646250167532,108811.21469244774,85269.73836045609,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,7,6
8,8,2500,1.0,0.0,10031,7.70004600882595,32,0.0028092012161433783,0.00579148316163542,4.391092782338702,True,22,21,1,0.9545454545454546,306287.51298979437,186712.3389184171,0.09335616945920862,-45263.77429920994,-0.021260350005514347,47.57956158924467,8486.924496291687,36617,0.7010856037833387,119575.1740713773,93576.2708985975,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,10,10
9,9,3900,1.0,0.0,10031,7.685558446350028,32,0.002696393067198523,0.005569395282712855,4.251803267440536,True,19,18,1,0.9473684210526315,281765.7460241607,178939.34647653767,0.08946967323826882,-45263.77429920994,-0.02104275941537789,39.653550545313486,9417.860340870404,38243,0.7322177334431064,102826.39954762314,80888.17093999889,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,14,13
10,10,390,1.5,0.5,10031,7.563119961753408,32,0.002164707776932725,0.004543583971578586,4.475985624241059,True,38,29,9,0.7631578947368421,353930.1640412678,142609.15141792994,0.07130457570896484,-32683.34066023049,-0.015930474692052908,4.996260722947206,3752.8724057349987,28362,0.5430316490838423,211321.01262333794,164930.01922232402,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,33,8
11,11,390,2.5,0.25,10031,7.549463522388202,32,0.0017150420427975224,0.0036062759054119008,3.6954568978717734,True,24,20,4,0.8333333333333334,243941.22855420335,112307.12540296649,0.05615356270148326,-31372.428470504237,-0.01519529634720467,10.783914582985332,4679.463558456937,13027,0.24942081985104061,131634.10315123684,102729.37979104975,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,54,25
12,12,1560,0.75,0.5,10031,7.5377917709838265,32,0.0030124651762375755,0.006344219048539772,4.229971303976168,True,26,23,3,0.8846153846153846,340861.7362087993,200715.44330183128,0.10035772165091568,-50754.74299254338,-0.023725390656097252,9.01085211976266,7719.824742378127,47467,0.9088245993605085,140146.292906968,109663.63558637578,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,4,14
13,13,1560,1.5,0.25,10031,7.49866051765309,32,0.0027050408489208214,0.005726515040119836,4.196514492922288,True,16,15,1,0.9375,266650.10004589055,179483.7463317557,0.08974187316587777,-45263.77429920994,-0.02138485958221606,33.04526738437,11217.734145734732,35509,0.6798713358479006,87166.35371413476,68222.22483927691,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,13,17
14,14,2500,0.75,0.25,10031,7.444149989717721,32,0.002834157172783562,0.006043786113401159,4.466737013378868,True,25,23,2,0.92,324258.1026992685,188356.47580600277,0.09417823790300126,-45263.77429920994,-0.021084348064575226,31.429659565962474,7534.259032240111,40604,0.7774225047387466,135901.62689326575,106685.14470946048,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,8,9
15,15,1560,1.0,0.5,10031,7.404233035418574,32,0.0030350492298105852,0.0065070767820286325,4.320024452343286,True,24,22,2,0.9166666666666666,331373.7481796448,202230.88553304784,0.10111544276652391,-50179.67810132331,-0.023406220006851226,10.283945702407479,8426.286897210326,47137,0.9025062704627698,129142.86264659699,101138.98315403171,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,2,11
16,16,780,1.5,-0.25,10031,7.148756295798623,32,0.0018028863449908623,0.004003484281955489,2.7531456304872726,True,24,21,3,0.875,249825.99353606786,118144.15145501116,0.059072075727505606,-45263.77429921017,-0.021456211786751934,12.496318272681815,4922.672977292132,23961,0.458768117329453,131681.8420810567,103085.70483813118,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,50,54
17,17,1560,1.0,0.25,10031,7.112348300862356,32,0.0028164439050709575,0.006286202395468628,3.9731402970692207,True,25,23,2,0.92,321746.04563029984,187020.0048784914,0.09351000243924558,-50179.67810132285,-0.02353554001307808,11.027387089005122,7480.800195139655,45523,0.8716038982174654,134726.04075180847,105474.2901529113,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,9,22
18,18,2500,0.75,0.0,10031,7.091549646259483,32,0.0027081303704696823,0.006062178087112408,4.218940567317043,True,29,26,3,0.896551724137931,337564.63326575985,179565.32464872877,0.0897826623243643,-45263.77429920994,-0.02128085496626465,21.234650164333196,6191.907746507889,37673,0.721304256256103,157999.30861703103,123966.32146407069,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,12,15
19,19,2500,1.0,-0.25,10031,6.984268126406149,32,0.002514594934036187,0.00571541016734649,3.893974528454091,True,24,21,3,0.875,297246.3515397506,166277.80438183618,0.0831389021909181,-45263.77429920994,-0.021350653832839597,35.48363656721371,6928.241849243174,34810,0.6664879664554175,130968.54715791435,102443.09701652385,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,20,24
20,20,390,2.0,0.0,10031,6.980555657991562,32,0.001886137189057755,0.0042892716728797145,4.140816025943289,True,30,23,7,0.7666666666666667,288482.9404966714,123706.27044113656,0.061853135220568164,-31288.180757138878,-0.014937426544198579,7.560749176789817,4123.542348037885,10114,0.1936472074900917,164776.6700555349,128736.2929152251,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,46,18
21,21,1560,0.75,0.25,10031,6.9521766288105935,32,0.0027617301963227085,0.006306098085120914,3.907035644857866,True,28,25,3,0.8928571428571429,334176.2521417842,183196.09537675095,0.09159804768837546,-49966.04008606193,-0.023444384954339904,9.369792882789286,6542.717692026819,46946,0.8988492982825633,150980.1567650332,118197.63523597938,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,11,23
22,22,780,1.5,0.0,10031,6.776536173213238,32,0.0020850333157657504,0.004884335732411353,3.1856997628617374,True,23,20,3,0.8695652173913043,263161.47022089997,137061.05497441092,0.06853052748720558,-45263.77429921017,-0.021511922839095202,8.535050954671032,5959.176303235257,26730,0.5117846407168432,126100.41524648899,98754.65439200241,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,37,41
