rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,total_crossing_cost_twd,start,end,rank_net_pnl,rank_return_over_max_dd
1,1,2500,2.0,0.0,25319,4.7230633812961855,32,0.001223008752892562,0.004110607989157597,2.9173296677399883,True,12,10,2,0.8333333333333334,117010.36854875289,79230.6417463693,0.039615320873184715,-27742.103239206597,-0.013579308952036987,12.068420599220556,6602.553478864109,13600,0.2538307919147427,37779.726802383564,17361.82767792796,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,6,3
2,2,2500,1.5,0.5,25319,4.165756634703033,32,0.0014496111726758146,0.005524053847059636,1.7608016791244294,True,17,14,3,0.8235294117647058,147867.11201424134,93900.89906590764,0.04695044953295379,-54647.59705004003,-0.026664246229195,4.304665829341716,5523.582297994567,24456,0.45644748875492264,53966.21294833371,24750.89304859917,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,1,11
3,3,2500,1.5,0.0,25319,4.137119275047415,32,0.0013338048812823258,0.005117932230730697,2.2067871203434564,True,18,15,3,0.8333333333333334,143544.7902066326,86304.8696700238,0.04315243483501184,-39965.46524791024,-0.019554416661764707,5.63311234774829,4794.714981667989,18137,0.3385094906586536,57239.9205366088,26272.749008079394,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,3,6
4,4,2500,2.0,-0.25,25319,3.9148436046775625,32,0.0009408047308161714,0.0038149192172661525,2.1864827555846316,True,12,9,3,0.75,98411.48117010466,60632.998669236295,0.0303164993346181,-28295.465654014843,-0.013865418904944412,5.591209529005447,5052.7498891030245,13234,0.2469997573676254,37778.482500868355,17361.079114068212,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,16,7
5,5,3900,0.75,0.5,25319,3.8805375367492894,32,0.0013484421474536483,0.0055162088433379905,1.5604466982992897,True,20,17,3,0.85,151432.66289963372,87144.66310152276,0.04357233155076136,-57675.05503664282,-0.027922986154061056,3.9075059048895495,4357.233155076138,29373,0.5482185184493925,64287.999798110955,29514.183145477113,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,2,14
6,6,3900,1.0,0.5,25319,3.8615039598586858,32,0.0012783772720837173,0.005255364301800866,1.5262413162863768,True,15,13,2,0.8666666666666667,130203.0345471329,82566.95869139161,0.04128347934569582,-55458.17164254282,-0.027049116614236368,4.405288030350139,5504.463912759441,26688,0.49810560107504803,47636.07585574128,21845.113363414075,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,4,16
7,7,2500,2.0,0.5,25319,3.835615541585749,32,0.0011537132409605855,0.004774886773874242,1.3918587956572166,True,11,9,2,0.8181818181818182,108909.21637069988,74440.34640761794,0.03722017320380895,-54853.373883158434,-0.02674134281432916,4.5968321213689745,6767.3042188743575,19525,0.3644151626570111,34468.86996308193,15817.622965838138,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,8,23
8,8,2500,1.5,0.25,25319,3.7646288706129742,32,0.0012611561499638636,0.005317983235910475,1.5214462407964737,True,17,14,3,0.8235294117647058,135352.5779165744,81399.60671117828,0.04069980335558916,-54647.59705004003,-0.02675073378490383,3.443166331372581,4788.212159481075,21224,0.3961253476175367,53952.971205396134,24742.92690045743,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,5,17
9,9,1560,2.5,0.25,25319,3.690020792375628,32,0.0007975747684816868,0.0034311749577279663,2.2951553042292985,True,9,7,2,0.7777777777777778,79421.73101039958,51307.197554871076,0.025653598777435487,-22708.7449580431,-0.011177282308592985,6.157421836641216,5700.799728319009,11051,0.20625618245954572,28114.533455528508,12890.065943365758,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,27,5
10,10,1560,2.5,0.5,25319,3.65121166606117,32,0.0007972957423188522,0.0034664321575559602,1.6778137590829416,True,9,7,2,0.7777777777777778,79421.15169801872,51281.27930243039,0.02564063965121517,-31094.283084708033,-0.015282172715778546,6.543624490342149,5697.919922492266,11893,0.22197129472367905,28139.87239558833,12905.309688182622,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,28,12
11,11,3900,2.0,0.0,25319,3.561763175392298,32,0.0009061194481098205,0.0040385055374496616,1.4789391696759988,True,8,6,2,0.75,83338.50478810955,58292.456414769884,0.029146228207384935,-39965.46524791024,-0.019707523341727567,7.974200842480614,7286.5570518462355,15988,0.2984004927303608,25046.048373339676,11489.264160853749,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,19,18
12,12,1560,2.5,0.0,25319,3.375605630862616,32,0.0006923496659740173,0.0032559224686406025,1.8841568352073728,True,9,8,1,0.8888888888888888,72575.44434767494,44453.58786280395,0.022226793931402034,-23894.03319535451,-0.011796679297642292,5.620404091959824,4939.28754031155,10058,0.18772280184400605,28121.856484870998,12894.47143113753,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,35,10
13,13,2500,1.5,-0.25,25319,3.322129477675111,32,0.0010036555993146665,0.00479588132056023,1.6466716587202068,True,18,15,3,0.8333333333333334,121741.53339402578,64506.27011284659,0.03225313505642326,-39965.46524791024,-0.01958686474357031,3.5952642244286857,3583.6816729359216,16964,0.316616584856007,57235.263281179185,26269.947232900628,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,11,13
