rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,total_crossing_cost_twd,start,end,rank_net_pnl,rank_return_over_max_dd
1,1,390,2.0,0.5,7151,12.514880106816532,23,0.002640183549608874,0.0033489425523257617,4.1075992761018965,True,21,18,3,0.8571428571428571,242913.34665045558,124781.32150270608,0.062390660751353015,-31288.180757138878,-0.015189081640544458,27.660392018232397,5941.967690605052,10824,0.28726877040261156,118132.02514774952,91512.0375230359,2026-07-17 00:00:00+08:00,2026-08-12 03:59:00+08:00,3,1
2,2,390,2.0,0.25,7151,11.547006094561029,23,0.0023913707542903635,0.003287591046506211,3.6676230617376095,True,21,18,3,0.8571428571428571,230874.55767933954,112696.21319399287,0.05634810659699631,-31431.673438875936,-0.015363658055498285,15.229886782580788,5366.486342571089,10603,0.2814034342737334,118178.34448534668,91553.53393918398,2026-07-17 00:00:00+08:00,2026-08-12 03:59:00+08:00,13,2
3,3,390,2.5,0.5,7151,9.421518584450087,23,0.0021423709519182033,0.003609724294879234,3.3097738824080847,True,17,14,3,0.8235294117647058,196567.09606532397,100607.38166762979,0.05030369083381491,-31288.180757138878,-0.015198527942100857,22.49546264525472,5918.081274566458,10282,0.2728840998964941,95959.7143976942,74314.50964991265,2026-07-17 00:00:00+08:00,2026-08-12 03:59:00+08:00,21,4
4,4,390,1.5,0.5,7151,8.891891991959309,23,0.002368982476886318,0.00422929462016324,3.4446435661160018,True,29,23,6,0.7931034482758621,276221.2220417318,111447.11157401411,0.05572355578700709,-32683.34066023049,-0.016176871341680797,5.615217159903403,3843.0038473797968,18509,0.49122853578916637,164774.11046771766,127793.32928615608,2026-07-17 00:00:00+08:00,2026-08-12 03:59:00+08:00,15,3
5,5,390,2.5,0.25,7151,8.843489037990755,23,0.001966940527536277,0.0035307572320104614,3.0035664952039736,True,17,14,3,0.8235294117647058,188151.40814108937,92178.83374801275,0.04608941687400639,-31372.428470504237,-0.015344896458127668,12.639205354013416,5422.2843381183975,10089,0.26776188327715705,95972.57439307663,74326.03062036978,2026-07-17 00:00:00+08:00,2026-08-12 03:59:00+08:00,26,6
6,6,390,2.0,0.0,7151,7.350008792820699,23,0.00185597737204095,0.004008529543676163,2.8533617544477563,True,21,17,4,0.8095238095238095,205166.12267241193,86773.76757060993,0.04338688378530496,-31288.180757138878,-0.015205532112314346,8.073624127470968,4132.084170029044,5936,0.15754133602271822,118392.35510180204,91745.26106787845,2026-07-17 00:00:00+08:00,2026-08-12 03:59:00+08:00,35,8
7,7,390,1.5,0.25,7151,7.220973754306456,23,0.001929875173609594,0.004242615977705346,2.4324406686959685,True,30,22,8,0.7333333333333333,260755.90358227375,90271.93127583462,0.04513596563791728,-37411.05480624689,-0.01855583415406168,4.2521931933691715,3009.064375861154,18155,0.4818333819899679,170483.97230643913,132245.712799313,2026-07-17 00:00:00+08:00,2026-08-12 03:59:00+08:00,29,19
8,8,1560,1.5,0.5,7151,6.673194365962119,23,0.002643088887286178,0.006287503859740583,2.8293253211977434,True,10,9,1,0.9,180762.1185779529,124268.73648199784,0.06213436824099883,-45263.77429921017,-0.021960842669974542,23.187105904970007,12426.873648199784,25651,0.6807770906871201,56493.38209595506,43780.045767763164,2026-07-17 00:00:00+08:00,2026-08-12 03:59:00+08:00,4,9
9,9,2500,1.0,0.5,7151,6.664489940153483,23,0.0027021708295018694,0.006436446370907493,2.9173423168927743,True,11,10,1,0.9090909090909091,189409.06985222062,127102.77477282066,0.06355138738641027,-45263.77429921017,-0.021784000807316323,32.70862493603797,11554.79770662006,27937,0.7414474906446562,62306.29507939996,48321.16689537248,2026-07-17 00:00:00+08:00,2026-08-12 03:59:00+08:00,2,7
10,10,390,1.5,0.0,7151,6.4280456191039335,23,0.001804335803014008,0.004455933357632793,2.4458047091728305,True,33,25,8,0.7575757575757576,272216.130466599,84214.54640762277,0.04210727320381138,-34695.00234421482,-0.01721612238536086,4.100934327775596,2551.9559517461444,17806,0.47257092810318746,188001.58405897624,145782.06218694625,2026-07-17 00:00:00+08:00,2026-08-12 03:59:00+08:00,37,18
11,11,1560,1.5,0.25,7151,6.3819748086544905,23,0.0025615575780067673,0.00637161178811455,2.7334826719367236,True,10,9,1,0.9,176743.1229286801,120274.76463158667,0.060137382315793304,-45263.77429921017,-0.022000279326148002,22.474016845443124,12027.476463158668,25467,0.6758937339101356,56468.3582970934,43757.62752896623,2026-07-17 00:00:00+08:00,2026-08-12 03:59:00+08:00,7,11
