rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,start,end,rank_net_pnl,rank_return_over_max_dd
1,1,33,2.0,0.5,4910,6.103298898681241,90,0.0014341061518590135,0.0037300695520318923,6.273914073147624,True,113,84,29,0.7433628318584071,478336.61610834225,273922.96314065775,0.1369614815703288,-46061.35216676956,-0.02183030879503506,2.525036276678843,2424.097018943874,56985,0.3603338708147586,204413.65296768452,2026-03-12 00:10:00+08:00,2026-06-29 19:55:00+08:00,1,4
2,2,33,2.0,1.0,4910,5.614026824889096,90,0.001424763225610796,0.00402873298225558,6.237159576464685,True,101,72,29,0.7128712871287128,454433.8884125754,271781.20517056494,0.1358906025852824,-46061.352166769095,-0.021787257632152363,2.430925513811799,2690.903021490742,63320,0.40039204527490596,182652.6832420105,2026-03-12 00:10:00+08:00,2026-06-29 19:55:00+08:00,2,5
3,3,33,2.5,0.5,4910,5.390065114539775,90,0.001089972087416555,0.0032101227180284875,4.29028233588124,True,67,49,18,0.7313432835820896,326227.6229725036,205013.02150481098,0.10250651075240551,-50245.8002674405,-0.023892719109673766,2.940928901246474,3059.8958433553876,32800,0.2074045970470138,121214.60146769258,2026-03-12 00:10:00+08:00,2026-06-29 19:55:00+08:00,10,20
4,4,33,2.5,1.0,4910,5.372483924231616,90,0.0012100558954794326,0.0035754489175701338,4.836292962250231,True,63,46,17,0.7301587301587301,343029.42717487254,228700.28964730827,0.11435014482365409,-49968.78230667533,-0.02364417245113481,2.9880862757055064,3630.163327735052,37695,0.2383572038319264,114329.13752756422,2026-03-12 00:10:00+08:00,2026-06-29 19:55:00+08:00,5,17
5,5,33,2.5,0.0,4910,5.364092292299897,90,0.0008970158269661089,0.0026546308350974043,4.923005545034916,True,70,49,21,0.7,294261.4089771285,167402.48737054298,0.08370124368527158,-35074.52541882289,-0.01700206163076299,2.604887362497274,2391.464105293471,26475,0.16740965569572228,126858.92160658554,2026-03-12 00:10:00+08:00,2026-06-29 19:55:00+08:00,26,15
6,6,133,2.0,0.0,4810,5.196720624785794,90,0.0011828312742318955,0.0036132141254326903,5.710293818035592,True,44,35,9,0.7954545454545454,302838.33527639054,223226.94012732562,0.11161347006366286,-40539.746513063554,-0.01954601175006774,4.4604818743449055,5073.33954834831,47520,0.30048373328274686,79611.39514906496,2026-03-12 00:10:00+08:00,2026-06-29 19:55:00+08:00,7,8
7,7,66,2.0,0.0,4877,5.135462803920261,90,0.0010244306535530472,0.003166673207326552,4.998620645882349,True,71,55,16,0.7746478873239436,320505.2663006601,192085.13714281647,0.09604256857140828,-41808.4913243996,-0.01921381424504059,2.55315549529486,2705.424466800232,47975,0.3033608397356856,128420.12915784349,2026-03-12 00:10:00+08:00,2026-06-29 19:55:00+08:00,14,13
8,8,133,1.5,0.0,4810,4.999425513239876,90,0.0011902975159035465,0.003779511711798113,6.045982983089673,True,58,45,13,0.7758620689655172,330632.3497938068,224598.05379050717,0.11229902689525369,-38813.263980616815,-0.018574155304331607,3.602875338674485,3872.380237767365,56400,0.3566347339466945,106034.29600329962,2026-03-12 00:10:00+08:00,2026-06-29 19:55:00+08:00,6,6
9,9,133,2.5,0.0,4810,4.997598672959835,90,0.0010864571356455663,0.0034510518901038276,4.9049255776728495,True,30,24,6,0.8,258673.72984986939,204161.4267353461,0.1020807133676731,-43292.95958521473,-0.020811878131717847,6.482931840681267,6805.380891178203,31505,0.1992159094501881,54512.3031145233,2026-03-12 00:10:00+08:00,2026-06-29 19:55:00+08:00,11,16
10,10,33,1.5,0.5,4910,4.985219408877384,90,0.0013250658455252677,0.004219426762002662,6.36496247941645,True,144,108,36,0.75,510537.9166725065,251360.16332457535,0.1256800816622877,-40336.95523714158,-0.019745612337656742,2.00571125915341,1745.5566897539954,67915,0.4294476587941446,259177.75334793114,2026-03-12 00:10:00+08:00,2026-06-29 19:55:00+08:00,3,3
