rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,start,end,rank_net_pnl,rank_return_over_max_dd
1,1,997,2.5,0.0,28913,8.73130028862527,38,0.002083579272268891,0.003788186690928972,5.1481139858428895,True,35,27,8,0.7714285714285715,224799.02055457354,164040.3323709691,0.0820201661854845,-33329.4767150986,-0.015932080449468818,8.126954233997008,4686.866639170546,15393,0.23835921894114187,60758.68818360446,2026-05-08 17:25:00+08:00,2026-06-22 13:44:00+08:00,15,10
2,2,997,3.0,0.0,28913,7.9436577209130155,38,0.0015547764842602668,0.003107046199244747,4.949666896942644,True,21,18,3,0.8571428571428571,157205.87388430227,121249.16628289061,0.060624583141445414,-25211.154793974012,-0.012248214759440188,10.379608027545698,5773.769822994791,10748,0.16643181219901207,35956.707601411654,2026-05-08 17:25:00+08:00,2026-06-22 13:44:00+08:00,32,12
3,3,498,2.0,1.0,29412,7.8978453349462745,38,0.0027812213207608102,0.00559019806822826,6.152548990487519,True,66,50,16,0.7575757575757576,334821.7999136172,221347.90926181283,0.11067395463090646,-38052.64657125296,-0.01798830936608874,4.208854928196062,3353.756200936558,29567,0.45784233264683566,113473.89065180437,2026-05-08 17:25:00+08:00,2026-06-22 13:44:00+08:00,3,3
4,4,498,2.5,1.0,29412,7.896450588626422,38,0.0028148059797468267,0.0056587018643801034,7.623020683165643,True,49,39,10,0.7959183673469388,308021.50032288703,224149.18759774117,0.11207459379887069,-30918.42393495608,-0.014702123798033435,6.22595636051055,4574.473216280432,20915,0.32386689171402466,83872.31272514586,2026-05-08 17:25:00+08:00,2026-06-22 13:44:00+08:00,2,1
5,5,997,2.0,0.0,28913,7.621136118399938,38,0.0016914183408250846,0.0035231536794040675,3.5083996628481984,True,46,36,10,0.782608695652174,211075.8215582761,132165.69051704492,0.06608284525852255,-39407.15903685405,-0.018835609283143928,4.53687562742754,2873.1671851531505,18830,0.29158085445733134,78910.13104123119,2026-05-08 17:25:00+08:00,2026-06-22 13:44:00+08:00,28,23
6,6,1994,1.5,0.0,27916,7.371533200643576,38,0.0025491491900331694,0.0054895620447377265,5.6604267048215,True,38,33,5,0.868421052631579,267035.2030304354,201940.79521658533,0.10097039760829275,-37302.20049240929,-0.017837948068877403,10.880912596818824,5314.231453068035,21234,0.328806577989749,65094.40781385005,2026-05-08 17:25:00+08:00,2026-06-22 13:44:00+08:00,5,5
7,7,498,2.5,0.0,29412,7.34668580740479,38,0.0021760081616162305,0.004701855991185045,6.396121403539017,True,57,44,13,0.7719298245614035,268668.43434811116,171330.54371180406,0.08566527185590192,-27783.823356178356,-0.013393315487805273,3.713280965875136,3005.7990124877906,11733,0.18168444850493196,97337.89063630704,2026-05-08 17:25:00+08:00,2026-06-22 13:44:00+08:00,13,2
8,8,1994,1.5,1.0,27916,7.188242432374224,38,0.0033229094062080288,0.007338310025628856,6.04697658473413,True,29,26,3,0.896551724137931,316138.8462725909,266471.6707136877,0.13323583535684388,-47597.369665860664,-0.022033463085205898,9.874304392715539,9188.678300471991,31558,0.48867278836773564,49667.17555890324,2026-05-08 17:25:00+08:00,2026-06-22 13:44:00+08:00,1,4
9,9,498,3.0,1.0,29412,7.044379997195687,38,0.0016578139904972243,0.0037358832492898025,5.228746414776733,True,33,26,7,0.7878787878787878,185440.974508536,129389.46768335877,0.06469473384167929,-25789.085362789687,-0.012372895663642879,5.833248842215693,3920.892960101781,15534,0.2405425912448319,56051.50682517723,2026-05-08 17:25:00+08:00,2026-06-22 13:44:00+08:00,31,8
10,10,498,2.0,0.0,29412,6.992969631521572,38,0.0021909418666411057,0.004973584289572322,4.7225554353312384,True,90,65,25,0.7222222222222222,326902.7088268742,172453.68064305471,0.08622684032152733,-38486.56880919752,-0.018258513108481787,2.787516472529593,1916.1520071450525,17780,0.2753216990043203,154449.02818381952,2026-05-08 17:25:00+08:00,2026-06-22 13:44:00+08:00,12,13
