rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,start,end,rank_net_pnl,rank_return_over_max_dd
1,1,37,1.5,0.5,371,3.414396315626646,48,6.554341744284774e-05,0.0003047301483499437,1.210171294447657,True,7,6,1,0.8571428571428571,6612.369311000955,6612.369311000955,0.0031487472909529296,-5479.717414897867,-0.0026019021483979854,7.1217429717978025,944.6241872858508,8774,0.07161864337605094,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,1,8
2,2,20,1.5,0.5,388,3.220718074431574,48,5.609123590070986e-05,0.00027646653477993995,1.0540406367091308,True,10,8,2,0.8,5657.676613271013,5657.676613271013,0.0026941317206053508,-5379.878261202481,-0.002556003655624535,5.722437743283849,565.7676613271012,4128,0.03369520855440372,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,2,15
3,3,20,1.5,0.0,388,3.0392681699914363,48,5.2142060527821575e-05,0.00027234501982787893,0.979802943943206,True,10,7,3,0.7,5258.6984441325585,5258.6984441325585,0.0025041421162536634,-5379.878261202481,-0.002555760963705387,3.7997682349323045,525.8698444132558,2803,0.02287976491714962,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,4,16
4,4,37,1.5,0.0,371,2.9858106077502233,48,5.329628627903186e-05,0.0002833576629373774,3.0252952255779637,True,7,5,2,0.7142857142857143,5375.03025619428,5375.03025619428,0.002559538217235268,-1780.1121566388756,-0.0008460457662429571,4.053532029366076,767.8614651706114,755,0.00616276222349196,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,3,1
5,5,74,1.5,0.5,334,2.821775368518767,48,5.086489949938239e-05,0.00028615149747012445,2.415655791862432,True,5,4,1,0.8,5129.267760310018,5129.267760310018,0.0024425084572904077,-2129.406222695019,-0.001011116097549342,5.748684984957939,1025.8535520620037,4510,0.03681332136152151,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,5,4
6,6,20,2.0,0.5,388,2.808743668321091,48,5.0707763519258764e-05,0.0002865910477884772,2.8145685166039276,True,5,4,1,0.8,5113.378176970553,5113.378176970553,0.0024349419890335273,-1820.1083547193557,-0.0008651208789798944,5.733974381154952,1022.6756353941106,1882,0.01536201126438658,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,6,2
7,7,20,2.0,0.0,388,2.58223048925012,48,4.678289138543984e-05,0.0002876022804324435,2.654982111490351,True,5,3,2,0.6,4716.81567981006,4716.81567981006,0.0022461027046714334,-1780.2110065585002,-0.0008459954193102278,3.6794526353780346,943.3631359620119,557,0.004546567627132479,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,7,3
8,8,37,2.0,0.5,371,2.431888594684072,48,4.17871597798806e-05,0.00027277178654061004,0.7136100534087466,True,5,4,1,0.8,4212.608264929124,4212.608264929124,0.0020060039356805475,-5920.222430662252,-0.002811064566843391,4.9000400349482955,842.5216529858247,7390,0.0603216063994776,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,8,24
9,9,37,2.0,0.0,371,2.1220533008586053,48,3.5106287888578745e-05,0.00026262066227149977,1.9898020655126583,True,5,3,2,0.6,3538.228189996469,3538.228189996469,0.0016848705666649732,-1780.1121566393413,-0.0008467528483698093,3.0100525188503546,707.6456379992939,622,0.0050771365602807934,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,10,5
10,10,74,1.5,0.0,334,2.0846889475004384,48,3.526384157912649e-05,0.00026852741327097664,1.7442984636775458,True,5,3,2,0.6,3553.980914184286,3553.980914184286,0.0016923718638973133,-2040.100931194611,-0.0009702306681674451,3.0190015750536823,710.7961828368573,618,0.005044486164394743,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,9,6
