rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,start,end,rank_net_pnl,rank_return_over_max_dd
1,1,296,3.0,0.5,1624,-2.749779187292586,52,-3.540131152424131e-05,0.00020437219136323624,-0.7037785587580633,False,9,3,6,0.3333333333333333,8941.144861878303,-5152.758456935381,-0.001840270877476848,-7322.787539636251,-0.002614843624568953,0.19101977905848397,-572.5287174372646,3365,0.02775211955266717,14093.903318813685,2026-05-08 08:45:00+08:00,2026-07-31 13:37:00+08:00,2,6
2,2,296,2.5,0.5,1624,-3.2316349196780263,52,-4.1876862566181394e-05,0.00020570844193400082,-0.7455721358551088,False,11,3,8,0.2727272727272727,11188.684409263498,-6093.7805850011,-0.0021763502089290083,-8174.401352173649,-0.0029190337249298043,0.1608891366769079,-553.9800531819182,3503,0.02889024510935902,17282.4649942646,2026-05-08 08:45:00+08:00,2026-07-31 13:37:00+08:00,3,9
3,3,148,3.0,0.5,1772,-3.465190983934331,52,-3.0060692969031004e-05,0.00013771209414383806,-0.6278387225808331,False,9,2,7,0.2222222222222222,9726.471603073027,-4374.83593583954,-0.0015624414056569472,-6968.937422574963,-0.002488603122843838,0.21115536310762484,-486.0928817599489,921,0.007595750997921684,14101.307538912568,2026-05-08 08:45:00+08:00,2026-07-31 13:37:00+08:00,1,5
4,4,74,3.0,0.5,1846,-3.6015738275162943,52,-5.17145378198482e-05,0.00022794002753899186,-0.6021167808847429,False,11,3,8,0.2727272727272727,9854.831118229331,-7523.416104923749,-0.002686934323187119,-12510.125092019327,-0.004462480383355155,0.22632328628205167,-683.9469186294317,3620,0.029855177646554282,17378.247223153077,2026-05-08 08:45:00+08:00,2026-07-31 13:37:00+08:00,8,4
5,5,148,2.5,0.5,1772,-4.272342188522048,52,-4.478668778235849e-05,0.00016641144274926186,-0.49882418404633194,False,12,2,10,0.16666666666666666,12385.326642041162,-6515.473491826662,-0.002326954818509486,-13066.4064440215,-0.004664879717005367,0.11913014730462133,-542.9561243188886,970,0.007999868043413717,18900.800133867826,2026-05-08 08:45:00+08:00,2026-07-31 13:37:00+08:00,5,1
6,6,148,3.0,0.0,1772,-4.697058062754452,52,-4.216632580096046e-05,0.00014250828107316917,-0.898760173079675,False,9,2,7,0.2222222222222222,7966.0243629786,-6134.267677161542,-0.002190809884700492,-6825.255347198807,-0.0024375911954281453,0.10361001219089869,-681.5852974623936,729,0.00601227196252433,14100.292040140142,2026-05-08 08:45:00+08:00,2026-07-31 13:37:00+08:00,4,22
7,7,20,3.0,0.5,1900,-5.040258078053318,52,-8.236890834259706e-05,0.00025942439120802487,-0.8830903338902341,False,10,2,8,0.2,3961.519516970301,-11972.545464852728,-0.004275909094590294,-13557.554652546998,-0.0048419838044810705,0.05980154349770844,-1197.2545464852728,501,0.004131890607989971,15934.064981823027,2026-05-08 08:45:00+08:00,2026-07-31 13:37:00+08:00,11,18
8,8,148,2.5,0.0,1772,-5.057134912813962,52,-5.1137576920564986e-05,0.00016052248577283907,-0.5705501732285353,False,12,2,10,0.16666666666666666,11462.343040784704,-7437.765993405401,-0.0026563449976448566,-13038.593122400343,-0.00465576056635575,0.06372277862415245,-619.8138327837834,764,0.006300926995018639,18900.109034190104,2026-05-08 08:45:00+08:00,2026-07-31 13:37:00+08:00,7,2
9,9,296,2.0,0.5,1624,-5.0922071007592145,52,-0.00012486986205226898,0.00038927081483546325,-0.7446519740272481,False,22,2,20,0.09090909090909091,16177.407046247681,-18134.040487623206,-0.006476443031294039,-24361.542464996222,-0.008697275045506096,0.040548480043156705,-824.2745676192367,3932,0.03242833107907499,34311.44753387088,2026-05-08 08:45:00+08:00,2026-07-31 13:37:00+08:00,16,8
10,10,296,3.0,0.0,1624,-5.0973554566398915,52,-5.094424437627284e-05,0.00015865379900961558,-0.9644861491380473,False,9,2,7,0.2222222222222222,6694.552007690643,-7409.647354534829,-0.002646302626619581,-7682.573148807976,-0.00274374352496877,0.08733371216177502,-823.2941505038699,666,0.0054926929040345724,14104.199362225472,2026-05-08 08:45:00+08:00,2026-07-31 13:37:00+08:00,6,30
11,11,74,2.5,0.5,1846,-5.142825432895052,52,-9.215735793150151e-05,0.0002844647796270956,-0.576850132918047,False,20,4,16,0.2,18257.859230239523,-13392.378659896804,-0.00478299237853465,-23252.25894452352,-0.008291568477828831,0.18982797760924247,-669.6189329948402,3844,0.031702569854517866,31650.237890136326,2026-05-08 08:45:00+08:00,2026-07-31 13:37:00+08:00,12,3
