rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,start,end,rank_net_pnl,rank_return_over_max_dd
1,1,148,1.5,0.5,1772,7.587624605607964,52,0.00024188070789489215,0.0005060526053657068,6.975815953308679,True,49,38,11,0.7755102040816326,35417.43232603896,35417.43232603896,0.012649082973585298,-5138.729109135922,-0.001813276476651559,5.121927122058206,722.8047413477339,8500,0.0701019364629037,0.0,2026-05-08 08:45:00+08:00,2026-07-31 13:37:00+08:00,2,2
2,2,148,1.5,0.0,1772,7.474453275595225,52,0.00025463614526776617,0.0005408052391360831,7.346851987220928,True,54,41,13,0.7592592592592593,37295.643976558174,37295.643976558174,0.013319872848770713,-5138.729109135922,-0.001813004110051383,5.133195669817658,690.6600736399662,8067,0.06653086134661697,0.0,2026-05-08 08:45:00+08:00,2026-07-31 13:37:00+08:00,1,1
3,3,20,1.5,0.5,1900,7.189700889223293,52,0.0002276825304053376,0.0005027118896387097,5.355072439810681,True,85,58,27,0.6823529411764706,33325.528307501285,33325.528307501285,0.011901974395536152,-6275.812090002,-0.0022225608578241613,3.0857403683150606,392.0650389117798,22238,0.18340316036024149,0.0,2026-05-08 08:45:00+08:00,2026-07-31 13:37:00+08:00,3,4
4,4,20,1.5,0.0,1900,6.970576229325344,52,0.0001788781568927529,0.00040736986660767726,4.24161089160374,True,94,57,37,0.6063829787234043,26151.861440090626,26151.861440090626,0.009339950514318022,-6224.38160212012,-0.0022019819245575863,2.490405981328043,278.2112919158577,15419,0.1271649127437073,0.0,2026-05-08 08:45:00+08:00,2026-07-31 13:37:00+08:00,5,7
5,5,37,2.0,0.0,1883,6.859575591093298,52,0.00013616718477621256,0.00031511964802611247,3.236979156102323,True,40,26,14,0.65,19887.80273177792,19887.80273177792,0.007102786689920717,-6188.402621417306,-0.002194263956420791,4.397034290748185,497.195068294448,3844,0.031702569854517866,0.0,2026-05-08 08:45:00+08:00,2026-07-31 13:37:00+08:00,10,14
6,6,148,2.5,0.5,1772,6.82941357430796,52,8.489916872008643e-05,0.00019734234968093057,1.662125528643684,True,12,11,1,0.9166666666666666,12385.326642041162,12385.326642041162,0.004423330943586106,-7487.688326642849,-0.0026612496272743016,36.35425227409927,1032.11055350343,970,0.007999868043413717,0.0,2026-05-08 08:45:00+08:00,2026-07-31 13:37:00+08:00,22,32
7,7,148,2.5,0.0,1772,6.815893882087043,52,7.858369177686188e-05,0.00018302477339914036,1.4464716882540491,True,12,11,1,0.9166666666666666,11462.343040784704,11462.343040784704,0.004093693943137436,-7962.87180961296,-0.002830123794596141,77.17133368988593,955.1952533987254,764,0.006300926995018639,0.0,2026-05-08 08:45:00+08:00,2026-07-31 13:37:00+08:00,24,35
8,8,37,2.0,0.5,1883,6.331552669220084,52,0.0001392859122763695,0.0003492184975191171,3.3111360584220417,True,39,27,12,0.6923076923076923,20343.46184110601,20343.46184110601,0.007265522086109267,-6188.402621417306,-0.002194268661243637,4.009206374103527,521.6272266950259,6845,0.05645267706924422,0.0,2026-05-08 08:45:00+08:00,2026-07-31 13:37:00+08:00,9,13
9,9,37,1.5,0.5,1883,5.932880380718427,52,0.00019746899171335652,0.0005283644471425705,4.996939361089646,True,72,47,25,0.6527777777777778,28876.619038150253,28876.619038150253,0.010313078227910779,-5838.961097549181,-0.002063879003258883,2.9269148624583323,401.0641533076424,13687,0.11288061227856036,0.0,2026-05-08 08:45:00+08:00,2026-07-31 13:37:00+08:00,4,5
10,10,296,2.5,0.0,1624,5.92975236752413,52,6.14251681167594e-05,0.00016444098404581588,3.523092599065759,True,11,10,1,0.9090909090909091,8955.591354303016,8955.591354303016,0.003198425483679665,-2550.2351432233118,-0.0009078459886429928,1881.174395559603,814.1446685730015,719,0.005929799096097384,0.0,2026-05-08 08:45:00+08:00,2026-07-31 13:37:00+08:00,30,12
