entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
70,2026-06-06 03:20:00+08:00,1.867455009380092,71,2026-06-06 03:25:00+08:00,open,5,1.8303397370337875,short_tsm_long_qff,125.32099000000001,125.32099000000001,125.0,125.0,True,-7979.509258584694,8000.0,4,4.0,1000000.0,1000000.0,2000.0,300.0,700.0,20,1020.0,163,2026-06-09 22:05:00+08:00,-0.0054353155788508,164,2026-06-09 22:10:00+08:00,open,0.0680407381175127,128.433916,128.433916,129.5,129.5,-24839.62183828903,36000.0,11160.37816171097,307.4518865514867,725.2,20,1052.6518865514868,607.4518865514867,1425.2,40,2072.6518865514868,9087.726275159484,9087.726275159484,zscore_exit,5445
234,2026-06-10 21:30:00+08:00,1.778575619175244,235,2026-06-10 21:35:00+08:00,open,5,1.4610803720322738,short_tsm_long_qff,121.496445,121.496445,121.0,121.0,True,-7967.3113069275405,8000.0,4,4.132231404958677,1000000.0,968000.0,2000.0,290.4,677.6,20,988.0,312,2026-06-11 21:30:00+08:00,-0.789011930994832,313,2026-06-11 21:35:00+08:00,open,-0.6419088575431114,126.07718,126.07718,128.0,128.0,-36496.14175953876,56000.0,19503.85824046124,301.3488425278616,716.8,20,1038.1488425278617,591.7488425278616,1394.4,40,2026.1488425278617,17477.709397933377,17477.709397933377,zscore_exit,1440
346,2026-06-12 00:20:00+08:00,-1.677221168828808,347,2026-06-12 00:25:00+08:00,open,5,-1.750895816600994,long_tsm_short_qff,127.21585999999999,127.21585999999999,129.5,129.5,True,8143.638694106223,-8000.0,-4,3.861003861003861,1000000.0,1036000.0,2000.0,310.8,725.2,20,1056.0,556,2026-06-16 22:20:00+08:00,0.0611994400034061,557,2026-06-16 22:25:00+08:00,open,-0.2418464980194244,139.19022,139.19022,140.0,140.0,97514.86143315794,-84000.0,13514.861433157945,340.0544584299474,784.0,24,1148.0544584299473,650.8544584299474,1509.2,44,2204.0544584299473,11310.806974727997,11310.806974727997,zscore_exit,7080
624,2026-06-17 21:30:00+08:00,-1.730622795939422,625,2026-06-17 21:35:00+08:00,open,5,-1.775118843062514,long_tsm_short_qff,139.853952,139.853952,143.0,143.0,False,6134.971430768006,-6000.0,-3,3.4965034965034967,1000000.0,858000.0,2000.0,257.4,600.6,18,876.0,787,2026-06-22 22:05:00+08:00,0.4190967261747294,788,2026-06-22 22:10:00+08:00,open,0.2284402198068374,177.71002000000001,177.71002000000001,180.0,180.0,232245.89566121105,-222000.0,10245.895661211049,327.0737686983633,756.0,21,1104.0737686983634,584.4737686983633,1356.6,39,1980.0737686983634,8265.821892512686,8265.821892512686,zscore_exit,7235
854,2026-06-23 03:40:00+08:00,-1.5120850071036336,855,2026-06-23 03:45:00+08:00,open,5,-1.7523537463765029,long_tsm_short_qff,172.88096000000002,172.88096000000002,178.5,178.5,False,6195.014187797198,-6000.0,-3,2.8011204481792715,1000000.0,1071000.0,2000.0,321.3,749.7,21,1092.0,858,2026-06-23 21:30:00+08:00,0.7636739197221631,859,2026-06-23 21:35:00+08:00,open,-0.1670372253023868,167.21203799999998,167.21203799999998,169.5,169.5,-35119.0522195159,54000.0,18880.9477804841,310.7642843341452,711.9,21,1043.6642843341451,632.0642843341452,1461.6,42,2135.664284334145,16745.283496149954,16745.283496149954,zscore_exit,1070
948,2026-06-24 22:30:00+08:00,1.7028526191223805,949,2026-06-24 22:35:00+08:00,open,5,1.3684828442747308,short_tsm_long_qff,176.49501800000002,176.49501800000002,178.0,178.0,False,-6051.162305329207,6000.0,3,2.808988764044944,1000000.0,1068000.0,2000.0,320.4,747.6,21,1089.0,991,2026-06-25 02:05:00+08:00,-0.0126822172867199,992,2026-06-25 02:10:00+08:00,open,-0.1268104716985155,176.091046,176.091046,180.0,180.0,2444.500138808512,12000.0,14444.500138808511,319.6666499583574,756.0,21,1096.6666499583575,640.0666499583574,1503.6,42,2185.6666499583575,12258.833488850154,12258.833488850154,zscore_exit,215
1014,2026-06-25 21:30:00+08:00,1.576331716849244,1015,2026-06-25 21:35:00+08:00,open,5,1.2657806264541769,short_tsm_long_qff,182.53283199999998,182.53283199999998,184.5,184.5,False,-6064.6623835869705,6000.0,3,2.710027100271003,1000000.0,1107000.0,2000.0,332.1,774.9,21,1128.0,1128,2026-06-27 00:30:00+08:00,-0.1759864804712875,1129,2026-06-27 00:35:00+08:00,open,0.1473807023004554,162.939484,162.939484,166.5,166.5,118827.04058412895,-108000.0,10827.040584128947,296.4518878247613,699.3,21,1016.7518878247613,628.5518878247613,1474.1999999999998,42,2144.751887824761,8682.288696304186,8682.288696304186,zscore_exit,1620
1228,2026-06-30 02:20:00+08:00,1.5694318170505066,1229,2026-06-30 02:25:00+08:00,open,5,1.4195870047235046,short_tsm_long_qff,170.402328,170.402328,171.5,171.5,True,-6038.649894501441,6000.0,3,2.9154518950437316,1000000.0,1029000.0,2000.0,308.7,720.3,21,1050.0,1326,2026-07-01 21:30:00+08:00,-0.5493064819118435,1327,2026-07-01 21:35:00+08:00,open,-0.3556996070201795,165.98769,165.98769,169.5,169.5,26658.453292962204,-12000.0,14658.453292962204,300.70246401211136,711.9,21,1033.6024640121113,609.4024640121113,1432.1999999999998,42,2083.6024640121113,12574.850828950093,12574.850828950093,zscore_exit,2590
1417,2026-07-02 22:35:00+08:00,-2.12482862566132,1418,2026-07-02 22:40:00+08:00,open,5,-2.787123509722979,long_tsm_short_qff,160.950432,160.950432,165.5,165.5,False,6169.601334154853,-6000.0,-3,3.0211480362537766,1000000.0,993000.0,2000.0,297.9,695.1,21,1014.0,1453,2026-07-03 01:35:00+08:00,0.1999227780976636,1454,2026-07-03 01:40:00+08:00,open,0.398107610488851,154.94591,154.94591,157.0,157.0,-37045.50694216222,51000.0,13954.493057837783,286.78634791735135,659.4,18,964.1863479173513,584.6863479173513,1354.5,39,1978.1863479173512,11976.30670992043,11976.30670992043,zscore_exit,180
1530,2026-07-07 01:30:00+08:00,-1.7743203011931592,1531,2026-07-07 01:35:00+08:00,open,5,-2.005697665218009,long_tsm_short_qff,166.13880799999998,166.13880799999998,170.5,170.5,False,6157.5017439633975,-6000.0,-3,2.932551319648094,1000000.0,1023000.0,2000.0,306.9,716.1,21,1044.0,1560,2026-07-07 21:30:00+08:00,0.8862445032989352,1561,2026-07-07 21:35:00+08:00,open,1.2020145313371724,154.16036000000003,154.16036000000003,155.5,155.5,-73757.31444997461,90000.0,16242.685550025388,284.7728056650076,653.1,18,955.8728056650076,591.6728056650076,1369.2,39,1999.8728056650075,14242.81274436038,14242.81274436038,zscore_exit,1200
