entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_crossing_cost_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_crossing_cost_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,crossing_cost_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
47,2026-07-06 22:17:00+08:00,1.2669505887307364,48,2026-07-06 22:18:00+08:00,open,1,1.2807011907558814,short_tsm_long_qff,171.45123700000002,171.45123700000002,172.5,172.5,False,-6036.701852433995,6000.0,3,2.898550724637681,1000000.0,1035000.0,2000.0,258.75,264.0,21,2226.285,2770.035,188,2026-07-07 00:38:00+08:00,-1.1394746417884858,189,2026-07-07 00:39:00+08:00,open,-0.841218445627664,167.85049,167.85049,171.5,171.5,21736.636085046226,-6000.0,15736.636085046226,253.31584097873844,264.0,21,2179.5294957810656,2717.845336759804,512.0658409787384,528.0,42,4405.8144957810655,5487.880336759804,10248.755748286421,10248.755748286421,zscore_exit,141
203,2026-07-07 00:53:00+08:00,-1.2585343165879477,204,2026-07-07 00:54:00+08:00,open,1,-0.7827211787626567,long_tsm_short_qff,167.712,167.712,171.0,171.0,False,6117.63022323984,-6000.0,-3,2.9239766081871346,1000000.0,1026000.0,2000.0,256.5,264.0,21,2206.926,2748.426,390,2026-07-07 21:30:00+08:00,2.2279881706952827,391,2026-07-07 21:31:00+08:00,open,2.4718493117398936,156.5992,156.5992,156.5,156.5,-67984.00114481966,87000.0,19015.99885518034,239.50399971379508,264.0,18,2060.692413537493,2582.196413251288,496.0039997137951,528.0,39,4267.618413537493,5330.622413251288,13685.376441929053,13685.376441929053,zscore_exit,1237
392,2026-07-07 21:32:00+08:00,1.4190001899028502,393,2026-07-07 21:33:00+08:00,open,1,1.776732763124567,short_tsm_long_qff,155.6365,155.6365,156.0,156.0,False,-6014.013422301324,6000.0,3,3.2051282051282053,1000000.0,936000.0,2000.0,234.0,264.0,18,2013.336,2529.3360000000002,891,2026-07-08 23:21:00+08:00,-0.830522791844319,892,2026-07-08 23:22:00+08:00,open,-0.7709565745917367,155.373126,155.373126,158.5,158.5,1583.934771085182,15000.0,16583.934771085183,233.6040163072287,264.0,18,2009.928956307396,2525.5329726146247,467.6040163072287,528.0,36,4023.264956307396,5054.868972614625,11529.065798470558,11529.065798470558,zscore_exit,1549
918,2026-07-08 23:48:00+08:00,-1.0721291315841035,919,2026-07-08 23:49:00+08:00,open,1,-0.9686257287857806,long_tsm_short_qff,155.488756,155.488756,159.0,159.0,False,6135.491880840567,-6000.0,-3,3.1446540880503147,1000000.0,954000.0,2000.0,238.5,264.0,18,2052.054,2572.554,1170,2026-07-09 21:30:00+08:00,1.113723822443428,1171,2026-07-09 21:31:00+08:00,open,0.7296167708855393,160.26636000000002,160.26636000000002,161.5,161.5,29312.95055187157,-15000.0,14312.95055187157,245.8282376379679,264.0,18,2115.106156637076,2642.934394275044,484.3282376379679,528.0,36,4167.1601566370755,5215.488394275044,9097.462157596527,9097.462157596527,zscore_exit,1302
1173,2026-07-09 21:33:00+08:00,1.54692731361809,1174,2026-07-09 21:34:00+08:00,open,1,1.5400588078224686,short_tsm_long_qff,160.84563599999998,160.84563599999998,161.5,161.5,False,-6024.409639562743,6000.0,3,3.0959752321981426,1000000.0,969000.0,2000.0,242.25000000000006,264.0,18,2084.3190000000004,2608.5690000000004,1563,2026-07-13 21:33:00+08:00,-1.0849586231053292,1564,2026-07-13 21:34:00+08:00,open,-0.6550430423350628,150.654686,150.654686,153.5,153.5,61394.457416301855,-48000.0,13394.457416301855,226.90138564592456,264.0,18,1952.2595220975347,2461.160907743459,469.1513856459246,528.0,36,4036.578522097535,5069.72990774346,8324.727508558395,8324.727508558395,zscore_exit,5760
1565,2026-07-13 21:35:00+08:00,-1.0597859186397658,1566,2026-07-13 21:36:00+08:00,open,1,-1.022951508927445,long_tsm_short_qff,150.127656,150.127656,153.0,153.0,False,6114.7960639577295,-6000.0,-3,3.2679738562091503,1000000.0,918000.0,2000.0,229.5,264.0,18,1974.6180000000002,2486.1180000000004,1610,2026-07-13 22:20:00+08:00,0.8883560631127425,1611,2026-07-13 22:21:00+08:00,open,0.6730210382933495,150.939555,150.939555,152.5,152.5,4964.596809531284,3000.0,7964.596809531284,230.74114920238284,264.0,18,1985.296847737302,2498.037996939685,460.24114920238287,528.0,36,3959.914847737302,4984.155996939686,2980.440812591598,2980.440812591598,zscore_exit,45
1635,2026-07-13 22:45:00+08:00,1.243834591382581,1636,2026-07-13 22:46:00+08:00,open,1,1.446234969282984,short_tsm_long_qff,151.1693,151.1693,152.0,152.0,False,-6032.970980218867,6000.0,3,3.289473684210526,1000000.0,912000.0,2000.0,228.0,264.0,18,1961.7120000000002,2471.7120000000004,1997,2026-07-14 22:17:00+08:00,-0.8324726063613997,1998,2026-07-14 22:18:00+08:00,open,-0.9762620945498992,151.5762,151.5762,154.5,154.5,-2454.8158918511017,15000.0,12545.184108148898,228.61370397296278,264.0,18,1966.9923089833717,2477.6060129563343,456.61370397296275,528.0,36,3928.704308983372,4949.318012956335,7595.866095192563,7595.866095192563,zscore_exit,1412
2022,2026-07-14 22:42:00+08:00,-1.1997783588529491,2023,2026-07-14 22:43:00+08:00,open,1,0.1146666072862189,long_tsm_short_qff,152.705648,152.705648,155.5,155.5,False,6109.793660022319,-6000.0,-3,3.215434083601286,1000000.0,933000.0,2000.0,233.24999999999994,264.0,18,2006.8829999999998,2522.133,2071,2026-07-14 23:31:00+08:00,0.855662029651752,2072,2026-07-14 23:32:00+08:00,open,0.6569076880425414,154.95004999999998,154.95004999999998,156.0,156.0,13712.833110141288,-3000.0,10712.833110141288,236.6782082775353,264.0,18,2036.379304019914,2555.057512297449,469.92820827753525,528.0,36,4043.2623040199137,5077.1905122974495,5635.642597843838,5635.642597843838,zscore_exit,49
2083,2026-07-14 23:43:00+08:00,1.0713445019086576,2084,2026-07-14 23:44:00+08:00,open,1,0.7681980665163991,short_tsm_long_qff,155.290816,155.290816,156.5,156.5,False,-6046.719466011435,6000.0,3,3.194888178913738,1000000.0,939000.0,2000.0,234.75,264.0,18,2019.7890000000002,2536.539,2285,2026-07-15 03:05:00+08:00,-0.9748780204176672,2286,2026-07-15 03:06:00+08:00,open,-1.0070058708160463,153.207836,153.207836,156.0,156.0,12595.195713312622,-3000.0,9595.195713312622,231.60120107167185,264.0,18,1992.6967340206645,2506.2979350923365,466.3512010716719,528.0,36,4012.4857340206645,5042.836935092337,4552.358778220285,4552.358778220285,zscore_exit,202
2340,2026-07-15 21:30:00+08:00,-1.5678468584784084,2341,2026-07-15 21:31:00+08:00,open,1,-1.805322851371124,long_tsm_short_qff,165.44701006,165.44701006,169.0,169.0,False,6128.850558449312,-6000.0,-3,2.9585798816568047,1000000.0,1014000.0,2000.0,253.5,264.0,21,2181.114,2719.614,2730,2026-07-16 21:30:00+08:00,0.973890521097629,2731,2026-07-16 21:31:00+08:00,open,0.4729051024000218,148.419148,148.419148,149.0,149.0,-104361.2218956288,120000.0,15638.778104371202,227.4096945260928,264.0,18,1956.6330117025025,2466.0427062285953,480.90969452609284,528.0,39,4137.747011702502,5185.656706228596,10453.121398142606,10453.121398142606,zscore_exit,1440
