entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_crossing_cost_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_crossing_cost_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,crossing_cost_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
115,2026-07-06 10:40:00+08:00,-2.147798639583508,116,2026-07-06 10:41:00+08:00,open,1,-1.9245998922460956,long_tsm_short_qff,2817.105046,2817.105046,2479.0,2479.0,False,351.99255399012196,-400.0,-4,4.033884630899556,1000000.0,991600.0,100.0,495.80000000000007,352.0,20,748.658,1616.458,301,2026-07-06 17:25:00+08:00,0.2078898578420672,302,2026-07-06 17:26:00+08:00,open,0.3543396079981268,2859.4613839999997,2859.4613839999997,2482.0,2482.0,14909.115590288713,-1200.0,13709.115590288713,503.2545577951444,352.0,20,759.9143822706679,1635.1689400658124,999.0545577951445,704.0,40,1508.572382270668,3251.6269400658125,10457.4886502229,10457.4886502229,zscore_exit,405
552,2026-07-06 21:36:00+08:00,2.221245870172743,553,2026-07-06 21:37:00+08:00,open,1,1.8282120122326933,short_tsm_long_qff,2911.8796720000005,2911.8796720000005,2500.0,2500.0,False,-343.42078404399115,400.0,4,4.0,1000000.0,1000000.0,100.0,500.0,352.0,20,755.0,1627.0,1041,2026-07-07 09:29:00+08:00,-0.1149637433343974,1042,2026-07-07 09:30:00+08:00,open,0.0463335689820618,2875.191354,2875.191354,2500.0,2500.0,12599.530932815424,0.0,12599.530932815424,493.7002345335922,352.0,20,745.4873541457242,1611.1875886793164,993.7002345335923,704.0,40,1500.487354145724,3238.1875886793164,9361.343344136107,9361.343344136107,zscore_exit,713
2281,2026-07-08 13:32:00+08:00,-2.130164535850601,2282,2026-07-08 13:33:00+08:00,open,1,-2.079364653020359,long_tsm_short_qff,2810.0969560000003,2810.0969560000003,2467.0,2467.0,False,351.1622607515468,-400.0,-4,4.053506282934738,1000000.0,986800.0,100.0,493.4,352.0,20,745.034,1610.434,3015,2026-07-09 09:09:00+08:00,0.0928524568602901,3016,2026-07-09 09:10:00+08:00,open,0.1747596052423394,2823.712896,2823.712896,2453.0,2453.0,4781.404272657304,5600.0,10381.404272657304,495.7907021363286,352.0,20,748.6439602258563,1616.434662362185,989.1907021363286,704.0,40,1493.6779602258562,3226.868662362185,7154.535610295119,7154.535610295119,zscore_exit,1177
4555,2026-07-13 21:51:00+08:00,-2.173549205063782,4556,2026-07-13 21:52:00+08:00,open,1,-2.2410799495761213,long_tsm_short_qff,2749.633898,2749.633898,2442.0,2442.0,False,355.24729336167064,-400.0,-4,4.095004095004095,1000000.0,976800.0,100.0,488.4,352.0,20,737.4839999999999,1597.884,5471,2026-07-14 20:30:00+08:00,0.2328734144071709,5472,2026-07-14 20:31:00+08:00,open,0.1964704921336169,2788.79529,2788.79529,2433.0,2433.0,13911.978512275375,3600.0,17511.978512275375,495.3559892561377,352.0,20,747.9875437767679,1615.3435330329057,983.7559892561377,704.0,40,1485.4715437767677,3213.2275330329057,14298.750979242468,14298.750979242468,zscore_exit,1359
6302,2026-07-15 17:44:00+08:00,-2.1981561679371207,6303,2026-07-15 17:45:00+08:00,open,1,-2.2123297712203462,long_tsm_short_qff,2751.3092860000006,2751.3092860000006,2476.0,2476.0,False,359.97406945109253,-400.0,-4,4.038772213247173,1000000.0,990400.0,100.0,495.2,352.0,20,747.752,1614.952,7583,2026-07-16 22:28:00+08:00,0.1076252241442597,7584,2026-07-16 22:29:00+08:00,open,0.182292818439883,2679.6547440000004,2679.6547440000004,2403.0,2403.0,-25793.777078394305,29200.0,3406.222921605695,482.3031114608029,352.0,20,728.2776983058122,1582.5808097666152,977.5031114608029,704.0,40,1476.0296983058122,3197.532809766615,208.6901118390797,208.6901118390797,zscore_exit,1724
10702,2026-07-22 00:36:00+08:00,2.166963515076763,10703,2026-07-22 00:37:00+08:00,open,1,2.114447477646624,short_tsm_long_qff,2738.60294,2738.60294,2440.0,2440.0,False,-356.3860922459975,400.0,4,4.098360655737705,1000000.0,976000.0,100.0,488.0,352.0,20,736.88,1596.88,12590,2026-07-24 03:51:00+08:00,-0.0984112455218473,12591,2026-07-24 03:52:00+08:00,open,-0.0288809248221068,2681.8230539999995,2681.8230539999995,2386.0,2386.0,20235.561689713475,-21600.0,-1364.438310286525,477.8822191551432,352.0,20,721.6021509242663,1571.4843700794095,965.8822191551433,704.0,40,1458.4821509242663,3168.3643700794096,-4532.802680365934,-4532.802680365934,zscore_exit,3075
13877,2026-07-27 21:05:00+08:00,-2.258245784035197,13878,2026-07-27 21:06:00+08:00,open,1,-2.06005583389716,long_tsm_short_qff,2643.2328420000003,2643.2328420000003,2367.0,2367.0,False,358.19772853745434,-400.0,-4,4.224757076468103,1000000.0,946800.0,100.0,473.4000000000001,352.0,20,714.8340000000001,1560.2340000000002,15278,2026-07-29 03:49:00+08:00,0.1088012969119205,15279,2026-07-29 03:50:00+08:00,open,0.0027615245615162,2558.522448,2558.522448,2290.0,2290.0,-30343.070714312864,30800.0,456.92928568713614,458.2284646428436,352.0,20,691.9249816106937,1522.1534462535374,931.6284646428437,704.0,40,1406.7589816106938,3082.3874462535377,-2625.4581605664016,-2625.4581605664016,zscore_exit,1844
15653,2026-07-29 17:27:00+08:00,2.128920502019694,15654,2026-07-29 17:28:00+08:00,open,1,2.021860311214684,short_tsm_long_qff,2525.58231,2525.58231,2233.0,2233.0,False,-353.6610137247913,400.0,4,4.478280340349306,1000000.0,893200.0,100.0,446.6,352.0,16,674.3659999999999,1488.966,15951,2026-07-29 22:25:00+08:00,-0.2022508192997637,15952,2026-07-29 22:26:00+08:00,open,-0.1357765658702794,2470.2284879999997,2470.2284879999997,2220.0,2220.0,19576.488802061667,-5200.0,14376.488802061667,436.81175559896917,352.0,16,659.5857509544435,1464.3975065534128,883.4117555989692,704.0,32,1333.9517509544435,2953.3635065534127,11423.125295508255,11423.125295508255,zscore_exit,298
16892,2026-07-30 21:29:00+08:00,2.245943136660992,16893,2026-07-30 21:30:00+08:00,open,1,1.119669951970281,short_tsm_long_qff,2551.313576,2551.313576,2258.0,2258.0,False,-354.0137161093521,400.0,4,4.428697962798937,1000000.0,903200.0,100.0,451.6,352.0,20,681.9159999999999,1505.516,17432,2026-07-31 10:13:00+08:00,-0.1429298278683433,17433,2026-07-31 10:14:00+08:00,open,-0.1102061089799408,2675.7639919999997,2675.7639919999997,2395.0,2395.0,-44057.15423951466,54800.0,10742.84576048534,473.6285771197573,352.0,20,715.1791514508335,1560.8077285705908,925.2285771197573,704.0,40,1397.0951514508333,3066.323728570591,7676.522031914748,7676.522031914748,zscore_exit,764
19434,2026-08-04 19:01:00+08:00,2.1536847314675067,19435,2026-08-04 19:02:00+08:00,open,1,1.967371265772985,short_tsm_long_qff,2699.807432,2699.807432,2350.0,2350.0,False,-348.1729803609193,400.0,4,4.25531914893617,1000000.0,940000.0,100.0,470.0000000000001,352.0,20,709.7,1551.7000000000003,20099,2026-08-05 09:50:00+08:00,-0.0876824264422374,20100,2026-08-05 09:51:00+08:00,open,0.0839880311047191,2722.452726,2722.452726,2407.0,2407.0,-7884.479503129217,22800.0,14915.520496870784,473.9422397515646,352.0,20,715.6527820248625,1561.595021776427,943.9422397515648,704.0,40,1425.3527820248626,3113.2950217764273,11802.225475094358,11802.225475094358,zscore_exit,889
