entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_crossing_cost_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_crossing_cost_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,crossing_cost_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
166,2026-06-10 00:16:00+08:00,1.4419798814212532,167,2026-06-10 00:17:00+08:00,open,1,1.2607584656404351,short_tsm_long_qff,119.958692,119.958692,119.0,119.0,False,-7936.065191507757,8000.0,4,4.201680672268908,1000000.0,952000.0,2000.0,238.0,352.0,20,2047.7520000000002,2657.7520000000004,220,2026-06-10 01:10:00+08:00,-0.3202742603398444,221,2026-06-10 01:11:00+08:00,open,-0.092363967684862,121.79090000000001,121.79090000000001,124.0,124.0,-14540.522132402111,40000.0,25459.47786759789,241.63513053310052,352.0,20,2079.0286631067975,2692.663793639898,479.63513053310055,704.0,40,4126.780663106798,5350.415793639899,20109.06207395799,20109.06207395799,zscore_exit,54
371,2026-06-10 03:41:00+08:00,1.1526987515249132,372,2026-06-10 03:42:00+08:00,open,1,1.2018181179184102,short_tsm_long_qff,124.417254,124.417254,123.5,123.5,False,-7941.020784786007,8000.0,4,4.048582995951417,1000000.0,988000.0,2000.0,247.0,352.0,20,2125.188,2744.188,780,2026-06-11 21:30:00+08:00,-1.0179187339713447,781,2026-06-11 21:31:00+08:00,open,-1.1531398805773416,126.20369999999998,126.20369999999998,128.0,128.0,-14186.204816897694,36000.0,21813.795183102306,250.54655120422444,352.0,20,2155.7025265611474,2778.249077765372,497.54655120422444,704.0,40,4280.890526561147,5522.437077765372,16291.358105336934,16291.358105336934,zscore_exit,2509
782,2026-06-11 21:32:00+08:00,-1.198675141421064,783,2026-06-11 21:33:00+08:00,open,1,-0.6923837007843852,long_tsm_short_qff,125.76088,125.76088,128.0,128.0,False,8142.436662338877,-8000.0,-4,3.90625,1000000.0,1024000.0,2000.0,256.0,352.0,20,2202.6240000000003,2830.6240000000003,1950,2026-06-16 21:30:00+08:00,0.940809302539104,1951,2026-06-16 21:31:00+08:00,open,0.4270978472168201,141.3671972,141.3671972,141.0,141.0,127073.44933336975,-104000.0,23073.449333369746,287.76836233334245,352.0,24,2475.9589895160784,3139.7273518494208,543.7683623333425,704.0,44,4678.582989516079,5970.351351849421,17103.097981520325,17103.097981520325,zscore_exit,7198
2003,2026-06-16 22:23:00+08:00,1.5009186021697567,2004,2026-06-16 22:24:00+08:00,open,1,1.5467419575728678,short_tsm_long_qff,138.654873,138.654873,137.5,137.5,False,-7933.36704437355,8000.0,4,3.6363636363636362,1000000.0,1100000.0,2000.0,275.0,352.0,24,2366.1000000000004,3017.1000000000004,2340,2026-06-17 21:30:00+08:00,-1.4835659882261725,2341,2026-06-17 21:31:00+08:00,open,-1.482339141827635,140.169792,140.169792,143.0,143.0,-12018.408469495269,44000.0,31981.59153050473,278.00460211737385,352.0,24,2391.9515966178847,3045.9561987352586,553.0046021173739,704.0,48,4758.051596617885,6063.056198735259,25918.53533176947,25918.53533176947,zscore_exit,1387
2342,2026-06-17 21:32:00+08:00,-1.3826971232358205,2343,2026-06-17 21:33:00+08:00,open,1,-1.455403385437182,long_tsm_short_qff,140.327712,140.327712,143.0,143.0,False,6114.259170704643,-6000.0,-3,3.4965034965034967,1000000.0,858000.0,2000.0,214.49999999999994,264.0,18,1845.558,2342.058,3159,2026-06-22 22:09:00+08:00,0.1936085239422253,3160,2026-06-22 22:10:00+08:00,open,0.0594003231680599,177.71002000000001,177.71002000000001,180.0,180.0,228565.11951110567,-222000.0,6565.119511105673,271.64127987777636,264.0,21,2337.2015720683885,2893.842851946165,486.1412798777763,528.0,39,4182.7595720683885,5235.900851946165,1329.2186591595082,1329.2186591595082,zscore_exit,7237
3442,2026-06-23 02:52:00+08:00,-1.234147373716613,3443,2026-06-23 02:53:00+08:00,open,1,-0.8823415242491064,long_tsm_short_qff,174.002131,174.002131,179.0,179.0,False,6172.338199697107,-6000.0,-3,2.793296089385475,1000000.0,1074000.0,2000.0,268.5,264.0,21,2310.1740000000004,2863.6740000000004,3510,2026-06-23 21:30:00+08:00,0.7054053349729772,3511,2026-06-23 21:31:00+08:00,open,0.5926852205182935,166.331376,166.331376,168.5,168.5,-47346.49410701749,63000.0,15653.50589298251,256.66337647324565,264.0,21,2208.3316911758056,2749.995067649051,525.1633764732456,528.0,42,4518.505691175806,5613.669067649052,10039.83682533346,10039.83682533346,zscore_exit,1118
3700,2026-06-24 00:40:00+08:00,-1.201565747298562,3701,2026-06-24 00:41:00+08:00,open,1,-1.0009422247885964,long_tsm_short_qff,167.52321,167.52321,173.0,173.0,False,6196.156341560074,-6000.0,-3,2.8901734104046244,1000000.0,1038000.0,2000.0,259.5,264.0,21,2232.7380000000003,2777.2380000000003,3900,2026-06-24 21:30:00+08:00,0.6638666243140496,3901,2026-06-24 21:31:00+08:00,open,0.5568894757061227,172.207755,172.207755,174.0,174.0,29026.173209073448,-6000.0,23026.173209073448,266.75654330226837,264.0,21,2295.173298572717,2846.9298418749854,526.2565433022684,528.0,42,4527.911298572717,5624.167841874985,17402.005367198464,17402.005367198464,zscore_exit,1250
4142,2026-06-25 01:32:00+08:00,1.1889310894970495,4143,2026-06-25 01:33:00+08:00,open,1,0.878405483425167,short_tsm_long_qff,175.941874,175.941874,177.0,177.0,False,-6036.084394554078,6000.0,3,2.824858757062147,1000000.0,1062000.0,2000.0,265.5,264.0,21,2284.362,2834.862,4172,2026-06-25 02:02:00+08:00,-0.2771133555144283,4173,2026-06-25 02:03:00+08:00,open,-0.324461070885623,175.44085,175.44085,179.5,179.5,3024.2231476970687,15000.0,18024.22314769707,264.74394421307574,264.0,21,2277.856896009304,2827.6008402223797,530.2439442130758,528.0,42,4562.218896009304,5662.46284022238,12361.760307474691,12361.760307474691,zscore_exit,30
4317,2026-06-25 21:57:00+08:00,1.3567183439691013,4318,2026-06-25 21:58:00+08:00,open,1,1.0392264724340887,short_tsm_long_qff,176.80399500000001,176.80399500000001,178.0,178.0,False,-6040.587487856255,6000.0,3,2.808988764044944,1000000.0,1068000.0,2000.0,267.0,264.0,21,2297.268,2849.268,4482,2026-06-26 00:42:00+08:00,-0.2833180634195927,4483,2026-06-26 00:43:00+08:00,open,-0.1822583777334178,174.97215999999997,174.97215999999997,178.5,178.5,11065.35958081741,3000.0,14065.35958081741,264.23366010479566,264.0,21,2273.4664115416617,2822.700071646457,531.2336601047957,528.0,42,4570.734411541662,5671.968071646457,8393.391509170953,8393.391509170953,zscore_exit,165
4680,2026-06-26 21:30:00+08:00,3.014223206492898,4681,2026-06-26 21:31:00+08:00,open,1,2.301654521102691,short_tsm_long_qff,165.90084,165.90084,165.0,165.0,False,-5967.420056462644,6000.0,3,3.0303030303030303,1000000.0,990000.0,2000.0,247.50000000000006,264.0,21,2129.4900000000002,2661.9900000000002,4894,2026-06-27 01:04:00+08:00,-0.2626266302409678,4895,2026-06-27 01:05:00+08:00,open,-0.2188491194961128,163.61345,163.61345,167.5,167.5,13649.816962952016,15000.0,28649.816962952016,244.087545759262,264.0,21,2100.129243712691,2629.216789471953,491.58754575926207,528.0,42,4229.619243712691,5291.206789471953,23358.61017348006,23358.61017348006,zscore_exit,214
