entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_crossing_cost_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_crossing_cost_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,crossing_cost_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
391,2026-06-10 21:31:00+08:00,2.840134686449728,392,2026-06-10 21:32:00+08:00,open,1,2.3530484621074184,short_tsm_long_qff,122.09712999999999,122.09712999999999,120.5,120.5,False,-7895.353478005585,8000.0,4,4.149377593360996,1000000.0,964000.0,2000.0,241.0,352.0,20,2073.5640000000003,2686.5640000000003,780,2026-06-11 21:30:00+08:00,-2.12398274776402,781,2026-06-11 21:31:00+08:00,open,-2.3212589685650267,126.20369999999998,126.20369999999998,128.0,128.0,-32422.821732173325,60000.0,27577.178267826675,249.1057054330433,352.0,20,2143.305489545905,2764.4111949789485,490.10570543304334,704.0,40,4216.869489545905,5450.975194978949,22126.203072847726,22126.203072847726,zscore_exit,1439
1561,2026-06-15 21:31:00+08:00,-3.4643357364741494,1562,2026-06-15 21:32:00+08:00,open,1,-2.6945993240994284,long_tsm_short_qff,142.776341,142.776341,146.5,146.5,False,6156.482186358873,-6000.0,-3,3.4129692832764507,1000000.0,879000.0,2000.0,219.75,264.0,18,1890.7290000000003,2392.4790000000003,1575,2026-06-15 21:45:00+08:00,1.1785383141576926,1576,2026-06-15 21:46:00+08:00,open,-0.9381944985500308,146.12114400000002,146.12114400000002,148.0,148.0,20592.2200863798,-9000.0,11592.220086379799,224.89805502159493,264.0,18,1935.022865405803,2441.920920427398,444.6480550215949,528.0,36,3825.751865405803,4834.399920427399,6757.8201659524,6757.8201659524,zscore_exit,14
1950,2026-06-16 21:30:00+08:00,6.478360002767108,1951,2026-06-16 21:31:00+08:00,open,1,4.577464595194567,short_tsm_long_qff,141.3671972,141.3671972,141.0,141.0,False,-7979.22023172148,8000.0,4,3.5460992907801416,1000000.0,1128000.0,2000.0,282.0,352.0,24,2426.328,3084.328,2340,2026-06-17 21:30:00+08:00,-1.4539853959947422,2341,2026-06-17 21:31:00+08:00,open,-1.4572779527734354,140.169792,140.169792,143.0,143.0,9554.359797408437,16000.0,25554.359797408437,279.6114100506479,352.0,24,2405.7765720757748,3061.3879821264227,561.6114100506479,704.0,48,4832.104572075775,6145.715982126423,19408.643815282012,19408.643815282012,zscore_exit,1440
3957,2026-06-24 22:27:00+08:00,2.963478613101885,3958,2026-06-24 22:28:00+08:00,open,1,2.3314531718087284,short_tsm_long_qff,175.159246,175.159246,177.5,177.5,False,-6080.181459561661,6000.0,3,2.816901408450704,1000000.0,1065000.0,2000.0,266.25,264.0,21,2290.815,2842.065,4245,2026-06-25 03:15:00+08:00,-0.7834723402264405,4246,2026-06-25 03:16:00+08:00,open,-0.6937002296513244,174.337296,174.337296,179.0,179.0,4997.605150686627,9000.0,13997.605150686628,265.0005987123284,264.0,21,2280.0651513208736,2830.0657500332018,531.2505987123284,528.0,42,4570.880151320874,5672.130750033202,8325.474400653426,8325.474400653426,zscore_exit,288
4319,2026-06-25 21:59:00+08:00,3.114929307029753,4320,2026-06-25 22:00:00+08:00,open,1,2.6592850824168046,short_tsm_long_qff,175.59120000000001,175.59120000000001,176.0,176.0,False,-6013.968809370856,6000.0,3,2.840909090909091,1000000.0,1056000.0,2000.0,264.0,264.0,21,2271.456,2820.456,4482,2026-06-26 00:42:00+08:00,-0.7621575732304536,4483,2026-06-26 00:43:00+08:00,open,-0.6076610367468902,174.97215999999997,174.97215999999997,178.5,178.5,3722.887251753181,15000.0,18722.88725175318,263.0692781870617,264.0,21,2263.4480695214793,2811.517347708541,527.0692781870616,528.0,42,4534.904069521479,5631.973347708541,13090.91390404464,13090.91390404464,zscore_exit,163
4680,2026-06-26 21:30:00+08:00,4.387279866532798,4681,2026-06-26 21:31:00+08:00,open,1,3.0284070560381533,short_tsm_long_qff,165.90084,165.90084,165.0,165.0,False,-5967.420056462644,6000.0,3,3.0303030303030303,1000000.0,990000.0,2000.0,247.50000000000006,264.0,21,2129.4900000000002,2661.9900000000002,4771,2026-06-26 23:01:00+08:00,-0.6297853765213116,4772,2026-06-26 23:02:00+08:00,open,-0.7323039162302701,159.938934,159.938934,162.5,162.5,35577.19743914497,-15000.0,20577.19743914497,238.60570064021377,264.0,21,2052.963448308399,2576.569148948613,486.10570064021385,528.0,42,4182.453448308399,5238.559148948613,15338.638290196355,15338.638290196355,zscore_exit,91
7020,2026-07-07 21:30:00+08:00,3.1529945025033213,7021,2026-07-07 21:31:00+08:00,open,1,3.4145615236425657,short_tsm_long_qff,156.5992,156.5992,156.5,156.5,False,-5996.199214299945,6000.0,3,3.194888178913738,1000000.0,939000.0,2000.0,234.75,264.0,18,2019.7890000000002,2536.539,7412,2026-07-08 21:32:00+08:00,-0.6227153131610257,7413,2026-07-08 21:33:00+08:00,open,-0.4277006238680072,157.226748,157.226748,160.0,160.0,-3762.9028245354434,21000.0,17237.097175464558,235.69072570613386,264.0,18,2027.8830039755758,2545.5737296817097,470.4407257061339,528.0,36,4047.672003975576,5082.11272968171,12154.984445782848,12154.984445782848,zscore_exit,1442
8652,2026-07-14 22:42:00+08:00,-3.0767353026070934,8653,2026-07-14 22:43:00+08:00,open,1,-0.9891686381524616,long_tsm_short_qff,152.705648,152.705648,155.5,155.5,False,6109.793660022319,-6000.0,-3,3.215434083601286,1000000.0,933000.0,2000.0,233.24999999999994,264.0,18,2006.8829999999998,2522.133,8729,2026-07-14 23:59:00+08:00,0.9328343711489212,8730,2026-07-15 00:00:00+08:00,open,0.6651693660646513,155.440415,155.440415,156.0,156.0,16708.86207823829,-3000.0,13708.86207823829,237.42721551955958,264.0,18,2042.8237623302907,2562.25097784985,470.6772155195595,528.0,36,4049.7067623302905,5084.3839778498495,8624.47810038844,8624.47810038844,zscore_exit,77
8971,2026-07-15 21:31:00+08:00,-2.9923836841238383,8972,2026-07-15 21:32:00+08:00,open,1,-3.907987600590393,long_tsm_short_qff,165.06725065999998,165.06725065999998,169.0,169.0,False,6142.950803055437,-6000.0,-3,2.9585798816568047,1000000.0,1014000.0,2000.0,253.5,264.0,21,2181.114,2719.614,9360,2026-07-16 21:30:00+08:00,1.689380169409477,9361,2026-07-16 21:31:00+08:00,open,1.201807169594746,148.419148,148.419148,149.0,149.0,-102268.47560459623,120000.0,17731.524395403772,227.93288109885097,264.0,18,1961.1345089745137,2471.0673900733645,481.432881098851,528.0,39,4142.248508974513,5190.681390073365,12540.843005330407,12540.843005330407,zscore_exit,1439
9791,2026-07-17 22:11:00+08:00,2.7335656085292785,9792,2026-07-17 22:12:00+08:00,open,1,2.291371690741876,short_tsm_long_qff,137.92258199999998,137.92258199999998,137.0,137.0,False,-7946.486964694442,8000.0,4,3.6496350364963503,1000000.0,1096000.0,2000.0,274.0,352.0,20,2357.496,3003.496,10490,2026-07-21 03:20:00+08:00,-0.7595253732675701,10491,2026-07-21 03:21:00+08:00,open,0.0304697673957812,131.383941,131.383941,131.5,131.5,51959.2254733165,-44000.0,7959.225473316503,261.01019363167086,352.0,20,2245.7317060068963,2878.7418996385672,535.0101936316709,704.0,40,4603.227706006896,5882.237899638567,2076.987573677936,2076.987573677936,zscore_exit,4629
