entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_crossing_cost_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_crossing_cost_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,crossing_cost_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
1,2026-06-09 21:31:00+08:00,-2.9536976361727745,2,2026-06-09 21:32:00+08:00,open,1,-2.913985650154459,long_tsm_short_qff,129.32710400000002,129.32710400000002,131.0,131.0,False,8103.483087350351,-8000.0,-4,3.816793893129771,1000000.0,1048000.0,2000.0,262.0,352.0,20,2254.248,2888.248,158,2026-06-10 00:08:00+08:00,0.9316067459257404,159,2026-06-10 00:09:00+08:00,open,0.2016571278474589,120.484765,120.484765,120.0,120.0,-71653.7445391186,88000.0,16346.255460881395,244.08656386522037,352.0,20,2100.120795496356,2716.2073593615764,506.08656386522034,704.0,40,4354.368795496356,5604.4553593615765,10741.800101519819,10741.800101519819,zscore_exit,157
390,2026-06-10 21:30:00+08:00,3.677290170233734,391,2026-06-10 21:31:00+08:00,open,1,3.744150180773137,short_tsm_long_qff,123.01396499999998,123.01396499999998,121.0,121.0,False,-7869.025276926893,8000.0,4,4.132231404958677,1000000.0,968000.0,2000.0,242.0,352.0,20,2082.168,2696.168,730,2026-06-11 03:10:00+08:00,-1.271457506850523,731,2026-06-11 03:11:00+08:00,open,-0.7340912185029151,120.03308999999999,120.03308999999999,119.5,119.5,23456.58072235943,-12000.0,11456.580722359431,236.1358548194101,352.0,20,2031.7128948662048,2639.848749685615,478.1358548194101,704.0,40,4113.8808948662045,5336.016749685616,6120.563972673815,6120.563972673815,zscore_exit,340
780,2026-06-11 21:30:00+08:00,-5.212949303583491,781,2026-06-11 21:31:00+08:00,open,1,-5.39695258986781,long_tsm_short_qff,126.20369999999998,126.20369999999998,128.0,128.0,False,8113.866709137689,-8000.0,-4,3.90625,1000000.0,1024000.0,2000.0,256.0,352.0,20,2202.6240000000003,2830.6240000000003,1141,2026-06-12 03:31:00+08:00,1.109279351559502,1142,2026-06-12 03:32:00+08:00,open,0.4649607075119283,131.33016100000003,131.33016100000003,132.5,132.5,41595.421243593104,-36000.0,5595.421243593104,266.3988553108983,352.0,20,2292.095751094969,2930.494606405867,522.3988553108983,704.0,40,4494.719751094969,5761.1186064058675,-165.69736281276346,-165.69736281276346,zscore_exit,361
1561,2026-06-15 21:31:00+08:00,-3.657641810039788,1562,2026-06-15 21:32:00+08:00,open,1,-2.7376936714933127,long_tsm_short_qff,142.776341,142.776341,146.5,146.5,False,6156.482186358873,-6000.0,-3,3.4129692832764507,1000000.0,879000.0,2000.0,219.75,264.0,18,1890.7290000000003,2392.4790000000003,1575,2026-06-15 21:45:00+08:00,1.7798024784761306,1576,2026-06-15 21:46:00+08:00,open,-0.7009583908559551,146.12114400000002,146.12114400000002,148.0,148.0,20592.2200863798,-9000.0,11592.220086379799,224.89805502159493,264.0,18,1935.022865405803,2441.920920427398,444.6480550215949,528.0,36,3825.751865405803,4834.399920427399,6757.8201659524,6757.8201659524,zscore_exit,14
1950,2026-06-16 21:30:00+08:00,7.064494996807854,1951,2026-06-16 21:31:00+08:00,open,1,4.998261781391412,short_tsm_long_qff,141.3671972,141.3671972,141.0,141.0,False,-7979.22023172148,8000.0,4,3.5460992907801416,1000000.0,1128000.0,2000.0,282.0,352.0,24,2426.328,3084.328,2332,2026-06-17 03:52:00+08:00,-1.2869126210437256,2333,2026-06-17 03:53:00+08:00,open,-0.5319427241985496,137.0337,137.0337,137.0,137.0,34577.92853234824,-32000.0,2577.92853234824,273.355517866913,352.0,20,2351.950875726919,2997.306393593832,555.355517866913,704.0,44,4778.278875726919,6081.634393593832,-3503.705861245592,-3503.705861245592,zscore_exit,382
2340,2026-06-17 21:30:00+08:00,-6.143784222282441,2341,2026-06-17 21:31:00+08:00,open,1,-5.86429645497789,long_tsm_short_qff,140.169792,140.169792,143.0,143.0,False,6121.147700640092,-6000.0,-3,3.4965034965034967,1000000.0,858000.0,2000.0,214.5,264.0,18,1845.5580000000002,2342.058,2684,2026-06-18 03:14:00+08:00,0.8958110261891187,2685,2026-06-18 03:15:00+08:00,open,0.136740751039481,141.21008999999998,141.21008999999998,143.5,143.5,6367.817710680356,-3000.0,3367.817710680356,216.0919544276701,264.0,18,1859.2551758956733,2357.3471303233437,430.5919544276701,528.0,36,3704.8131758956733,4699.405130323344,-1331.5874196429877,-1331.5874196429877,zscore_exit,344
2730,2026-06-18 21:30:00+08:00,-5.465620835612637,2731,2026-06-18 21:31:00+08:00,open,1,-4.827058222487067,long_tsm_short_qff,146.68074,146.68074,152.5,152.5,False,6238.037795555163,-6000.0,-3,3.278688524590164,1000000.0,915000.0,2000.0,228.74999999999994,264.0,18,1968.165,2478.915,3041,2026-06-19 02:41:00+08:00,0.9014997529927812,3042,2026-06-19 02:42:00+08:00,open,0.3122537341447625,149.94360799999998,149.94360799999998,154.0,154.0,20353.89390590747,-9000.0,11353.89390590747,233.83847347647688,264.0,18,2011.946225791607,2527.784699268084,462.5884734764768,528.0,36,3980.111225791607,5006.699699268083,6347.194206639386,6347.194206639386,zscore_exit,311
3125,2026-06-22 21:35:00+08:00,4.48100711272582,3126,2026-06-22 21:36:00+08:00,open,1,5.4741913316188215,short_tsm_long_qff,176.290816,176.290816,179.5,179.5,False,-6109.223523022322,6000.0,3,2.785515320334262,1000000.0,1077000.0,2000.0,269.25,264.0,21,2316.627,2870.877,3388,2026-06-23 01:58:00+08:00,-0.8978274592712502,3389,2026-06-23 01:59:00+08:00,open,-0.896889771539275,174.12725,174.12725,179.5,179.5,13217.708300811331,0.0,13217.708300811331,265.9455729247972,264.0,21,2288.1957094449554,2839.141282369753,535.1955729247973,528.0,42,4604.822709444956,5710.018282369752,7507.690018441579,7507.690018441579,zscore_exit,263
3900,2026-06-24 21:30:00+08:00,3.880635503015023,3901,2026-06-24 21:31:00+08:00,open,1,3.548459411294489,short_tsm_long_qff,172.207755,172.207755,174.0,174.0,False,-6062.44474878614,6000.0,3,2.8735632183908044,1000000.0,1044000.0,2000.0,261.00000000000006,264.0,21,2245.6440000000007,2791.6440000000007,3915,2026-06-24 21:45:00+08:00,-1.267854671448525,3916,2026-06-24 21:46:00+08:00,open,1.722205421133426,169.909573,169.909573,174.5,174.5,13932.601397654811,3000.0,16932.601397654813,257.5168496505863,264.0,21,2215.674974393645,2758.191824044231,518.5168496505864,528.0,42,4461.3189743936455,5549.835824044232,11382.76557361058,11382.76557361058,zscore_exit,15
3951,2026-06-24 22:21:00+08:00,3.0479648918918008,3952,2026-06-24 22:22:00+08:00,open,1,2.811117001830524,short_tsm_long_qff,173.25672,173.25672,175.5,175.5,False,-6077.686337361113,6000.0,3,2.849002849002849,1000000.0,1053000.0,2000.0,263.25,264.0,21,2265.003,2813.253,4172,2026-06-25 02:02:00+08:00,-0.9416215431160868,4173,2026-06-25 02:03:00+08:00,open,-1.051234024320865,175.44085,175.44085,179.5,179.5,-13274.457060020592,24000.0,10725.542939979408,266.5686142650051,264.0,21,2293.556357136104,2845.124971401109,529.8186142650052,528.0,42,4558.559357136104,5658.377971401109,5067.1649685782995,5067.1649685782995,zscore_exit,221
