entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
39,2026-06-09 22:09:00+08:00,-1.019125999834204,40,2026-06-09 22:10:00+08:00,open,1,-0.7937651863358346,long_tsm_short_qff,128.560172,128.560172,130.0,130.0,False,8089.597142107122,-8000.0,-4,3.8461538461538463,1000000.0,1040000.0,2000.0,260.0,352.0,20,632.0,64,2026-06-09 22:34:00+08:00,0.3036410018935071,65,2026-06-09 22:35:00+08:00,open,-0.0554158682080742,127.86012799999999,127.86012799999999,128.0,128.0,-5663.073941749282,16000.0,10336.926058250718,258.58423151456265,352.0,20,630.5842315145626,518.5842315145626,704.0,40,1262.5842315145626,9074.341826736156,9074.341826736156,zscore_exit,25
105,2026-06-09 23:15:00+08:00,-1.4113464084889673,106,2026-06-09 23:16:00+08:00,open,1,-1.144221041513939,long_tsm_short_qff,126.067708,126.067708,128.5,128.5,False,8154.3482967105265,-8000.0,-4,3.8910505836575875,1000000.0,1028000.0,2000.0,257.0,352.0,20,629.0,125,2026-06-09 23:35:00+08:00,0.2676526017956251,126,2026-06-09 23:36:00+08:00,open,-0.1970020526756438,123.362496,123.362496,124.0,124.0,-22059.2408644409,36000.0,13940.7591355591,251.48518978388975,352.0,20,623.4851897838897,508.4851897838897,704.0,40,1252.4851897838898,12688.27394577521,12688.27394577521,zscore_exit,20
166,2026-06-10 00:16:00+08:00,1.4007105170279015,167,2026-06-10 00:17:00+08:00,open,1,1.1084079525410713,short_tsm_long_qff,119.958692,119.958692,119.0,119.0,False,-7936.065191507757,8000.0,4,4.201680672268908,1000000.0,952000.0,2000.0,238.0,352.0,20,610.0,175,2026-06-10 00:25:00+08:00,-0.8958838998667205,176,2026-06-10 00:26:00+08:00,open,-0.643341790182797,120.338108,120.338108,122.0,122.0,-3011.0701107011564,24000.0,20988.929889298845,238.7527675276753,352.0,20,610.7527675276754,476.7527675276753,704.0,40,1220.7527675276754,19768.17712177117,19768.17712177117,zscore_exit,9
187,2026-06-10 00:37:00+08:00,-1.0366023488930374,188,2026-06-10 00:38:00+08:00,open,1,-0.3401604695456972,long_tsm_short_qff,119.71595200000002,119.71595200000002,121.0,121.0,False,8085.806309254424,-8000.0,-4,4.132231404958677,1000000.0,968000.0,2000.0,242.0,352.0,20,614.0,190,2026-06-10 00:40:00+08:00,0.5011872890888304,191,2026-06-10 00:41:00+08:00,open,-0.4404419226415725,118.19895999999999,118.19895999999999,118.5,118.5,-12266.103484688732,20000.0,7733.896515311268,238.9334741288278,352.0,20,610.9334741288278,480.9334741288278,704.0,40,1224.9334741288278,6508.96304118244,6508.96304118244,zscore_exit,3
220,2026-06-10 01:10:00+08:00,-1.366923709653854,221,2026-06-10 01:11:00+08:00,open,1,-1.0083543477078525,long_tsm_short_qff,121.79090000000001,121.79090000000001,124.0,124.0,False,8145.107721512854,-8000.0,-4,4.032258064516129,1000000.0,992000.0,2000.0,248.0,352.0,20,620.0,297,2026-06-10 02:27:00+08:00,0.2900897991248556,298,2026-06-10 02:28:00+08:00,open,0.3362451171358078,124.95427,124.95427,125.0,125.0,25765.989413002007,-8000.0,17765.989413002007,254.4414973532505,352.0,20,626.4414973532505,502.4414973532505,704.0,40,1246.4414973532505,16519.547915648756,16519.547915648756,zscore_exit,77
372,2026-06-10 03:42:00+08:00,1.0445782481903252,373,2026-06-10 03:43:00+08:00,open,1,0.9274018786312672,short_tsm_long_qff,125.01738799999998,125.01738799999998,124.0,124.0,False,-7934.896224195631,8000.0,4,4.032258064516129,1000000.0,992000.0,2000.0,248.0,352.0,20,620.0,384,2026-06-10 03:54:00+08:00,-0.258146986409545,385,2026-06-10 03:55:00+08:00,open,0.8177169077800208,125.25817799999997,125.25817799999997,124.5,124.5,-1910.6436618239852,4000.0,2089.356338176015,248.47766091545597,352.0,20,620.477660915456,496.477660915456,704.0,40,1240.477660915456,848.878677260559,848.878677260559,zscore_exit,12
388,2026-06-10 03:58:00+08:00,1.115295674490446,389,2026-06-10 03:59:00+08:00,open,1,0.743260897670557,short_tsm_long_qff,125.605591,125.605591,125.0,125.0,False,-7961.429041801172,8000.0,4,4.0,1000000.0,1000000.0,2000.0,250.0,352.0,20,622.0,780,2026-06-11 21:30:00+08:00,-1.121693213433338,781,2026-06-11 21:31:00+08:00,open,-1.2624928096597658,126.20369999999998,126.20369999999998,128.0,128.0,-4761.802362762494,24000.0,19238.197637237507,251.19045059069063,352.0,20,623.1904505906906,501.1904505906906,704.0,40,1245.1904505906905,17993.007186646817,17993.007186646817,zscore_exit,2492
782,2026-06-11 21:32:00+08:00,-1.3112531234879268,783,2026-06-11 21:33:00+08:00,open,1,-0.791787624196569,long_tsm_short_qff,125.76088,125.76088,128.0,128.0,False,8142.436662338877,-8000.0,-4,3.90625,1000000.0,1024000.0,2000.0,256.0,352.0,20,628.0,1950,2026-06-16 21:30:00+08:00,1.214115326982642,1951,2026-06-16 21:31:00+08:00,open,0.694398127251916,141.3671972,141.3671972,141.0,141.0,127073.44933336975,-104000.0,23073.449333369746,287.76836233334245,352.0,24,663.7683623333425,543.7683623333425,704.0,44,1291.7683623333423,21781.680971036403,21781.680971036403,zscore_exit,7198
1955,2026-06-16 21:35:00+08:00,1.2480653401722537,1956,2026-06-16 21:36:00+08:00,open,1,1.1319727040760692,short_tsm_long_qff,141.34956000000003,141.34956000000003,141.0,141.0,True,-7980.215856349321,8000.0,4,3.5460992907801416,1000000.0,1128000.0,2000.0,282.0,352.0,24,658.0,2340,2026-06-17 21:30:00+08:00,-1.238184034226394,2341,2026-06-17 21:31:00+08:00,open,-1.237620345839601,140.169792,140.169792,143.0,143.0,9414.803300413718,16000.0,25414.803300413718,279.6462991748965,352.0,24,655.6462991748965,561.6462991748965,704.0,48,1313.6462991748965,24101.157001238822,24101.157001238822,zscore_exit,1435
2342,2026-06-17 21:32:00+08:00,-1.1182867557005185,2343,2026-06-17 21:33:00+08:00,open,1,-1.206345529806094,long_tsm_short_qff,140.327712,140.327712,143.0,143.0,False,6114.259170704643,-6000.0,-3,3.4965034965034967,1000000.0,858000.0,2000.0,214.49999999999994,264.0,18,496.49999999999994,3126,2026-06-22 21:36:00+08:00,0.2853464077582664,3127,2026-06-22 21:37:00+08:00,open,0.1780377880737305,177.08121599999998,177.08121599999998,179.0,179.0,224720.44888752972,-216000.0,8720.448887529725,270.68011222188244,264.0,21,555.6801122218824,485.1801122218824,528.0,39,1052.1801122218824,7668.268775307843,7668.268775307843,zscore_exit,7204
