entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
43,2026-06-09 22:13:00+08:00,-1.2278992266711397,44,2026-06-09 22:14:00+08:00,open,1,-0.7099039721568685,long_tsm_short_qff,127.51856000000001,127.51856000000001,130.0,130.0,False,8155.675534604531,-8000.0,-4,3.8461538461538463,1000000.0,1040000.0,2000.0,260.0,352.0,20,632.0,62,2026-06-09 22:32:00+08:00,0.2397339495520058,63,2026-06-09 22:33:00+08:00,open,-0.100571675683558,128.049644,128.049644,128.5,128.5,4331.3487856198535,12000.0,16331.348785619854,261.082837196405,352.0,20,633.0828371964051,521.0828371964051,704.0,40,1265.082837196405,15066.265948423448,15066.265948423448,zscore_exit,19
105,2026-06-09 23:15:00+08:00,-1.4891986361893856,106,2026-06-09 23:16:00+08:00,open,1,-1.201291935099368,long_tsm_short_qff,126.067708,126.067708,128.5,128.5,False,8154.3482967105265,-8000.0,-4,3.8910505836575875,1000000.0,1028000.0,2000.0,257.0,352.0,20,629.0,119,2026-06-09 23:29:00+08:00,0.1464294086152345,120,2026-06-09 23:30:00+08:00,open,-0.0593381697661963,123.172902,123.172902,124.0,124.0,-23605.256375407433,36000.0,12394.743624592567,251.09868590614815,352.0,20,623.0986859061481,508.09868590614815,704.0,40,1252.0986859061481,11142.644938686419,11142.644938686419,zscore_exit,14
166,2026-06-10 00:16:00+08:00,1.5888448208750174,167,2026-06-10 00:17:00+08:00,open,1,1.2506826557284747,short_tsm_long_qff,119.958692,119.958692,119.0,119.0,False,-7936.065191507757,8000.0,4,4.201680672268908,1000000.0,952000.0,2000.0,238.0,352.0,20,610.0,173,2026-06-10 00:23:00+08:00,-0.0370210500284315,174,2026-06-10 00:24:00+08:00,open,0.352974201388529,119.57927600000001,119.57927600000001,119.5,119.5,3011.0701107010436,4000.0,7011.070110701044,237.24723247232475,352.0,20,609.2472324723248,475.24723247232475,704.0,40,1219.2472324723249,5791.822878228719,5791.822878228719,zscore_exit,7
175,2026-06-10 00:25:00+08:00,-1.0719979959401962,176,2026-06-10 00:26:00+08:00,open,1,-0.7808494313434655,long_tsm_short_qff,120.338108,120.338108,122.0,122.0,False,8110.481510977387,-8000.0,-4,4.098360655737705,1000000.0,976000.0,2000.0,244.0,352.0,20,616.0,190,2026-06-10 00:40:00+08:00,0.5391741432898036,191,2026-06-10 00:41:00+08:00,open,-0.5661404368469715,118.19895999999999,118.19895999999999,118.5,118.5,-17349.52030324442,28000.0,10650.479696755581,239.66261992418893,352.0,20,611.6626199241889,483.6626199241889,704.0,40,1227.662619924189,9422.817076831392,9422.817076831392,zscore_exit,15
215,2026-06-10 01:05:00+08:00,-1.0007617057484886,216,2026-06-10 01:06:00+08:00,open,1,-1.1437399638813712,long_tsm_short_qff,122.10724,122.10724,123.5,123.5,False,8091.24831582468,-8000.0,-4,4.048582995951417,1000000.0,988000.0,2000.0,247.0,352.0,20,619.0,241,2026-06-10 01:31:00+08:00,0.0195249874585444,242,2026-06-10 01:32:00+08:00,open,0.1882674516862958,123.164685,123.164685,123.5,123.5,8556.050075327239,-0.0,8556.050075327239,249.1390125188318,352.0,20,621.1390125188318,496.1390125188318,704.0,40,1240.1390125188318,7315.911062808407,7315.911062808407,zscore_exit,26
261,2026-06-10 01:51:00+08:00,-1.0127715042113656,262,2026-06-10 01:52:00+08:00,open,1,-0.6985804949757158,long_tsm_short_qff,123.56382,123.56382,125.0,125.0,False,8092.983852393038,-8000.0,-4,4.0,1000000.0,1000000.0,2000.0,250.0,352.0,20,622.0,295,2026-06-10 02:25:00+08:00,0.0125420993733122,296,2026-06-10 02:26:00+08:00,open,-0.246980578491805,124.764706,124.764706,125.0,125.0,9718.751006564842,-0.0,9718.751006564842,252.4296877516412,352.0,20,624.4296877516413,502.4296877516412,704.0,40,1246.4296877516413,8472.321318813201,8472.321318813201,zscore_exit,34
362,2026-06-10 03:32:00+08:00,1.1010678810521677,363,2026-06-10 03:33:00+08:00,open,1,1.1032199657692694,short_tsm_long_qff,125.23848999999998,125.23848999999998,124.5,124.5,False,-7952.826642991305,8000.0,4,4.016064257028113,1000000.0,996000.0,2000.0,249.0,352.0,20,621.0,367,2026-06-10 03:37:00+08:00,-0.0844663235418181,368,2026-06-10 03:38:00+08:00,open,0.535340023354257,125.23848999999998,125.23848999999998,125.0,125.0,-0.0,4000.0,4000.0,249.0,352.0,20,621.0,498.0,704.0,40,1242.0,2758.0,2758.0,zscore_exit,5
370,2026-06-10 03:40:00+08:00,1.1571261709527605,371,2026-06-10 03:41:00+08:00,open,1,1.356222907901685,short_tsm_long_qff,124.29091000000001,124.29091000000001,123.5,123.5,False,-7949.092978722257,8000.0,4,4.048582995951417,1000000.0,988000.0,2000.0,247.0,352.0,20,619.0,384,2026-06-10 03:54:00+08:00,-0.7229507230166224,385,2026-06-10 03:55:00+08:00,open,1.094020329904529,125.25817799999997,125.25817799999997,124.5,124.5,-7688.903267342414,8000.0,311.09673265758556,248.9222258168356,352.0,20,620.9222258168356,495.92222581683563,704.0,40,1239.9222258168356,-928.8254931592501,-928.8254931592501,zscore_exit,14
387,2026-06-10 03:57:00+08:00,1.16842975718989,388,2026-06-10 03:58:00+08:00,open,1,1.5925958262029989,short_tsm_long_qff,125.321344,125.321344,124.5,124.5,True,-7947.568771685053,8000.0,4,4.016064257028113,1000000.0,996000.0,2000.0,249.0,352.0,20,621.0,411,2026-06-10 21:51:00+08:00,-0.0928890143005493,412,2026-06-10 21:52:00+08:00,open,1.0172796193839349,122.28813,122.28813,122.0,122.0,24106.676864237914,-20000.0,4106.676864237914,242.97333078394053,352.0,20,614.9733307839406,491.9733307839405,704.0,40,1235.9733307839406,2870.7035334539733,2870.7035334539733,zscore_exit,1074
419,2026-06-10 21:59:00+08:00,1.0565827307397273,420,2026-06-10 22:00:00+08:00,open,1,0.4323426275513076,short_tsm_long_qff,121.244452,121.244452,121.0,121.0,False,-7983.870470213351,8000.0,4,4.132231404958677,1000000.0,968000.0,2000.0,242.0,352.0,20,614.0,435,2026-06-10 22:15:00+08:00,-0.3202479449631332,436,2026-06-10 22:16:00+08:00,open,0.7223086249476123,122.15192300000001,122.15192300000001,122.0,122.0,-7245.130919475101,8000.0,754.8690805248989,243.81128272986876,352.0,20,615.8112827298687,485.81128272986876,704.0,40,1229.8112827298687,-474.9422022049698,-474.9422022049698,zscore_exit,16
