entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
2499,2026-06-18 00:09:00+08:00,-2.0705273371091044,2500,2026-06-18 00:10:00+08:00,open,1,-2.094032365796391,long_tsm_short_qff,140.08888,140.08888,144.0,144.0,True,2055.837693898331,-2000.0,-1,1.0,1000000.0,288000.0,2000.0,72.0,88.0,6,166.0,3126,2026-06-22 21:36:00+08:00,0.0903865201883544,3127,2026-06-22 21:37:00+08:00,open,-0.0255707202999123,177.08121599999998,177.08121599999998,179.0,179.0,76050.2387341522,-70000.0,6050.238734152197,91.01255968353806,88.0,7,186.01255968353806,163.01255968353806,176.0,13,352.01255968353803,5698.226174468659,5698.226174468659,zscore_exit,7047
3496,2026-06-23 03:46:00+08:00,-1.5358913456633585,3497,2026-06-23 03:47:00+08:00,open,1,-1.4363288763306523,long_tsm_short_qff,172.81768,172.81768,179.0,179.0,False,2071.5473092799302,-2000.0,-1,1.0,1000000.0,358000.0,2000.0,89.5,88.0,7,184.5,3510,2026-06-23 21:30:00+08:00,0.7054053349729822,3511,2026-06-23 21:31:00+08:00,open,0.5926852205182979,166.331376,166.331376,168.5,168.5,-13436.685598371627,21000.0,7563.314401628373,86.1408286004071,88.0,7,181.1408286004071,175.6408286004071,176.0,14,365.6408286004071,7197.673573027966,7197.673573027966,zscore_exit,1064
4319,2026-06-25 21:59:00+08:00,1.5141293718409898,4320,2026-06-25 22:00:00+08:00,open,1,1.2858133479718248,short_tsm_long_qff,175.59120000000001,175.59120000000001,176.0,176.0,False,-2004.6562697902855,2000.0,1,1.0,1000000.0,352000.0,2000.0,88.0,88.0,7,183.0,4476,2026-06-26 00:36:00+08:00,-0.0792797259081609,4477,2026-06-26 00:37:00+08:00,open,0.2626976102897794,175.81942800000002,175.81942800000002,179.5,179.5,-457.5186911417001,7000.0,6542.4813088583,88.11437967278542,88.0,7,183.11437967278542,176.11437967278542,176.0,14,366.1143796727854,6176.366929185514,6176.366929185514,zscore_exit,157
4680,2026-06-26 21:30:00+08:00,3.0142232064929244,4681,2026-06-26 21:31:00+08:00,open,1,2.3016545211027104,short_tsm_long_qff,165.90084,165.90084,165.0,165.0,False,-1989.1400188208813,2000.0,1,1.0,1000000.0,330000.0,2000.0,82.5,88.0,7,177.5,4860,2026-06-27 00:30:00+08:00,-0.1941845354592098,4861,2026-06-27 00:31:00+08:00,open,0.1666482212653663,162.82040093999998,162.82040093999998,166.5,166.5,6127.424609784985,3000.0,9127.424609784985,80.96814384755376,88.0,7,175.96814384755376,163.46814384755376,176.0,14,353.46814384755373,8773.95646593743,8773.95646593743,zscore_exit,180
5265,2026-06-30 00:45:00+08:00,1.5029489028471164,5266,2026-06-30 00:46:00+08:00,open,1,1.2882304700709937,short_tsm_long_qff,169.78701900000002,169.78701900000002,171.0,171.0,False,-2014.2882654651,2000.0,1,1.0,1000000.0,342000.0,2000.0,85.5,88.0,7,180.5,5852,2026-07-01 21:32:00+08:00,-0.0009295891736707,5853,2026-07-01 21:33:00+08:00,open,-0.1242827022636833,167.282106,167.282106,170.0,170.0,5045.616861911013,-2000.0,3045.616861911013,84.23859578452225,88.0,7,179.23859578452226,169.73859578452226,176.0,14,359.73859578452226,2685.878266126491,2685.878266126491,zscore_exit,2687
6298,2026-07-02 22:28:00+08:00,-1.6882649479929723,6299,2026-07-02 22:29:00+08:00,open,1,-1.2470753999889015,long_tsm_short_qff,162.483456,162.483456,166.0,166.0,False,2043.2849483457567,-2000.0,-1,1.0,1000000.0,332000.0,2000.0,83.0,88.0,7,178.0,6471,2026-07-03 01:21:00+08:00,0.0040252338519035,6472,2026-07-03 01:22:00+08:00,open,-0.2470840379085598,156.22421100000003,156.22421100000003,159.0,159.0,-12789.421096508364,14000.0,1210.578903491636,79.80264472587291,88.0,6,173.8026447258729,162.8026447258729,176.0,13,351.80264472587294,858.7762587657631,858.7762587657631,zscore_exit,173
6594,2026-07-03 03:24:00+08:00,-1.5525983520758229,6595,2026-07-03 03:25:00+08:00,open,1,-1.0342676715854893,long_tsm_short_qff,154.14947,154.14947,157.5,157.5,False,2043.4711841694946,-2000.0,-1,1.0,1000000.0,315000.0,2000.0,78.75,88.0,6,172.75,6630,2026-07-06 21:30:00+08:00,0.0481984806552628,6631,2026-07-06 21:31:00+08:00,open,-0.9598561620674132,165.487644,165.487644,168.0,168.0,23169.231850099735,-21000.0,2169.2318500997353,84.54230796252494,88.0,7,179.54230796252494,163.29230796252494,176.0,13,352.29230796252494,1816.9395421372103,1816.9395421372103,zscore_exit,5406
6860,2026-07-07 01:20:00+08:00,-1.6156897245160664,6861,2026-07-07 01:21:00+08:00,open,1,-1.5322586369497229,long_tsm_short_qff,166.821213,166.821213,171.0,171.0,True,2050.0989883103175,-2000.0,-1,1.0,1000000.0,342000.0,2000.0,85.5,88.0,7,180.5,7020,2026-07-07 21:30:00+08:00,2.227988170695329,7021,2026-07-07 21:31:00+08:00,open,2.4718493117399443,156.5992,156.5992,156.5,156.5,-20956.13850979492,29000.0,8043.8614902050795,80.26096537255125,88.0,6,174.26096537255125,165.76096537255125,176.0,13,354.76096537255125,7689.100524832528,7689.100524832528,zscore_exit,1210
7023,2026-07-07 21:33:00+08:00,1.7767327631246033,7024,2026-07-07 21:34:00+08:00,open,1,0.9165715670551248,short_tsm_long_qff,154.35354180000002,154.35354180000002,155.5,155.5,False,-2014.8549646043818,2000.0,1,1.0,1000000.0,311000.0,2000.0,77.75,88.0,6,171.75,7410,2026-07-08 21:30:00+08:00,-0.0722267920436702,7411,2026-07-08 21:31:00+08:00,open,0.4264572886899647,156.52111999999997,156.52111999999997,158.5,158.5,-4367.355697438132,6000.0,1632.6443025618682,78.84183892435954,88.0,6,172.84183892435954,156.59183892435954,176.0,12,344.59183892435954,1288.0524636375087,1288.0524636375087,zscore_exit,1437
7551,2026-07-08 23:51:00+08:00,-1.6332300461816611,7552,2026-07-08 23:52:00+08:00,open,1,-1.3864598373000938,long_tsm_short_qff,155.56747199999998,155.56747199999998,159.0,159.0,False,2044.1291223142075,-2000.0,-1,1.0,1000000.0,318000.0,2000.0,79.5,88.0,6,173.5,7616,2026-07-09 00:56:00+08:00,0.0342871029185424,7617,2026-07-09 00:57:00+08:00,open,0.1520336942868758,159.71856,159.71856,162.0,162.0,8485.35987008907,-6000.0,2485.3598700890707,81.62133996752227,88.0,6,175.62133996752226,161.12133996752226,176.0,12,349.12133996752226,2136.2385301215486,2136.2385301215486,zscore_exit,65
7803,2026-07-09 21:33:00+08:00,1.5469273136181207,7804,2026-07-09 21:34:00+08:00,open,1,1.5400588078224982,short_tsm_long_qff,160.84563599999998,160.84563599999998,161.5,161.5,False,-2008.1365465209142,2000.0,1,1.0,1000000.0,323000.0,2000.0,80.75,88.0,6,174.75,8192,2026-07-13 21:32:00+08:00,-0.0198385300901875,8193,2026-07-13 21:33:00+08:00,open,-1.084958623105348,151.81035799999998,151.81035799999998,154.0,154.0,18144.071959776404,-15000.0,3144.0719597764037,76.2139820100559,88.0,6,170.2139820100559,156.9639820100559,176.0,12,344.96398201005593,2799.1079777663476,2799.1079777663476,zscore_exit,5759
