entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
156,2026-03-16 09:15:00+08:00,3.3313708155093447,157,2026-03-16 09:30:00+08:00,open,15,0.8584083853280551,short_tsm_long_qff,2185.381808,2185.381808,1850.0,1850.0,False,-423.2669992098699,500.0,5,5.405405405405405,1000000.0,925000.0,100.0,462.5,440.0,20,922.5,191,2026-03-16 21:40:00+08:00,-0.1816763960071863,192,2026-03-16 21:55:00+08:00,open,-1.2893455081655052,2202.1006079999997,2202.1006079999997,1875.0,1875.0,-7076.516306389823,12500.0,5423.483693610177,466.03825815319493,440.0,20,926.0382581531949,928.5382581531949,880.0,40,1848.5382581531949,3574.9454354569825,3574.9454354569825,zscore_exit,745
241,2026-03-17 17:25:00+08:00,-2.991100566548157,242,2026-03-17 17:40:00+08:00,open,15,-2.6379487954980463,long_tsm_short_qff,2174.40758,2174.40758,1885.0,1885.0,False,433.45139552907557,-500.0,-5,5.305039787798409,1000000.0,942500.0,100.0,471.25,440.0,20,931.25,271,2026-03-18 00:55:00+08:00,0.0980781884409436,272,2026-03-18 01:10:00+08:00,open,0.1633961225706395,2206.40589,2206.40589,1895.0,1895.0,13869.712124071952,-5000.0,8869.712124071952,478.18485606203603,440.0,20,938.184856062036,949.434856062036,880.0,40,1869.434856062036,7000.277268009915,7000.277268009915,zscore_exit,450
345,2026-03-19 02:40:00+08:00,-2.825504988493266,346,2026-03-19 02:55:00+08:00,open,15,-2.980205645401768,long_tsm_short_qff,2182.7020460000003,2182.7020460000003,1895.0,1895.0,False,434.09497953986886,-500.0,-5,5.277044854881266,1000000.0,947500.0,100.0,473.75,440.0,20,933.75,357,2026-03-19 09:15:00+08:00,0.1874155221192919,358,2026-03-19 09:30:00+08:00,open,0.0656898931148084,2180.3901,2180.3901,1875.0,1875.0,-1003.6041515673953,10000.0,8996.395848432605,473.24819792421636,440.0,20,933.2481979242164,946.9981979242164,880.0,40,1866.9981979242164,7129.397650508388,7129.397650508388,zscore_exit,395
375,2026-03-19 17:25:00+08:00,2.996559347998233,376,2026-03-19 17:40:00+08:00,open,15,2.2498043079155514,short_tsm_long_qff,2142.617932,2142.617932,1825.0,1825.0,False,-425.88087515362025,500.0,5,5.47945205479452,1000000.0,912500.0,100.0,456.25,440.0,20,916.25,399,2026-03-19 23:25:00+08:00,-0.2099423603215954,400,2026-03-19 23:40:00+08:00,open,-0.1064391534872715,2133.231944,2133.231944,1835.0,1835.0,3997.3127836213766,5000.0,8997.312783621377,454.2513436081893,440.0,20,914.2513436081892,910.5013436081892,880.0,40,1830.5013436081892,7166.811440013188,7166.811440013188,zscore_exit,360
509,2026-03-23 17:25:00+08:00,-3.024223503096412,510,2026-03-23 17:40:00+08:00,open,15,-2.375499954183614,long_tsm_short_qff,2069.302912,2069.302912,1805.0,1805.0,False,523.3646527628334,-600.0,-6,5.54016620498615,1000000.0,1083000.0,100.0,541.5000000000001,528.0,24,1093.5,526,2026-03-23 21:40:00+08:00,1.8123355129845,527,2026-03-23 21:55:00+08:00,open,0.2375593449049008,2188.728836,2188.728836,1870.0,1870.0,62503.307245140364,-39000.0,23503.307245140364,572.7516536225703,528.0,24,1124.7516536225703,1114.2516536225703,1056.0,48,2218.2516536225703,21285.055591517794,21285.055591517794,zscore_exit,255
593,2026-03-24 21:40:00+08:00,2.95784240239213,594,2026-03-24 21:55:00+08:00,open,15,2.946651973609584,short_tsm_long_qff,2176.351072,2176.351072,1845.0,1845.0,False,-423.8746275214921,500.0,5,5.420054200542006,1000000.0,922500.0,100.0,461.25,440.0,20,921.25,657,2026-03-25 20:55:00+08:00,-0.3736432847386005,658,2026-03-25 21:10:00+08:00,open,-0.24926415347548,2216.60311,2216.60311,1870.0,1870.0,-17061.817614230982,12500.0,-4561.817614230982,469.78090880711545,440.0,20,929.7809088071155,931.0309088071155,880.0,40,1851.0309088071153,-6412.8485230380975,-6412.8485230380975,zscore_exit,1395
726,2026-03-26 21:25:00+08:00,-2.971041721112364,727,2026-03-26 21:40:00+08:00,open,15,-2.8566294735348934,long_tsm_short_qff,2160.170656,2160.170656,1835.0,1835.0,False,424.73496131039013,-500.0,-5,5.449591280653951,1000000.0,917500.0,100.0,458.75,440.0,20,918.75,788,2026-03-27 20:10:00+08:00,0.5082065643193833,789,2026-03-27 20:25:00+08:00,open,0.4016016382056523,2089.89334,2089.89334,1790.0,1790.0,-29849.233092257935,22500.0,-7349.233092257935,443.82538345387104,440.0,20,903.825383453871,902.575383453871,880.0,40,1822.575383453871,-9171.808475711805,-9171.808475711805,zscore_exit,1365
866,2026-03-30 22:55:00+08:00,-2.627971436286665,867,2026-03-30 23:10:00+08:00,open,15,-2.162783847607291,long_tsm_short_qff,2039.9763120000002,2039.9763120000002,1775.0,1775.0,False,522.0648856240248,-600.0,-6,5.633802816901408,1000000.0,1065000.0,100.0,532.5,528.0,24,1084.5,903,2026-03-31 11:45:00+08:00,0.0482859047176509,904,2026-03-31 12:00:00+08:00,open,-0.1371212006504241,2047.976672,2047.976672,1770.0,1770.0,4176.707028350905,3000.0,7176.707028350905,534.5883535141755,528.0,24,1086.5883535141757,1067.0883535141757,1056.0,48,2171.0883535141757,5005.618674836729,5005.618674836729,zscore_exit,770
928,2026-03-31 21:40:00+08:00,3.016431361733153,929,2026-03-31 21:55:00+08:00,open,15,2.948959137270808,short_tsm_long_qff,2091.1510399999997,2091.1510399999997,1800.0,1800.0,False,-516.4619768450585,600.0,6,5.555555555555555,1000000.0,1080000.0,100.0,540.0,528.0,24,1092.0,1006,2026-04-02 00:25:00+08:00,-0.1759190611795792,1007,2026-04-02 00:40:00+08:00,open,-0.7164700518892909,2219.79072,2219.79072,1890.0,1890.0,-66437.50343351586,54000.0,-12437.503433515856,573.218751716758,528.0,24,1125.218751716758,1113.218751716758,1056.0,48,2217.218751716758,-14654.722185232615,-14654.722185232615,zscore_exit,1605
1012,2026-04-02 01:55:00+08:00,-2.5293338575011908,1013,2026-04-02 02:10:00+08:00,open,15,-1.8265777418363984,long_tsm_short_qff,2193.4681680000003,2193.4681680000003,1880.0,1880.0,False,428.54508386009087,-500.0,-5,5.319148936170213,1000000.0,940000.0,100.0,470.0,440.0,20,930.0,1026,2026-04-02 09:00:00+08:00,0.3015151314995472,1027,2026-04-02 09:15:00+08:00,open,-2.403114292162284,2187.8797079999995,2187.8797079999995,1860.0,1860.0,-2394.907059349128,10000.0,7605.092940650872,468.80254647032547,440.0,20,928.8025464703255,938.8025464703255,880.0,40,1858.8025464703255,5746.290394180547,5746.290394180547,zscore_exit,425
1028,2026-04-02 09:30:00+08:00,-2.7832360250256354,1029,2026-04-02 09:45:00+08:00,open,15,-1.250365255062715,long_tsm_short_qff,2133.377116,2133.377116,1830.0,1830.0,False,428.897447684069,-500.0,-5,5.46448087431694,1000000.0,915000.0,100.0,457.5,440.0,20,917.5,1045,2026-04-02 17:25:00+08:00,0.1367940756985093,1046,2026-04-02 17:40:00+08:00,open,0.6213347172558145,2124.235776,2124.235776,1810.0,1810.0,-3920.697394412342,10000.0,6079.302605587658,455.5396513027938,440.0,20,915.5396513027938,913.0396513027938,880.0,40,1833.0396513027938,4246.2629542848645,4246.2629542848645,zscore_exit,475
1159,2026-04-08 08:45:00+08:00,3.4109661355866527,1160,2026-04-08 09:00:00+08:00,open,15,3.0881846378101603,short_tsm_long_qff,2301.475176,2301.475176,1935.0,1935.0,False,-420.3825485884798,500.0,5,5.167958656330749,1000000.0,967500.0,100.0,483.75,440.0,20,943.75,1186,2026-04-08 19:10:00+08:00,-0.1154317585127659,1187,2026-04-08 19:25:00+08:00,open,-0.2630467918335563,2326.2776160000003,2326.2776160000003,1975.0,1975.0,-10426.512938413018,20000.0,9573.487061586982,488.9632564692065,440.0,20,948.9632564692065,972.7132564692065,880.0,40,1892.7132564692065,7680.773805117776,7680.773805117776,zscore_exit,625
1263,2026-04-09 21:40:00+08:00,2.724588817512519,1264,2026-04-09 21:55:00+08:00,open,15,0.2519820934544321,short_tsm_long_qff,2328.23718,2328.23718,1960.0,1960.0,False,-420.91931544534475,500.0,5,5.1020408163265305,1000000.0,980000.0,100.0,489.9999999999999,440.0,20,949.9999999999999,1265,2026-04-09 22:10:00+08:00,-0.4122247013414646,1266,2026-04-09 22:25:00+08:00,open,-1.5760490978711337,2306.4497220000003,2306.4497220000003,1955.0,1955.0,9170.76190665411,-2500.0,6670.76190665411,485.4146190466729,440.0,20,945.4146190466729,975.4146190466728,880.0,40,1895.4146190466727,4775.3472876074375,4775.3472876074375,zscore_exit,30
1281,2026-04-10 02:10:00+08:00,-2.941859009756241,1282,2026-04-10 02:25:00+08:00,open,15,-2.84232914339671,long_tsm_short_qff,2313.9588,2313.9588,1970.0,1970.0,False,425.6774148269192,-500.0,-5,5.0761421319796955,1000000.0,985000.0,100.0,492.5,440.0,20,952.5,1295,2026-04-10 09:15:00+08:00,0.5535398053966241,1296,2026-04-10 09:30:00+08:00,open,-0.1541983728864846,2340.69318,2340.69318,1980.0,1980.0,11380.22176540063,-5000.0,6380.221765400631,498.1901108827003,440.0,20,958.1901108827003,990.6901108827003,880.0,40,1910.6901108827003,4469.53165451793,4469.53165451793,zscore_exit,425
