entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
40,2026-03-12 17:25:00+08:00,2.8323645094730665,41,2026-03-12 17:40:00+08:00,open,15,2.3644630647983185,short_tsm_long_qff,2243.3732640000003,2243.3732640000003,1900.0,1900.0,False,-423.4694311664044,500.0,5,5.2631578947368425,1000000.0,950000.0,100.0,475.0,440.0,20,935.0,57,2026-03-12 21:40:00+08:00,-1.530776751472653,58,2026-03-12 21:55:00+08:00,open,-0.8878037304539995,2166.083152,2166.083152,1855.0,1855.0,32729.999763427742,-22500.0,10229.999763427742,458.63500011828614,440.0,20,918.6350001182861,933.6350001182861,880.0,40,1853.6350001182861,8376.364763309457,8376.364763309457,zscore_exit,255
88,2026-03-13 09:00:00+08:00,-2.6069747165094226,89,2026-03-13 09:15:00+08:00,open,15,-2.062668768847882,long_tsm_short_qff,2173.875116,2173.875116,1860.0,1860.0,False,427.8074638028103,-500.0,-5,5.376344086021505,1000000.0,930000.0,100.0,465.0,440.0,20,925.0,107,2026-03-13 17:25:00+08:00,0.7199552385190302,108,2026-03-13 17:40:00+08:00,open,-0.0061817434825479,2172.0211520000003,2172.0211520000003,1850.0,1850.0,-793.1396368216729,5000.0,4206.860363178327,464.60343018158915,440.0,20,924.6034301815891,929.6034301815891,880.0,40,1849.6034301815891,2357.256932996738,2357.256932996738,zscore_exit,505
154,2026-03-16 08:45:00+08:00,-2.6319627706196616,155,2026-03-16 09:00:00+08:00,open,15,1.909343921832937,long_tsm_short_qff,2190.08212,2190.08212,1880.0,1880.0,False,429.20764998528915,-500.0,-5,5.319148936170213,1000000.0,940000.0,100.0,470.0,440.0,20,930.0,156,2026-03-16 09:15:00+08:00,2.765037635009129,157,2026-03-16 09:30:00+08:00,open,0.3431857494951871,2185.381808,2185.381808,1850.0,1850.0,-2017.4098677176287,15000.0,12982.590132282372,468.9912950661412,440.0,20,928.9912950661412,938.9912950661412,880.0,40,1858.9912950661412,11123.59883721623,11123.59883721623,zscore_exit,30
170,2026-03-16 12:45:00+08:00,2.521393575682672,171,2026-03-16 13:00:00+08:00,open,15,1.55849172356718,short_tsm_long_qff,2190.976456,2190.976456,1855.0,1855.0,False,-423.3272326866118,500.0,5,5.390835579514825,1000000.0,927500.0,100.0,463.75,440.0,20,923.75,190,2026-03-16 21:25:00+08:00,-0.6819361210960587,191,2026-03-16 21:40:00+08:00,open,-0.9934977189355444,2198.868336,2198.868336,1865.0,1865.0,-3340.847721094872,5000.0,1659.1522789051278,465.4204238605475,440.0,20,925.4204238605475,929.1704238605475,880.0,40,1849.1704238605475,-190.01814495541976,-190.01814495541976,zscore_exit,520
241,2026-03-17 17:25:00+08:00,-3.329774640579151,242,2026-03-17 17:40:00+08:00,open,15,-2.717072222145684,long_tsm_short_qff,2174.40758,2174.40758,1885.0,1885.0,False,433.45139552907557,-500.0,-5,5.305039787798409,1000000.0,942500.0,100.0,471.25,440.0,20,931.25,262,2026-03-17 22:40:00+08:00,0.6748590021329702,263,2026-03-17 22:55:00+08:00,open,0.1975882380477625,2207.620484,2207.620484,1895.0,1895.0,14396.179588373208,-5000.0,9396.179588373208,478.44808979418667,440.0,20,938.4480897941867,949.6980897941867,880.0,40,1869.6980897941867,7526.481498579022,7526.481498579022,zscore_exit,315
345,2026-03-19 02:40:00+08:00,-2.815121596276432,346,2026-03-19 02:55:00+08:00,open,15,-2.858666778659321,long_tsm_short_qff,2182.7020460000003,2182.7020460000003,1895.0,1895.0,False,434.09497953986886,-500.0,-5,5.277044854881266,1000000.0,947500.0,100.0,473.75,440.0,20,933.75,357,2026-03-19 09:15:00+08:00,1.117485884839218,358,2026-03-19 09:30:00+08:00,open,0.9682175582916788,2180.3901,2180.3901,1875.0,1875.0,-1003.6041515673953,10000.0,8996.395848432605,473.24819792421636,440.0,20,933.2481979242164,946.9981979242164,880.0,40,1866.9981979242164,7129.397650508388,7129.397650508388,zscore_exit,395
375,2026-03-19 17:25:00+08:00,2.794348514934294,376,2026-03-19 17:40:00+08:00,open,15,2.0481810864997207,short_tsm_long_qff,2142.617932,2142.617932,1825.0,1825.0,False,-425.88087515362025,500.0,5,5.47945205479452,1000000.0,912500.0,100.0,456.25,440.0,20,916.25,391,2026-03-19 21:25:00+08:00,-0.5411435552169225,392,2026-03-19 21:40:00+08:00,open,-0.0778212284533048,2114.376,2114.376,1820.0,1820.0,12027.698716188992,-2500.0,9527.698716188992,450.2361506419055,440.0,20,910.2361506419055,906.4861506419055,880.0,40,1826.4861506419056,7701.212565547086,7701.212565547086,zscore_exit,240
509,2026-03-23 17:25:00+08:00,-3.185018125091008,510,2026-03-23 17:40:00+08:00,open,15,-2.2381676436432443,long_tsm_short_qff,2069.302912,2069.302912,1805.0,1805.0,False,523.3646527628334,-600.0,-6,5.54016620498615,1000000.0,1083000.0,100.0,541.5000000000001,528.0,24,1093.5,525,2026-03-23 21:25:00+08:00,0.6876918892332196,526,2026-03-23 21:40:00+08:00,open,3.027755622518673,2159.4246080000003,2159.4246080000003,1865.0,1865.0,47166.51013343772,-36000.0,11166.510133437718,565.083255066719,528.0,24,1117.083255066719,1106.5832550667192,1056.0,48,2210.583255066719,8955.926878371,8955.926878371,zscore_exit,240
564,2026-03-24 10:45:00+08:00,2.7526001702366747,565,2026-03-24 11:00:00+08:00,open,15,1.436799421287923,short_tsm_long_qff,2147.175918,2147.175918,1820.0,1820.0,False,-423.8125029120227,500.0,5,5.4945054945054945,1000000.0,910000.0,100.0,455.0,440.0,20,915.0,577,2026-03-24 17:40:00+08:00,-0.5783702431486271,578,2026-03-24 17:55:00+08:00,open,-1.0278535348404836,2164.191744,2164.191744,1855.0,1855.0,-7211.519806175594,17500.0,10288.480193824405,458.60575990308786,440.0,20,918.6057599030878,913.6057599030878,880.0,40,1833.6057599030878,8454.874433921317,8454.874433921317,zscore_exit,415
593,2026-03-24 21:40:00+08:00,2.5866268990518337,594,2026-03-24 21:55:00+08:00,open,15,2.4943585661508134,short_tsm_long_qff,2176.351072,2176.351072,1845.0,1845.0,False,-423.8746275214921,500.0,5,5.420054200542006,1000000.0,922500.0,100.0,461.25,440.0,20,921.25,627,2026-03-25 09:45:00+08:00,-0.5485158215296946,628,2026-03-25 10:00:00+08:00,open,-0.8858683959058004,2225.792,2225.792,1880.0,1880.0,-20956.754940316903,17500.0,-3456.7549403169032,471.7283774701584,440.0,20,931.7283774701584,932.9783774701584,880.0,40,1852.9783774701584,-5309.733317787061,-5309.733317787061,zscore_exit,725
