entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
41,2026-03-12 17:40:00+08:00,2.3644630647983185,42,2026-03-12 17:55:00+08:00,open,15,2.35027392229501,short_tsm_long_qff,2248.4596800000004,2248.4596800000004,1910.0,1910.0,False,-424.73521250779106,500.0,5,5.2356020942408374,1000000.0,955000.0,100.0,477.5,440.0,20,937.5,57,2026-03-12 21:40:00+08:00,-1.530776751472653,58,2026-03-12 21:55:00+08:00,open,-0.8878037304539995,2166.083152,2166.083152,1855.0,1855.0,34988.2121257341,-27500.0,7488.212125734099,460.00589393713295,440.0,20,920.0058939371329,937.5058939371329,880.0,40,1857.505893937133,5630.706231796966,5630.706231796966,zscore_exit,240
243,2026-03-17 17:55:00+08:00,-2.3973613976229022,244,2026-03-17 18:10:00+08:00,open,15,-1.321461274620091,long_tsm_short_qff,2177.002404,2177.002404,1880.0,1880.0,False,431.78638584544257,-500.0,-5,5.319148936170213,1000000.0,940000.0,100.0,470.0,440.0,20,930.0,262,2026-03-17 22:40:00+08:00,0.6748590021329702,263,2026-03-17 22:55:00+08:00,open,0.1975882380477625,2207.620484,2207.620484,1895.0,1895.0,13220.47010472671,-7500.0,5720.47010472671,476.6102350523634,440.0,20,936.6102350523634,946.6102350523634,880.0,40,1866.6102350523634,3853.8598696743466,3853.8598696743466,zscore_exit,285
376,2026-03-19 17:40:00+08:00,2.0481810864997207,377,2026-03-19 17:55:00+08:00,open,15,1.8252816844033448,short_tsm_long_qff,2149.378176,2149.378176,1835.0,1835.0,False,-426.8676449053142,500.0,5,5.449591280653951,1000000.0,917500.0,100.0,458.75,440.0,20,918.75,391,2026-03-19 21:25:00+08:00,-0.5411435552169225,392,2026-03-19 21:40:00+08:00,open,-0.0778212284533048,2114.376,2114.376,1820.0,1820.0,14941.296435681295,-7500.0,7441.296435681295,451.2793517821593,440.0,20,911.2793517821593,910.0293517821593,880.0,40,1830.0293517821592,5611.267083899136,5611.267083899136,zscore_exit,225
511,2026-03-23 17:55:00+08:00,-2.452044947725803,512,2026-03-23 18:10:00+08:00,open,15,-1.674061970336726,long_tsm_short_qff,2073.872364,2073.872364,1805.0,1805.0,False,522.2115009581179,-600.0,-6,5.54016620498615,1000000.0,1083000.0,100.0,541.5,528.0,24,1093.5,525,2026-03-23 21:25:00+08:00,0.6876918892332196,526,2026-03-23 21:40:00+08:00,open,3.027755622518673,2159.4246080000003,2159.4246080000003,1865.0,1865.0,44676.36574957536,-36000.0,8676.365749575358,563.8381828747877,528.0,24,1115.8381828747877,1105.3381828747877,1056.0,48,2209.338182874788,6467.02756670057,6467.02756670057,zscore_exit,210
594,2026-03-24 21:55:00+08:00,2.4943585661508134,595,2026-03-24 22:10:00+08:00,open,15,1.4614518663885747,short_tsm_long_qff,2197.4761800000006,2197.4761800000006,1860.0,1860.0,False,-423.21277857947007,500.0,5,5.376344086021505,1000000.0,930000.0,100.0,465.0,440.0,20,925.0,627,2026-03-25 09:45:00+08:00,-0.5485158215296946,628,2026-03-25 10:00:00+08:00,open,-0.8858683959058004,2225.792,2225.792,1880.0,1880.0,-11983.616859955855,10000.0,-1983.616859955855,470.99180842997794,440.0,20,930.9918084299779,935.9918084299779,880.0,40,1855.991808429978,-3839.608668385833,-3839.608668385833,zscore_exit,710
728,2026-03-26 21:55:00+08:00,-3.117774439611561,729,2026-03-26 22:10:00+08:00,open,15,-2.8927478224763603,long_tsm_short_qff,2146.87126,2146.87126,1835.0,1835.0,False,427.3661011233622,-500.0,-5,5.449591280653951,1000000.0,917500.0,100.0,458.75,440.0,20,918.75,762,2026-03-27 10:00:00+08:00,1.0392610923940508,763,2026-03-27 10:15:00+08:00,open,-0.3348132599885583,2113.7754240000004,2113.7754240000004,1815.0,1815.0,-14144.038394738001,10000.0,-4144.038394738001,451.677980802631,440.0,20,911.677980802631,910.427980802631,880.0,40,1830.427980802631,-5974.466375540633,-5974.466375540633,zscore_exit,725
827,2026-03-30 09:30:00+08:00,-2.3906021744442207,828,2026-03-30 09:45:00+08:00,open,15,-1.8840077318459303,long_tsm_short_qff,2067.475296,2067.475296,1790.0,1790.0,False,519.4741635258697,-600.0,-6,5.58659217877095,1000000.0,1074000.0,100.0,537.0,528.0,24,1089.0,843,2026-03-30 13:30:00+08:00,0.5471971585289161,844,2026-03-30 17:25:00+08:00,open,1.0913087933088943,2104.7831,2104.7831,1795.0,1795.0,19380.44027588711,-3000.0,16380.440275887111,546.6902201379435,528.0,24,1098.6902201379435,1083.6902201379435,1056.0,48,2187.6902201379435,14192.750055749168,14192.750055749168,zscore_exit,460
866,2026-03-30 22:55:00+08:00,-2.4898050952572044,867,2026-03-30 23:10:00+08:00,open,15,-2.003334414217241,long_tsm_short_qff,2039.9763120000002,2039.9763120000002,1775.0,1775.0,False,522.0648856240248,-600.0,-6,5.633802816901408,1000000.0,1065000.0,100.0,532.5,528.0,24,1084.5,893,2026-03-31 09:15:00+08:00,1.1108352200204803,894,2026-03-31 09:30:00+08:00,open,1.088802160613905,2060.306424,2060.306424,1790.0,1790.0,10613.637596003427,-9000.0,1613.6375960034275,537.8068187980018,528.0,24,1089.8068187980018,1070.3068187980018,1056.0,48,2174.3068187980016,-560.6692227945741,-560.6692227945741,zscore_exit,620
901,2026-03-31 11:15:00+08:00,2.2346741955627114,902,2026-03-31 11:30:00+08:00,open,15,1.537083979652013,short_tsm_long_qff,2058.186396,2058.186396,1780.0,1780.0,False,-518.9034394919788,600.0,6,5.617977528089888,1000000.0,1068000.0,100.0,534.0,528.0,24,1086.0,914,2026-03-31 18:10:00+08:00,-0.5209713881629282,915,2026-03-31 18:25:00+08:00,open,-1.6042277206610245,2044.397966,2044.397966,1770.0,1770.0,7154.863752194417,-6000.0,1154.8637521944174,530.4225681239028,528.0,24,1082.4225681239027,1064.4225681239027,1056.0,48,2168.4225681239027,-1013.5588159294853,-1013.5588159294853,zscore_exit,415
930,2026-03-31 22:10:00+08:00,2.883025027364132,931,2026-03-31 22:25:00+08:00,open,15,2.268548110404033,short_tsm_long_qff,2103.694816,2103.694816,1810.0,1810.0,False,-516.2345753482143,600.0,6,5.524861878453039,1000000.0,1086000.0,100.0,543.0,528.0,24,1095.0,983,2026-04-01 18:40:00+08:00,-0.6042644858911085,984,2026-04-01 18:55:00+08:00,open,0.260793526835686,2201.0154039999998,2201.0154039999998,1875.0,1875.0,-50240.25241881831,39000.0,-11240.252418818309,568.120126209409,528.0,24,1120.1201262094091,1111.1201262094091,1056.0,48,2215.120126209409,-13455.372545027718,-13455.372545027718,zscore_exit,1230
