entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
35,2026-03-12 12:30:00+08:00,2.103009867236433,36,2026-03-12 12:45:00+08:00,open,15,0.986051622511301,short_tsm_long_qff,2224.4449919999997,2224.4449919999997,1890.0,1890.0,False,-424.8250702528499,500.0,5,5.291005291005291,1000000.0,945000.0,100.0,472.5,440.0,20,932.5,57,2026-03-12 21:40:00+08:00,-1.530776751472653,58,2026-03-12 21:55:00+08:00,open,-0.8878037304539995,2166.083152,2166.083152,1855.0,1855.0,24793.572778085407,-17500.0,7293.572778085407,460.1032136109573,440.0,20,920.1032136109573,932.6032136109573,880.0,40,1852.6032136109573,5440.96956447445,5440.96956447445,zscore_exit,550
88,2026-03-13 09:00:00+08:00,-2.6069747165094226,89,2026-03-13 09:15:00+08:00,open,15,-2.062668768847882,long_tsm_short_qff,2173.875116,2173.875116,1860.0,1860.0,False,427.8074638028103,-500.0,-5,5.376344086021505,1000000.0,930000.0,100.0,465.0,440.0,20,925.0,107,2026-03-13 17:25:00+08:00,0.7199552385190302,108,2026-03-13 17:40:00+08:00,open,-0.0061817434825479,2172.0211520000003,2172.0211520000003,1850.0,1850.0,-793.1396368216729,5000.0,4206.860363178327,464.60343018158915,440.0,20,924.6034301815891,929.6034301815891,880.0,40,1849.6034301815891,2357.256932996738,2357.256932996738,zscore_exit,505
154,2026-03-16 08:45:00+08:00,-2.6319627706196616,155,2026-03-16 09:00:00+08:00,open,15,1.909343921832937,long_tsm_short_qff,2190.08212,2190.08212,1880.0,1880.0,False,429.20764998528915,-500.0,-5,5.319148936170213,1000000.0,940000.0,100.0,470.0,440.0,20,930.0,156,2026-03-16 09:15:00+08:00,2.765037635009129,157,2026-03-16 09:30:00+08:00,open,0.3431857494951871,2185.381808,2185.381808,1850.0,1850.0,-2017.4098677176287,15000.0,12982.590132282372,468.9912950661412,440.0,20,928.9912950661412,938.9912950661412,880.0,40,1858.9912950661412,11123.59883721623,11123.59883721623,zscore_exit,30
169,2026-03-16 12:30:00+08:00,2.35110351165254,170,2026-03-16 12:45:00+08:00,open,15,2.521393575682672,short_tsm_long_qff,2192.9675300000004,2192.9675300000004,1855.0,1855.0,False,-422.942878684574,500.0,5,5.390835579514825,1000000.0,927500.0,100.0,463.75,440.0,20,923.75,190,2026-03-16 21:25:00+08:00,-0.6819361210960587,191,2026-03-16 21:40:00+08:00,open,-0.9934977189355444,2198.868336,2198.868336,1865.0,1865.0,-2495.7038761990575,5000.0,2504.2961238009425,464.99785193809953,440.0,20,924.9978519380995,928.7478519380995,880.0,40,1848.7478519380995,655.548271862843,655.548271862843,zscore_exit,535
192,2026-03-16 21:55:00+08:00,-2.199934713876253,193,2026-03-16 22:10:00+08:00,open,15,-1.1882524384123418,long_tsm_short_qff,2193.48288,2193.48288,1875.0,1875.0,False,427.4024696285754,-500.0,-5,5.333333333333333,1000000.0,937500.0,100.0,468.75,440.0,20,928.75,262,2026-03-17 22:40:00+08:00,0.6748590021329702,263,2026-03-17 22:55:00+08:00,open,0.1975882380477625,2207.620484,2207.620484,1895.0,1895.0,6042.44686423083,-10000.0,-3957.55313576917,471.77122343211545,440.0,20,931.7712234321154,940.5212234321154,880.0,40,1860.5212234321154,-5818.074359201285,-5818.074359201285,zscore_exit,1485
275,2026-03-18 01:55:00+08:00,2.0586744608164644,276,2026-03-18 02:10:00+08:00,open,15,1.8356030999862287,short_tsm_long_qff,2216.7986279999996,2216.7986279999996,1900.0,1900.0,False,-428.5459166208038,500.0,5,5.2631578947368425,1000000.0,950000.0,100.0,475.0,440.0,20,935.0,298,2026-03-18 11:15:00+08:00,-0.6155350951233939,299,2026-03-18 11:30:00+08:00,open,-0.7033004430755523,2229.27222,2229.27222,1915.0,1915.0,-5345.506917194045,7500.0,2154.493082805955,477.6727534585971,440.0,20,937.6727534585971,952.6727534585971,880.0,40,1872.672753458597,281.820329347358,281.820329347358,zscore_exit,560
345,2026-03-19 02:40:00+08:00,-2.815121596276432,346,2026-03-19 02:55:00+08:00,open,15,-2.858666778659321,long_tsm_short_qff,2182.7020460000003,2182.7020460000003,1895.0,1895.0,False,434.09497953986886,-500.0,-5,5.277044854881266,1000000.0,947500.0,100.0,473.75,440.0,20,933.75,357,2026-03-19 09:15:00+08:00,1.117485884839218,358,2026-03-19 09:30:00+08:00,open,0.9682175582916788,2180.3901,2180.3901,1875.0,1875.0,-1003.6041515673953,10000.0,8996.395848432605,473.24819792421636,440.0,20,933.2481979242164,946.9981979242164,880.0,40,1866.9981979242164,7129.397650508388,7129.397650508388,zscore_exit,395
411,2026-03-20 02:25:00+08:00,-2.231541999843748,412,2026-03-20 02:40:00+08:00,open,15,-0.9130155108194598,long_tsm_short_qff,2133.5415139999996,2133.5415139999996,1835.0,1835.0,False,430.03616005570734,-500.0,-5,5.449591280653951,1000000.0,917500.0,100.0,458.75,440.0,20,918.75,413,2026-03-20 02:55:00+08:00,1.090030302462334,414,2026-03-20 03:10:00+08:00,open,0.6501447736813719,2169.620664,2169.620664,1855.0,1855.0,15515.33912407408,-10000.0,5515.33912407408,466.507669562037,440.0,20,926.507669562037,925.257669562037,880.0,40,1845.2576695620369,3670.0814545120434,3670.0814545120434,zscore_exit,30
435,2026-03-20 12:00:00+08:00,2.4507140348593706,436,2026-03-20 12:15:00+08:00,open,15,1.191107578441137,short_tsm_long_qff,2167.988732,2167.988732,1850.0,1850.0,False,-426.6627341493028,500.0,5,5.405405405405405,1000000.0,925000.0,100.0,462.5,440.0,20,922.5,460,2026-03-20 21:55:00+08:00,-2.347368657442052,461,2026-03-20 22:10:00+08:00,open,-2.761232570664513,2122.079988,2122.079988,1830.0,1830.0,19587.550236400333,-10000.0,9587.550236400333,452.7062248817998,440.0,20,912.7062248817998,915.2062248817998,880.0,40,1835.2062248817997,7752.344011518533,7752.344011518533,zscore_exit,595
641,2026-03-25 13:15:00+08:00,2.1368342279480337,642,2026-03-25 13:30:00+08:00,open,15,2.0061577339850523,short_tsm_long_qff,2218.277142,2218.277142,1855.0,1855.0,False,-418.11727779143297,500.0,5,5.390835579514825,1000000.0,927500.0,100.0,463.75,440.0,20,923.75,657,2026-03-25 20:55:00+08:00,-0.8042317521992729,658,2026-03-25 21:10:00+08:00,open,-0.5923354642012679,2216.60311,2216.60311,1870.0,1870.0,699.9417027757052,7500.0,8199.941702775704,463.4000291486121,440.0,20,923.400029148612,927.150029148612,880.0,40,1847.150029148612,6352.791673627093,6352.791673627093,zscore_exit,460
