entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
35,2026-03-12 12:30:00+08:00,2.103009867236433,36,2026-03-12 12:45:00+08:00,open,15,0.986051622511301,short_tsm_long_qff,2224.4449919999997,2224.4449919999997,1890.0,1890.0,False,-424.8250702528499,500.0,5,5.291005291005291,1000000.0,945000.0,100.0,283.5,661.5,20,965.0,57,2026-03-12 21:40:00+08:00,-1.530776751472653,58,2026-03-12 21:55:00+08:00,open,-0.8878037304539995,2166.083152,2166.083152,1855.0,1855.0,24793.572778085407,-17500.0,7293.572778085407,276.0619281665744,649.25,20,945.3119281665744,559.5619281665744,1310.75,40,1910.3119281665745,5383.260849918832,5383.260849918832,zscore_exit,550
88,2026-03-13 09:00:00+08:00,-2.6069747165094226,89,2026-03-13 09:15:00+08:00,open,15,-2.062668768847882,long_tsm_short_qff,2173.875116,2173.875116,1860.0,1860.0,False,427.8074638028103,-500.0,-5,5.376344086021505,1000000.0,930000.0,100.0,279.0,651.0,20,950.0,107,2026-03-13 17:25:00+08:00,0.7199552385190302,108,2026-03-13 17:40:00+08:00,open,-0.0061817434825479,2172.0211520000003,2172.0211520000003,1850.0,1850.0,-793.1396368216729,5000.0,4206.860363178327,278.7620581089535,647.5,20,946.2620581089535,557.7620581089535,1298.5,40,1896.2620581089536,2310.5983050693735,2310.5983050693735,zscore_exit,505
154,2026-03-16 08:45:00+08:00,-2.6319627706196616,155,2026-03-16 09:00:00+08:00,open,15,1.909343921832937,long_tsm_short_qff,2190.08212,2190.08212,1880.0,1880.0,False,429.20764998528915,-500.0,-5,5.319148936170213,1000000.0,940000.0,100.0,282.0,658.0,20,960.0,156,2026-03-16 09:15:00+08:00,2.765037635009129,157,2026-03-16 09:30:00+08:00,open,0.3431857494951871,2185.381808,2185.381808,1850.0,1850.0,-2017.4098677176287,15000.0,12982.590132282372,281.39477703968475,647.5,20,948.8947770396848,563.3947770396848,1305.5,40,1908.8947770396849,11073.695355242688,11073.695355242688,zscore_exit,30
169,2026-03-16 12:30:00+08:00,2.35110351165254,170,2026-03-16 12:45:00+08:00,open,15,2.521393575682672,short_tsm_long_qff,2192.9675300000004,2192.9675300000004,1855.0,1855.0,False,-422.942878684574,500.0,5,5.390835579514825,1000000.0,927500.0,100.0,278.25,649.25,20,947.5,190,2026-03-16 21:25:00+08:00,-0.6819361210960587,191,2026-03-16 21:40:00+08:00,open,-0.9934977189355444,2198.868336,2198.868336,1865.0,1865.0,-2495.7038761990575,5000.0,2504.2961238009425,278.9987111628597,652.75,20,951.7487111628598,557.2487111628598,1302.0,40,1899.2487111628598,605.0474126380827,605.0474126380827,zscore_exit,535
192,2026-03-16 21:55:00+08:00,-2.199934713876253,193,2026-03-16 22:10:00+08:00,open,15,-1.1882524384123418,long_tsm_short_qff,2193.48288,2193.48288,1875.0,1875.0,False,427.4024696285754,-500.0,-5,5.333333333333333,1000000.0,937500.0,100.0,281.25,656.25,20,957.5,262,2026-03-17 22:40:00+08:00,0.6748590021329702,263,2026-03-17 22:55:00+08:00,open,0.1975882380477625,2207.620484,2207.620484,1895.0,1895.0,6042.44686423083,-10000.0,-3957.55313576917,283.06273405926925,663.25,20,966.3127340592692,564.3127340592692,1319.5,40,1923.8127340592691,-5881.365869828439,-5881.365869828439,zscore_exit,1485
275,2026-03-18 01:55:00+08:00,2.0586744608164644,276,2026-03-18 02:10:00+08:00,open,15,1.8356030999862287,short_tsm_long_qff,2216.7986279999996,2216.7986279999996,1900.0,1900.0,False,-428.5459166208038,500.0,5,5.2631578947368425,1000000.0,950000.0,100.0,285.0,665.0,20,970.0,298,2026-03-18 11:15:00+08:00,-0.6155350951233939,299,2026-03-18 11:30:00+08:00,open,-0.7033004430755523,2229.27222,2229.27222,1915.0,1915.0,-5345.506917194045,7500.0,2154.493082805955,286.60365207515827,670.25,20,976.8536520751583,571.6036520751583,1335.25,40,1946.8536520751582,207.6394307307969,207.6394307307969,zscore_exit,560
322,2026-03-18 20:55:00+08:00,-2.333082219454927,323,2026-03-18 21:10:00+08:00,open,15,-1.1045715444580146,long_tsm_short_qff,2204.5931520000004,2204.5931520000004,1900.0,1900.0,False,430.91851171639667,-500.0,-5,5.2631578947368425,1000000.0,950000.0,100.0,285.0,665.0,20,970.0,324,2026-03-18 21:25:00+08:00,0.7862181245130118,325,2026-03-18 21:40:00+08:00,open,-0.687755470337477,2224.423232,2224.423232,1910.0,1910.0,8545.148560816964,-5000.0,3545.148560816964,287.5635445682451,668.5,20,976.0635445682451,572.5635445682451,1333.5,40,1946.063544568245,1599.085016248719,1599.085016248719,zscore_exit,30
327,2026-03-18 22:10:00+08:00,-2.3573889963659678,328,2026-03-18 22:25:00+08:00,open,15,-0.5583541764777569,long_tsm_short_qff,2206.1183599999995,2206.1183599999995,1900.0,1900.0,False,430.6205946266637,-500.0,-5,5.2631578947368425,1000000.0,950000.0,100.0,285.0,665.0,20,970.0,357,2026-03-19 09:15:00+08:00,1.117485884839218,358,2026-03-19 09:30:00+08:00,open,0.9682175582916788,2180.3901,2180.3901,1875.0,1875.0,-11079.118619909152,12500.0,1420.8813800908483,281.67626441402723,656.25,20,957.9262644140272,566.6762644140272,1321.25,40,1927.9262644140272,-507.04488432317885,-507.04488432317885,zscore_exit,665
369,2026-03-19 12:15:00+08:00,2.2551879595833504,370,2026-03-19 12:30:00+08:00,open,15,1.2380227957414196,short_tsm_long_qff,2175.8101400000005,2175.8101400000005,1865.0,1865.0,False,-428.57599698473683,500.0,5,5.361930294906166,1000000.0,932500.0,100.0,279.75,652.75,20,952.5,391,2026-03-19 21:25:00+08:00,-0.5411435552169225,392,2026-03-19 21:40:00+08:00,open,-0.0778212284533048,2114.376,2114.376,1820.0,1820.0,26329.197799400026,-22500.0,3829.1977994000263,271.85124066018,637.0,20,928.85124066018,551.60124066018,1289.75,40,1881.3512406601799,1947.8465587398464,1947.8465587398464,zscore_exit,550
411,2026-03-20 02:25:00+08:00,-2.231541999843748,412,2026-03-20 02:40:00+08:00,open,15,-0.9130155108194598,long_tsm_short_qff,2133.5415139999996,2133.5415139999996,1835.0,1835.0,False,430.03616005570734,-500.0,-5,5.449591280653951,1000000.0,917500.0,100.0,275.25,642.25,20,937.5,413,2026-03-20 02:55:00+08:00,1.090030302462334,414,2026-03-20 03:10:00+08:00,open,0.6501447736813719,2169.620664,2169.620664,1855.0,1855.0,15515.33912407408,-10000.0,5515.33912407408,279.9046017372222,649.25,20,949.1546017372223,555.1546017372223,1291.5,40,1886.6546017372223,3628.684522336858,3628.684522336858,zscore_exit,30
