entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
3864,2026-05-11 09:49:00+08:00,2.786358852692339,3865,2026-05-11 09:50:00+08:00,open,1,1.3528008012853858,short_tsm_long_qff,2561.487944,2561.487944,2270.0,2270.0,True,-354.48146540251685,400.0,4,4.405286343612334,1000000.0,908000.0,100.0,454.0,352.0,20,826.0,4353,2026-05-11 17:58:00+08:00,-0.0060496755752492,4354,2026-05-11 17:59:00+08:00,open,-0.0957399361523086,2535.6760000000004,2535.6760000000004,2250.0,2250.0,9149.855734007555,-8000.0,1149.855734007555,449.4250721329962,352.0,20,821.4250721329962,903.4250721329962,704.0,40,1647.4250721329963,-497.5693381254414,-497.5693381254414,zscore_exit,489
5258,2026-05-12 09:03:00+08:00,-2.090504570117886,5259,2026-05-12 09:04:00+08:00,open,1,-1.1864487641608226,long_tsm_short_qff,2541.13354,2541.13354,2255.0,2255.0,True,354.9597003863087,-400.0,-4,4.434589800443459,1000000.0,902000.0,100.0,451.0,352.0,20,823.0,5280,2026-05-12 09:25:00+08:00,0.068111526507846,5281,2026-05-12 09:26:00+08:00,open,-0.1270619591372297,2530.4216559999995,2530.4216559999995,2240.0,2240.0,-3802.287135212994,6000.0,2197.712864787006,449.09885643239346,352.0,16,817.0988564323934,900.0988564323934,704.0,36,1640.0988564323934,557.6140083546125,557.6140083546125,zscore_exit,22
5451,2026-05-12 12:16:00+08:00,-2.1181273894728503,5452,2026-05-12 12:17:00+08:00,open,1,-2.120446794122341,long_tsm_short_qff,2546.129808,2546.129808,2270.0,2270.0,True,356.619681033953,-400.0,-4,4.405286343612334,1000000.0,908000.0,100.0,454.0,352.0,20,826.0,5766,2026-05-12 17:31:00+08:00,0.1807515794093683,5767,2026-05-12 17:32:00+08:00,open,-0.8023125651922437,2525.61254,2525.61254,2245.0,2245.0,-7316.861569848152,10000.0,2683.1384301518483,450.34156921507594,352.0,16,818.3415692150759,904.3415692150759,704.0,36,1644.3415692150759,1038.7968609367724,1038.7968609367724,zscore_exit,315
5909,2026-05-12 19:54:00+08:00,2.186313334545088,5910,2026-05-12 19:55:00+08:00,open,1,1.3736420717544278,short_tsm_long_qff,2514.308342,2514.308342,2220.0,2220.0,True,-441.47329961807844,500.0,5,4.504504504504505,1000000.0,1110000.0,100.0,555.0,440.0,20,1015.0,6096,2026-05-12 23:01:00+08:00,-0.0409466486692022,6097,2026-05-12 23:02:00+08:00,open,0.2896089431597621,2470.522464,2470.522464,2190.0,2190.0,19330.29603733449,-15000.0,4330.29603733449,545.3348519813327,440.0,20,1005.3348519813327,1100.3348519813326,880.0,40,2020.3348519813326,2309.961185353158,2309.961185353158,zscore_exit,187
6228,2026-05-13 01:13:00+08:00,2.015807776548362,6229,2026-05-13 01:14:00+08:00,open,1,1.56695985032581,short_tsm_long_qff,2479.8704000000002,2479.8704000000002,2185.0,2185.0,True,-440.54721569320714,500.0,5,4.576659038901602,1000000.0,1092500.0,100.0,546.25,440.0,20,1006.25,6697,2026-05-13 09:02:00+08:00,-0.1012196617340122,6698,2026-05-13 09:03:00+08:00,open,0.0309374831075229,2503.36884,2503.36884,2210.0,2210.0,-10352.17231513382,12500.0,2147.827684866181,551.4260861575668,440.0,20,1011.4260861575668,1097.6760861575667,880.0,40,2017.6760861575667,130.15159870861407,130.15159870861407,zscore_exit,469
7452,2026-05-13 21:37:00+08:00,-2.218155223750259,7453,2026-05-13 21:38:00+08:00,open,1,-2.404916480849434,long_tsm_short_qff,2491.9458839999998,2491.9458839999998,2215.0,2215.0,True,444.4318021153304,-500.0,-5,4.514672686230249,1000000.0,1107500.0,100.0,553.75,440.0,20,1013.75,7630,2026-05-14 00:35:00+08:00,0.1270787374701874,7631,2026-05-14 00:36:00+08:00,open,-0.1526459581764248,2533.5319360000003,2533.5319360000003,2235.0,2235.0,18482.164033222092,-10000.0,8482.164033222092,562.991082016611,440.0,20,1022.991082016611,1116.741082016611,880.0,40,2036.741082016611,6445.422951205481,6445.422951205481,zscore_exit,178
8139,2026-05-14 09:04:00+08:00,-2.289943567800149,8140,2026-05-14 09:05:00+08:00,open,1,-2.246715619858107,long_tsm_short_qff,2550.671046,2550.671046,2270.0,2270.0,True,355.9847521004086,-400.0,-4,4.405286343612334,1000000.0,908000.0,100.0,454.0,352.0,20,826.0,8890,2026-05-14 21:35:00+08:00,0.2945275874261951,8891,2026-05-14 21:36:00+08:00,open,0.0471872692217795,2565.18027,2565.18027,2270.0,2270.0,5165.062508809265,-0.0,5165.062508809265,456.5825312544046,352.0,20,828.5825312544046,910.5825312544046,704.0,40,1654.5825312544046,3510.47997755486,3510.47997755486,zscore_exit,751
8902,2026-05-14 21:47:00+08:00,2.2260936508012343,8903,2026-05-14 21:48:00+08:00,open,1,1.8301596614553015,short_tsm_long_qff,2602.491354,2602.491354,2285.0,2285.0,True,-351.20193525146294,400.0,4,4.3763676148796495,1000000.0,914000.0,100.0,457.0,352.0,20,829.0,9655,2026-05-15 10:20:00+08:00,-0.0601531321334449,9656,2026-05-15 10:21:00+08:00,open,0.0338366991065164,2600.295702,2600.295702,2285.0,2285.0,771.1172315387035,0.0,771.1172315387035,456.61444138423064,352.0,20,828.6144413842306,913.6144413842306,704.0,40,1657.6144413842308,-886.4972098455272,-886.4972098455272,zscore_exit,753
13885,2026-05-18 08:50:00+08:00,2.056607778069329,13886,2026-05-18 08:51:00+08:00,open,1,1.7380624140533856,short_tsm_long_qff,2549.262922,2549.262922,2225.0,2225.0,False,-349.1205211982446,400.0,4,4.49438202247191,1000000.0,890000.0,100.0,444.9999999999999,352.0,16,812.9999999999999,13895,2026-05-18 09:00:00+08:00,-0.7815453852835884,13896,2026-05-18 09:01:00+08:00,open,0.7765339668433451,2548.6658399999997,2548.6658399999997,2235.0,2235.0,208.45357903816978,4000.0,4208.45357903817,444.8957732104809,352.0,16,812.8957732104809,889.8957732104808,704.0,32,1625.895773210481,2582.5578058276888,2582.5578058276888,zscore_exit,10
13913,2026-05-18 09:18:00+08:00,-2.2073822354443324,13914,2026-05-18 09:19:00+08:00,open,1,-2.195934299209086,long_tsm_short_qff,2527.9842,2527.9842,2230.0,2230.0,False,352.8503065802389,-400.0,-4,4.484304932735426,1000000.0,892000.0,100.0,446.0,352.0,16,814.0,13934,2026-05-18 09:39:00+08:00,0.3677479231447766,13935,2026-05-18 09:40:00+08:00,open,0.2189512098315422,2543.08032,2543.08032,2230.0,2230.0,5326.670570172131,-0.0,5326.670570172131,448.663335285086,352.0,16,816.6633352850861,894.6633352850861,704.0,32,1630.663335285086,3696.0072348870453,3696.0072348870453,zscore_exit,21
