entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
982,2026-05-11 13:31:00+08:00,2.51005002463159,983,2026-05-11 13:32:00+08:00,open,1,1.814400348343833,short_tsm_long_qff,2563.9298,2563.9298,2255.0,2255.0,True,-351.80370382995665,400.0,4,4.434589800443459,1000000.0,902000.0,100.0,450.9999999999999,352.0,20,822.9999999999999,1012,2026-05-11 17:40:00+08:00,-0.5050751249371156,1013,2026-05-11 17:41:00+08:00,open,-0.4300555421834965,2537.16835,2537.16835,2250.0,2250.0,9414.777229860181,-2000.0,7414.777229860181,446.2926113850699,352.0,20,818.2926113850699,897.2926113850698,704.0,40,1641.29261138507,5773.484618475111,5773.484618475111,zscore_exit,249
1232,2026-05-11 21:20:00+08:00,2.1461098887050816,1233,2026-05-11 21:21:00+08:00,open,1,1.0212331574764142,short_tsm_long_qff,2559.752472,2559.752472,2255.0,2255.0,True,-352.3778216318097,400.0,4,4.434589800443459,1000000.0,902000.0,100.0,451.0,352.0,20,823.0,1243,2026-05-11 21:31:00+08:00,-0.3760852928619823,1244,2026-05-11 21:32:00+08:00,open,-0.6224428441747433,2556.048924,2556.048924,2255.0,2255.0,1305.0481765488298,0.0,1305.0481765488298,450.3474759117256,352.0,20,822.3474759117256,901.3474759117256,704.0,40,1645.3474759117257,-340.2992993628959,-340.2992993628959,zscore_exit,11
1246,2026-05-11 21:34:00+08:00,-2.615082006217601,1247,2026-05-11 21:35:00+08:00,open,1,-3.9765691759944,long_tsm_short_qff,2536.155408,2536.155408,2250.0,2250.0,True,354.8678433352535,-400.0,-4,4.444444444444445,1000000.0,900000.0,100.0,449.9999999999999,352.0,20,821.9999999999999,1354,2026-05-11 23:22:00+08:00,0.2202702124310575,1355,2026-05-11 23:23:00+08:00,open,-0.2173694310550513,2551.3498,2551.3498,2260.0,2260.0,5392.001119830386,-4000.0,1392.0011198303864,452.69600055991515,352.0,20,824.6960005599151,902.6960005599151,704.0,40,1646.6960005599149,-254.69488072952845,-254.69488072952845,zscore_exit,108
1711,2026-05-12 09:03:00+08:00,-2.0302998899952343,1712,2026-05-12 09:04:00+08:00,open,1,-0.721083742468559,long_tsm_short_qff,2541.13354,2541.13354,2255.0,2255.0,True,354.9597003863087,-400.0,-4,4.434589800443459,1000000.0,902000.0,100.0,451.0,352.0,20,823.0,1723,2026-05-12 09:15:00+08:00,0.0435850443930044,1724,2026-05-12 09:16:00+08:00,open,0.0807093495849967,2540.9170280000003,2540.9170280000003,2250.0,2250.0,-76.85303464986701,2000.0,1923.146965350133,450.9615734826751,352.0,20,822.961573482675,901.961573482675,704.0,40,1645.961573482675,277.18539186745807,277.18539186745807,zscore_exit,12
1735,2026-05-12 09:27:00+08:00,2.045606892068077,1736,2026-05-12 09:28:00+08:00,open,1,2.1449350516485324,short_tsm_long_qff,2528.0452400000004,2528.0452400000004,2235.0,2235.0,True,-353.6329120439316,400.0,4,4.47427293064877,1000000.0,894000.0,100.0,447.0,352.0,16,815.0,1819,2026-05-12 10:51:00+08:00,-0.0007912880314447,1820,2026-05-12 10:52:00+08:00,open,0.3261092378132997,2532.3514139999997,2532.3514139999997,2245.0,2245.0,-1522.8048513876433,4000.0,2477.1951486123567,447.7614024256939,352.0,16,815.7614024256939,894.7614024256939,704.0,32,1630.7614024256939,846.4337461866628,846.4337461866628,zscore_exit,84
1835,2026-05-12 11:07:00+08:00,-2.162166120380606,1836,2026-05-12 11:08:00+08:00,open,1,-1.761073449665404,long_tsm_short_qff,2537.68944,2537.68944,2260.0,2260.0,True,356.22956290506534,-400.0,-4,4.424778761061947,1000000.0,904000.0,100.0,452.0000000000001,352.0,20,824.0000000000001,1844,2026-05-12 11:16:00+08:00,0.3171628738947148,1845,2026-05-12 11:17:00+08:00,open,-0.5899479163173298,2546.1478,2546.1478,2260.0,2260.0,3013.1178856937186,-0.0,3013.1178856937186,453.5065589428469,352.0,20,825.5065589428468,905.506558942847,704.0,40,1649.5065589428468,1363.6113267508717,1363.6113267508717,zscore_exit,9
1893,2026-05-12 12:05:00+08:00,-2.1707834339475127,1894,2026-05-12 12:06:00+08:00,open,1,-1.2390533255297331,long_tsm_short_qff,2547.8469099999998,2547.8469099999998,2265.0,2265.0,True,355.594363399173,-400.0,-4,4.415011037527594,1000000.0,906000.0,100.0,453.0,352.0,20,825.0,1994,2026-05-12 17:25:00+08:00,0.1046642725257855,1995,2026-05-12 17:26:00+08:00,open,-0.0012479545542805,2524.91256,2524.91256,2240.0,2240.0,-8155.32558822366,10000.0,1844.67441177634,448.92233720588814,352.0,16,816.9223372058882,901.9223372058882,704.0,36,1641.9223372058882,202.7520745704519,202.7520745704519,zscore_exit,320
2196,2026-05-12 20:47:00+08:00,2.2092469126410808,2197,2026-05-12 20:48:00+08:00,open,1,1.5212739288060837,short_tsm_long_qff,2516.91464,2516.91464,2215.0,2215.0,True,-440.0228686341147,500.0,5,4.514672686230249,1000000.0,1107500.0,100.0,553.75,440.0,20,1013.75,2330,2026-05-12 23:01:00+08:00,-0.2222052054465667,2331,2026-05-12 23:02:00+08:00,open,0.0026179230364065,2470.522464,2470.522464,2190.0,2190.0,20413.618365698654,-12500.0,7913.618365698654,543.5431908171506,440.0,20,1003.5431908171506,1097.2931908171506,880.0,40,2017.2931908171506,5896.325174881504,5896.325174881504,zscore_exit,134
2483,2026-05-13 01:34:00+08:00,2.1392049455356807,2484,2026-05-13 01:35:00+08:00,open,1,1.769810086148728,short_tsm_long_qff,2483.9998640000003,2483.9998640000003,2175.0,2175.0,True,-437.80195633698304,500.0,5,4.597701149425287,1000000.0,1087500.0,100.0,543.75,440.0,20,1003.75,2705,2026-05-13 09:00:00+08:00,-0.8663210043762212,2706,2026-05-13 09:01:00+08:00,open,-0.649429482737943,2505.1413780000003,2505.1413780000003,2205.0,2205.0,-9255.796189125678,15000.0,5744.203810874322,548.3778980945629,440.0,20,1008.3778980945629,1092.1278980945629,880.0,40,2012.1278980945629,3732.075912779759,3732.075912779759,zscore_exit,446
2754,2026-05-13 09:49:00+08:00,-2.3173405832996736,2755,2026-05-13 09:50:00+08:00,open,1,-2.029237949330183,long_tsm_short_qff,2511.84725,2511.84725,2235.0,2235.0,True,355.913362168022,-400.0,-4,4.47427293064877,1000000.0,894000.0,100.0,447.0,352.0,16,815.0,2991,2026-05-13 17:25:00+08:00,0.0202804841256475,2992,2026-05-13 17:26:00+08:00,open,0.4433984949155524,2539.2673800000002,2539.2673800000002,2230.0,2230.0,9759.190659384396,2000.0,11759.190659384396,451.8795953296922,352.0,16,819.8795953296922,898.8795953296922,704.0,32,1634.8795953296922,10124.311064054704,10124.311064054704,zscore_exit,456
