entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
982,2026-05-11 13:31:00+08:00,2.513863975644336,983,2026-05-11 13:32:00+08:00,open,1,1.8169941850025215,short_tsm_long_qff,2563.9298,2563.9298,2255.0,2255.0,True,-351.80370382995665,400.0,4,4.434589800443459,1000000.0,902000.0,100.0,450.9999999999999,352.0,20,822.9999999999999,1056,2026-05-11 18:24:00+08:00,-1.0681566724436808,1057,2026-05-11 18:25:00+08:00,open,-0.4448731220841861,2528.845704,2528.845704,2240.0,2240.0,12342.714918325782,-6000.0,6342.7149183257825,444.82864254083705,352.0,16,812.8286425408371,895.8286425408369,704.0,36,1635.8286425408369,4706.886275784946,4706.886275784946,zscore_exit,293
1232,2026-05-11 21:20:00+08:00,2.1400085528408157,1233,2026-05-11 21:21:00+08:00,open,1,1.0228044027959715,short_tsm_long_qff,2559.752472,2559.752472,2255.0,2255.0,True,-352.3778216318097,400.0,4,4.434589800443459,1000000.0,902000.0,100.0,451.0,352.0,20,823.0,1245,2026-05-11 21:33:00+08:00,-1.715640711927717,1246,2026-05-11 21:34:00+08:00,open,-2.56882708075281,2541.1870879999997,2541.1870879999997,2255.0,2255.0,6542.029571678212,0.0,6542.029571678212,447.72898521416084,352.0,20,819.7289852141608,898.7289852141608,704.0,40,1642.7289852141607,4899.300586464051,4899.300586464051,zscore_exit,13
1247,2026-05-11 21:35:00+08:00,-3.9334785079386494,1248,2026-05-11 21:36:00+08:00,open,1,-1.2795717450652078,long_tsm_short_qff,2521.8780159999997,2521.8780159999997,2240.0,2240.0,True,355.29077707777606,-400.0,-4,4.464285714285714,1000000.0,896000.0,100.0,448.0,352.0,16,816.0,1702,2026-05-12 08:54:00+08:00,1.020768255152149,1703,2026-05-12 08:55:00+08:00,open,0.7982191932424271,2542.3550640000003,2542.3550640000003,2250.0,2250.0,7275.306296179151,-4000.0,3275.306296179151,451.6376531480896,352.0,20,823.6376531480896,899.6376531480896,704.0,36,1639.6376531480896,1635.6686430310615,1635.6686430310615,zscore_exit,679
1711,2026-05-12 09:03:00+08:00,-2.020374433177893,1712,2026-05-12 09:04:00+08:00,open,1,-0.7246495715411387,long_tsm_short_qff,2541.13354,2541.13354,2255.0,2255.0,True,354.9597003863087,-400.0,-4,4.434589800443459,1000000.0,902000.0,100.0,451.0,352.0,20,823.0,1733,2026-05-12 09:25:00+08:00,1.5006351146464076,1734,2026-05-12 09:26:00+08:00,open,1.1742618077615976,2530.4216559999995,2530.4216559999995,2240.0,2240.0,-3802.287135212994,6000.0,2197.712864787006,449.09885643239346,352.0,16,817.0988564323934,900.0988564323934,704.0,36,1640.0988564323934,557.6140083546125,557.6140083546125,zscore_exit,22
1736,2026-05-12 09:28:00+08:00,2.049846581749892,1737,2026-05-12 09:29:00+08:00,open,1,2.167137906134226,short_tsm_long_qff,2528.845704,2528.845704,2235.0,2235.0,True,-353.5209754339366,400.0,4,4.47427293064877,1000000.0,894000.0,100.0,447.0,352.0,16,815.0,1834,2026-05-12 11:06:00+08:00,-1.1968976341733,1835,2026-05-12 11:07:00+08:00,open,-2.155774375416015,2537.58932,2537.58932,2260.0,2260.0,-3091.051657139846,10000.0,6908.948342860154,448.54552582856996,352.0,20,820.5455258285699,895.5455258285699,704.0,36,1635.54552582857,5273.402817031584,5273.402817031584,zscore_exit,98
1837,2026-05-12 11:09:00+08:00,-2.0813883543703384,1838,2026-05-12 11:10:00+08:00,open,1,-0.915682336016912,long_tsm_short_qff,2543.50474,2543.50474,2260.0,2260.0,True,355.4151033349362,-400.0,-4,4.424778761061947,1000000.0,904000.0,100.0,452.0,352.0,20,824.0,2093,2026-05-12 19:04:00+08:00,1.039604014967931,2094,2026-05-12 19:05:00+08:00,open,1.3402195894223556,2520.911928,2520.911928,2225.0,2225.0,-8029.826611606739,14000.0,5970.173388393261,447.98508669419664,352.0,16,815.9850866941966,899.9850866941966,704.0,36,1639.9850866941965,4330.188301699065,4330.188301699065,zscore_exit,475
2196,2026-05-12 20:47:00+08:00,2.2140383432737947,2197,2026-05-12 20:48:00+08:00,open,1,1.5248529979135552,short_tsm_long_qff,2516.91464,2516.91464,2215.0,2215.0,True,-440.0228686341147,500.0,5,4.514672686230249,1000000.0,1107500.0,100.0,553.75,440.0,20,1013.75,2707,2026-05-13 09:02:00+08:00,-1.045345992281511,2708,2026-05-13 09:03:00+08:00,open,-0.8641624425923796,2503.36884,2503.36884,2210.0,2210.0,5960.4617739439345,-2500.0,3460.4617739439345,550.769769113028,440.0,20,1010.769769113028,1104.519769113028,880.0,40,2024.519769113028,1435.9420048309066,1435.9420048309066,zscore_exit,735
2754,2026-05-13 09:49:00+08:00,-2.32190804628317,2755,2026-05-13 09:50:00+08:00,open,1,-2.033922585283104,long_tsm_short_qff,2511.84725,2511.84725,2235.0,2235.0,True,355.913362168022,-400.0,-4,4.47427293064877,1000000.0,894000.0,100.0,447.0,352.0,16,815.0,3177,2026-05-13 20:31:00+08:00,1.104368446293411,3178,2026-05-13 20:32:00+08:00,open,0.8994043473687594,2532.54847,2532.54847,2220.0,2220.0,7367.840811180034,6000.0,13367.840811180035,450.6839204055901,352.0,16,818.68392040559,897.68392040559,704.0,32,1633.68392040559,11734.156890774444,11734.156890774444,zscore_exit,642
3243,2026-05-13 21:37:00+08:00,-2.0819079686978634,3244,2026-05-13 21:38:00+08:00,open,1,-2.3116563134737262,long_tsm_short_qff,2491.9458839999998,2491.9458839999998,2215.0,2215.0,True,444.4318021153304,-500.0,-5,4.514672686230249,1000000.0,1107500.0,100.0,553.75,440.0,20,1013.75,3434,2026-05-14 00:48:00+08:00,1.0374742721255386,3435,2026-05-14 00:49:00+08:00,open,1.050034752567943,2539.146868,2539.146868,2230.0,2230.0,20977.618380736905,-7500.0,13477.618380736905,564.2388091903684,440.0,20,1024.2388091903686,1117.9888091903686,880.0,40,2037.9888091903686,11439.629571546537,11439.629571546537,zscore_exit,191
3897,2026-05-14 12:15:00+08:00,-2.459936731038552,3898,2026-05-14 12:16:00+08:00,open,1,-2.4978304572430727,long_tsm_short_qff,2529.59955,2529.59955,2255.0,2255.0,True,356.5781785500397,-400.0,-4,4.434589800443459,1000000.0,902000.0,100.0,451.0,352.0,20,823.0,4237,2026-05-14 21:34:00+08:00,1.221987250694494,4238,2026-05-14 21:35:00+08:00,open,2.171216862733248,2560.6591200000003,2560.6591200000003,2265.0,2265.0,11075.16489714758,-4000.0,7075.164897147581,456.5375824485738,352.0,20,828.5375824485739,907.5375824485739,704.0,40,1651.5375824485739,5423.627314699007,5423.627314699007,zscore_exit,559
4240,2026-05-14 21:37:00+08:00,3.260134702507717,4241,2026-05-14 21:38:00+08:00,open,1,3.602767298924691,short_tsm_long_qff,2576.730638,2576.730638,2270.0,2270.0,True,-352.38452425309345,400.0,4,4.405286343612334,1000000.0,908000.0,100.0,454.0,352.0,20,826.0,4764,2026-05-15 10:05:00+08:00,-1.0919783652183876,4765,2026-05-15 10:06:00+08:00,open,-0.6097570379447144,2607.510828,2607.510828,2280.0,2280.0,-10846.462609569806,4000.0,-6846.462609569806,459.42323130478485,352.0,20,831.4232313047848,913.4232313047848,704.0,40,1657.4232313047848,-8503.885840874591,-8503.885840874591,zscore_exit,748
4779,2026-05-15 10:20:00+08:00,-2.198332323039863,4780,2026-05-15 10:21:00+08:00,open,1,-1.9726571629588496,long_tsm_short_qff,2600.295702,2600.295702,2285.0,2285.0,True,351.49848507498706,-400.0,-4,4.3763676148796495,1000000.0,914000.0,100.0,457.0,352.0,20,829.0,4985,2026-05-15 17:25:00+08:00,1.2515450739917913,4986,2026-05-15 17:26:00+08:00,open,1.9854911893630145,2557.072,2557.072,2230.0,2230.0,-15193.06577233261,22000.0,6806.934227667391,449.4034671138337,352.0,16,817.4034671138337,906.4034671138337,704.0,36,1646.4034671138338,5160.530760553556,5160.530760553556,zscore_exit,425
5684,2026-05-18 08:48:00+08:00,-2.1416393343881297,5685,2026-05-18 08:49:00+08:00,open,1,-2.378808560294245,long_tsm_short_qff,2543.510916,2543.510916,2225.0,2225.0,False,349.9100375003069,-400.0,-4,4.49438202247191,1000000.0,890000.0,100.0,445.0,352.0,16,813.0,6016,2026-05-18 17:59:00+08:00,1.0886819447049605,6017,2026-05-18 18:00:00+08:00,open,0.989049265681352,2587.900752,2587.900752,2255.0,2255.0,15532.449179392413,-12000.0,3532.4491793924135,452.76622458969626,352.0,20,824.7662245896963,897.7662245896963,704.0,36,1637.7662245896963,1894.6829548027172,1894.6829548027172,zscore_exit,551
6226,2026-05-18 21:29:00+08:00,-2.515272298261153,6227,2026-05-18 21:30:00+08:00,open,1,-2.943872656451136,long_tsm_short_qff,2577.150648,2577.150648,2270.0,2270.0,False,352.3270945393333,-400.0,-4,4.405286343612334,1000000.0,908000.0,100.0,454.0,352.0,20,826.0,6680,2026-05-19 08:47:00+08:00,1.0231700691162198,6681,2026-05-19 08:48:00+08:00,open,0.9842485308946756,2515.707402,2515.707402,2230.0,2230.0,-21648.12034224545,16000.0,-5648.120342245449,443.17593982887723,352.0,16,811.1759398288773,897.1759398288773,704.0,36,1637.1759398288773,-7285.296282074327,-7285.296282074327,zscore_exit,678
6777,2026-05-19 10:24:00+08:00,2.154560965298496,6778,2026-05-19 10:25:00+08:00,open,1,1.6034597755729618,short_tsm_long_qff,2491.5614699999996,2491.5614699999996,2210.0,2210.0,False,-443.4969850452857,500.0,5,4.524886877828054,1000000.0,1105000.0,100.0,552.5,440.0,20,1012.5,7267,2026-05-19 22:13:00+08:00,-1.081466799469992,7268,2026-05-19 22:14:00+08:00,open,-1.8401952915437725,2463.4244160000003,2463.4244160000003,2190.0,2190.0,12478.69861705611,-10000.0,2478.6986170561104,546.2606506914719,440.0,20,1006.2606506914719,1098.760650691472,880.0,40,2018.760650691472,459.93796636463844,459.93796636463844,zscore_exit,709
7270,2026-05-19 22:16:00+08:00,-2.160552954911628,7271,2026-05-19 22:17:00+08:00,open,1,-2.274813233336348,long_tsm_short_qff,2450.9824259999996,2450.9824259999996,2185.0,2185.0,False,445.73963012168906,-500.0,-5,4.576659038901602,1000000.0,1092500.0,100.0,546.25,440.0,20,1006.25,7366,2026-05-19 23:52:00+08:00,1.1010201729304103,7367,2026-05-19 23:53:00+08:00,open,0.4150388051646277,2490.754132,2490.754132,2200.0,2200.0,17727.82552174876,-7500.0,10227.82552174876,555.1139127608743,440.0,20,1015.1139127608743,1101.3639127608744,880.0,40,2021.3639127608744,8206.461608987885,8206.461608987885,zscore_exit,96
7381,2026-05-20 00:07:00+08:00,2.344348600292053,7382,2026-05-20 00:08:00+08:00,open,1,2.1318090470421733,short_tsm_long_qff,2498.993568,2498.993568,2200.0,2200.0,True,-440.1772033692566,500.0,5,4.545454545454546,1000000.0,1100000.0,100.0,550.0,440.0,20,1010.0,7935,2026-05-20 13:05:00+08:00,-1.2357769307977018,7936,2026-05-20 13:06:00+08:00,open,0.3139521363395817,2495.2023120000003,2495.2023120000003,2200.0,2200.0,1668.8244633367033,0.0,1668.8244633367033,549.1655877683316,440.0,20,1009.1655877683316,1099.1655877683315,880.0,40,2019.1655877683315,-350.34112443162826,-350.34112443162826,zscore_exit,778
7976,2026-05-20 17:25:00+08:00,-5.7414476730037896,7977,2026-05-20 17:26:00+08:00,open,1,-5.4953625055115705,long_tsm_short_qff,2508.5781,2508.5781,2230.0,2230.0,False,355.57991995545206,-400.0,-4,4.484304932735426,1000000.0,892000.0,100.0,446.0000000000001,352.0,16,814.0000000000001,8444,2026-05-21 01:13:00+08:00,1.0075388519745203,8445,2026-05-21 01:14:00+08:00,open,1.081489110243703,2543.0993900000003,2543.0993900000003,2250.0,2250.0,12275.077534958995,-8000.0,4275.077534958995,452.13753876747955,352.0,20,824.1375387674796,898.1375387674797,704.0,36,1638.1375387674798,2636.939996191515,2636.939996191515,zscore_exit,468
8639,2026-05-21 04:28:00+08:00,2.282945109503244,8640,2026-05-21 04:29:00+08:00,open,1,2.20385449277893,short_tsm_long_qff,2552.2943880000003,2552.2943880000003,2260.0,2260.0,False,-354.1911169222067,400.0,4,4.424778761061947,1000000.0,904000.0,100.0,452.0,352.0,20,824.0,8810,2026-05-21 11:03:00+08:00,-1.1739979621702137,8811,2026-05-21 11:04:00+08:00,open,-0.4172056146036398,2554.602676,2554.602676,2265.0,2265.0,-817.5751048980276,2000.0,1182.4248951019724,452.40878755244904,352.0,20,824.408787552449,904.408787552449,704.0,40,1648.408787552449,-465.98389245047656,-465.98389245047656,zscore_exit,395
8952,2026-05-21 13:25:00+08:00,2.1076249873803268,8953,2026-05-21 13:26:00+08:00,open,1,1.9955061373576135,short_tsm_long_qff,2561.149104,2561.149104,2255.0,2255.0,False,-352.185664860846,400.0,4,4.434589800443459,1000000.0,902000.0,100.0,451.0,352.0,20,823.0,8974,2026-05-21 17:26:00+08:00,-1.205184965061184,8975,2026-05-21 17:27:00+08:00,open,-1.0784908137564602,2542.7710939999997,2542.7710939999997,2260.0,2260.0,6472.471670669403,2000.0,8472.471670669402,447.76376416466536,352.0,20,819.7637641646654,898.7637641646654,704.0,40,1642.7637641646654,6829.7079065047365,6829.7079065047365,zscore_exit,241
9055,2026-05-21 18:47:00+08:00,-2.0623204725188318,9056,2026-05-21 18:48:00+08:00,open,1,-2.1195457432941622,long_tsm_short_qff,2523.8403,2523.8403,2250.0,2250.0,True,356.5994250904069,-400.0,-4,4.444444444444445,1000000.0,900000.0,100.0,450.0,352.0,20,822.0,9218,2026-05-21 21:30:00+08:00,1.257227919119183,9219,2026-05-21 21:31:00+08:00,open,1.0534337256361566,2548.9874879999998,2548.9874879999998,2250.0,2250.0,8967.47278344035,-0.0,8967.47278344035,454.4837363917202,352.0,20,826.4837363917202,904.4837363917202,704.0,40,1648.4837363917202,7318.989047048629,7318.989047048629,zscore_exit,163
9222,2026-05-21 21:34:00+08:00,3.2604142431450374,9223,2026-05-21 21:35:00+08:00,open,1,2.325291743434377,short_tsm_long_qff,2572.720488,2572.720488,2255.0,2255.0,False,-350.60163131098756,400.0,4,4.434589800443459,1000000.0,902000.0,100.0,451.0,352.0,20,823.0,9881,2026-05-22 12:17:00+08:00,-1.001115333750961,9882,2026-05-22 12:18:00+08:00,open,-0.6021516881349172,2584.381824,2584.381824,2275.0,2275.0,-4088.4834248655884,8000.0,3911.5165751344116,453.0442417124327,352.0,20,825.0442417124327,904.0442417124327,704.0,40,1648.0442417124327,2263.472333421979,2263.472333421979,zscore_exit,883
10673,2026-05-25 08:52:00+08:00,2.163656576236892,10674,2026-05-25 08:53:00+08:00,open,1,1.9359972201842568,short_tsm_long_qff,2609.20764,2609.20764,2300.0,2300.0,False,-352.5974651829549,400.0,4,4.3478260869565215,1000000.0,920000.0,100.0,460.0,352.0,20,832.0,10698,2026-05-25 09:17:00+08:00,-1.5730263167700642,10699,2026-05-25 09:18:00+08:00,open,-1.005173123142287,2613.10488,2613.10488,2330.0,2330.0,-1374.1569452095428,12000.0,10625.843054790457,460.6870784726048,352.0,20,832.6870784726048,920.6870784726048,704.0,40,1664.6870784726048,8961.155976317852,8961.155976317852,zscore_exit,25
10716,2026-05-25 09:35:00+08:00,-2.628293210727717,10717,2026-05-25 09:36:00+08:00,open,1,-1.823279522462603,long_tsm_short_qff,2610.4591499999997,2610.4591499999997,2335.0,2335.0,False,357.79146362048994,-400.0,-4,4.282655246252677,1000000.0,934000.0,100.0,467.0,352.0,20,839.0,10850,2026-05-25 11:49:00+08:00,1.45421736724358,10851,2026-05-25 11:50:00+08:00,open,0.7650442812595869,2603.11683,2603.11683,2310.0,2310.0,-2627.0194191699043,10000.0,7372.980580830095,465.686490290415,352.0,20,837.686490290415,932.686490290415,704.0,40,1676.686490290415,5696.294090539681,5696.294090539681,zscore_exit,134
10880,2026-05-25 12:19:00+08:00,-2.0437348249835536,10881,2026-05-25 12:20:00+08:00,open,1,-1.968713900133972,long_tsm_short_qff,2598.7179480000004,2598.7179480000004,2325.0,2325.0,True,357.8687716824896,-400.0,-4,4.301075268817204,1000000.0,930000.0,100.0,465.0,352.0,20,837.0,11585,2026-05-26 03:43:00+08:00,1.989187241806725,11586,2026-05-26 03:44:00+08:00,open,1.6372681333926955,2638.0119999999997,2638.0119999999997,2360.0,2360.0,14062.114123667616,-14000.0,62.114123667615786,472.0310570618338,352.0,20,844.0310570618337,937.0310570618337,704.0,40,1681.0310570618337,-1618.916933394218,-1618.916933394218,zscore_exit,924
11595,2026-05-26 03:53:00+08:00,2.9490148876571056,11596,2026-05-26 03:54:00+08:00,open,1,0.99656872511074,short_tsm_long_qff,2636.1205,2636.1205,2355.0,2355.0,False,-357.34330050542076,400.0,4,4.246284501061571,1000000.0,942000.0,100.0,471.0,352.0,20,843.0,11624,2026-05-26 04:22:00+08:00,-1.9020241458298632,11625,2026-05-26 04:23:00+08:00,open,-1.82122900561659,2625.04864,2625.04864,2360.0,2360.0,3956.454995133953,2000.0,5956.454995133953,469.02177250243307,352.0,20,841.0217725024331,940.0217725024331,704.0,40,1684.0217725024331,4272.43322263152,4272.43322263152,zscore_exit,29
11641,2026-05-26 04:39:00+08:00,-2.002051362865568,11642,2026-05-26 04:40:00+08:00,open,1,-1.667433072801239,long_tsm_short_qff,2624.728656,2624.728656,2360.0,2360.0,True,359.6562249747465,-400.0,-4,4.237288135593221,1000000.0,944000.0,100.0,472.0,352.0,20,844.0,11657,2026-05-26 04:55:00+08:00,1.0626695083420774,11658,2026-05-26 04:56:00+08:00,open,1.0849932395097284,2629.20928,2629.20928,2355.0,2355.0,1611.4843133713428,2000.0,3611.484313371343,472.8057421566857,352.0,20,844.8057421566857,944.8057421566857,704.0,40,1688.8057421566857,1922.6785712146573,1922.6785712146573,zscore_exit,16
11667,2026-05-26 08:49:00+08:00,-2.1045462488848097,11668,2026-05-26 08:50:00+08:00,open,1,-2.657151972003867,long_tsm_short_qff,2607.066,2607.066,2345.0,2345.0,False,359.79142837197065,-400.0,-4,4.264392324093817,1000000.0,938000.0,100.0,469.0,352.0,20,841.0,11679,2026-05-26 09:01:00+08:00,2.068450674959013,11680,2026-05-26 09:02:00+08:00,open,2.119618300685437,2615.914472,2615.914472,2345.0,2345.0,3183.6043797894345,-0.0,3183.6043797894345,470.5918021898948,352.0,20,842.5918021898948,939.5918021898948,704.0,40,1683.5918021898947,1500.0125775995398,1500.0125775995398,zscore_exit,12
11683,2026-05-26 09:05:00+08:00,2.559364574543841,11684,2026-05-26 09:06:00+08:00,open,1,0.7716157531224993,short_tsm_long_qff,2606.353256,2606.353256,2335.0,2335.0,False,-358.35510702544616,400.0,4,4.282655246252677,1000000.0,934000.0,100.0,467.0,352.0,20,839.0,12133,2026-05-26 20:14:00+08:00,-1.1394932011576662,12134,2026-05-26 20:15:00+08:00,open,-1.2083861588507725,2593.3474380000002,2593.3474380000002,2320.0,2320.0,4660.701301343343,-6000.0,-1339.2986986566566,464.6696493493283,352.0,20,836.6696493493283,931.6696493493283,704.0,40,1675.6696493493282,-3014.968348005985,-3014.968348005985,zscore_exit,669
