entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_crossing_cost_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_crossing_cost_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,crossing_cost_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
390,2026-06-10 21:30:00+08:00,2.7288708311592544,391,2026-06-10 21:31:00+08:00,open,1,2.840134686449728,short_tsm_long_qff,123.01396499999998,123.01396499999998,121.0,121.0,False,-7869.025276926893,8000.0,4,4.132231404958677,1000000.0,968000.0,2000.0,242.0,352.0,20,0.0,614.0,416,2026-06-10 21:56:00+08:00,-0.3837475190497985,417,2026-06-10 21:57:00+08:00,open,-0.1897767149422195,121.56135300000001,121.56135300000001,121.5,121.5,11430.64054556712,4000.0,15430.64054556712,239.1423398636082,352.0,20,0.0,611.1423398636082,481.1423398636082,704.0,40,0.0,1225.1423398636082,14205.49820570351,14205.49820570351,zscore_exit,26
510,2026-06-10 23:30:00+08:00,2.0830484523197788,511,2026-06-10 23:31:00+08:00,open,1,1.3260687430853206,short_tsm_long_qff,120.995184,120.995184,120.0,120.0,False,-7934.200091798695,8000.0,4,4.166666666666667,1000000.0,960000.0,2000.0,240.0,352.0,20,0.0,612.0,780,2026-06-11 21:30:00+08:00,-2.12398274776402,781,2026-06-11 21:31:00+08:00,open,-2.3212589685650267,126.20369999999998,126.20369999999998,128.0,128.0,-41325.408125334885,64000.0,22674.591874665115,250.33135203133375,352.0,20,0.0,622.3313520313337,490.3313520313337,704.0,40,0.0,1234.3313520313336,21440.26052263378,21440.26052263378,zscore_exit,1320
782,2026-06-11 21:32:00+08:00,-2.3835340009366064,783,2026-06-11 21:33:00+08:00,open,1,-1.6294173744895195,long_tsm_short_qff,125.76088,125.76088,128.0,128.0,False,8142.436662338877,-8000.0,-4,3.90625,1000000.0,1024000.0,2000.0,256.0,352.0,20,0.0,628.0,1573,2026-06-15 21:43:00+08:00,0.3458538951468456,1574,2026-06-15 21:44:00+08:00,open,-0.1039799669339444,145.23419900000002,145.23419900000002,147.0,147.0,158560.26656302038,-152000.0,6560.266563020385,295.6400666407551,352.0,24,0.0,671.6400666407551,551.6400666407551,704.0,44,0.0,1299.640066640755,5260.626496379629,5260.626496379629,zscore_exit,5771
1950,2026-06-16 21:30:00+08:00,6.478360002767108,1951,2026-06-16 21:31:00+08:00,open,1,4.577464595194567,short_tsm_long_qff,141.3671972,141.3671972,141.0,141.0,False,-7979.22023172148,8000.0,4,3.5460992907801416,1000000.0,1128000.0,2000.0,282.0,352.0,24,0.0,658.0,2340,2026-06-17 21:30:00+08:00,-1.4539853959947422,2341,2026-06-17 21:31:00+08:00,open,-1.4572779527734354,140.169792,140.169792,143.0,143.0,9554.359797408437,16000.0,25554.359797408437,279.6114100506479,352.0,24,0.0,655.6114100506479,561.6114100506479,704.0,48,0.0,1313.611410050648,24240.748387357788,24240.748387357788,zscore_exit,1440
2359,2026-06-17 21:49:00+08:00,-2.0444247344601227,2360,2026-06-17 21:50:00+08:00,open,1,-1.5504893514987552,long_tsm_short_qff,139.975856,139.975856,143.5,143.5,False,6151.060794370138,-6000.0,-3,3.484320557491289,1000000.0,861000.0,2000.0,215.25,264.0,18,0.0,497.25,3101,2026-06-19 03:41:00+08:00,0.3089871029444274,3102,2026-06-19 03:42:00+08:00,open,0.3431046055166766,151.59872000000001,151.59872000000001,155.5,155.5,71492.94306869622,-72000.0,-507.05693130378495,233.12323576717404,264.0,18,0.0,515.123235767174,448.37323576717404,528.0,36,0.0,1012.373235767174,-1519.430167070959,-1519.430167070959,zscore_exit,1792
3126,2026-06-22 21:36:00+08:00,2.254559065529141,3127,2026-06-22 21:37:00+08:00,open,1,2.02866581311627,short_tsm_long_qff,177.08121599999998,177.08121599999998,179.0,179.0,False,-6065.013694055501,6000.0,3,2.793296089385475,1000000.0,1074000.0,2000.0,268.5,264.0,21,0.0,553.5,3388,2026-06-23 01:58:00+08:00,-0.3179462403958698,3389,2026-06-23 01:59:00+08:00,open,-0.3122459164219577,174.12725,174.12725,179.5,179.5,17915.84424177423,3000.0,20915.84424177423,264.0210389395565,264.0,21,0.0,549.0210389395565,532.5210389395565,528.0,42,0.0,1102.5210389395565,19813.323202834672,19813.323202834672,zscore_exit,262
3510,2026-06-23 21:30:00+08:00,2.794238342068315,3511,2026-06-23 21:31:00+08:00,open,1,2.595478187990992,short_tsm_long_qff,166.331376,166.331376,168.5,168.5,False,-6078.227838384503,6000.0,3,2.9673590504451037,1000000.0,1011000.0,2000.0,252.75000000000006,264.0,21,0.0,537.75,3619,2026-06-23 23:19:00+08:00,-0.429445626530402,3620,2026-06-23 23:20:00+08:00,open,0.0725342814419063,165.451299,165.451299,170.5,170.5,5349.308521321918,12000.0,17349.308521321916,251.41267286966956,264.0,21,0.0,536.4126728696696,504.1626728696696,528.0,42,0.0,1074.1626728696697,16275.145848452246,16275.145848452246,zscore_exit,109
3900,2026-06-24 21:30:00+08:00,2.7242892882437912,3901,2026-06-24 21:31:00+08:00,open,1,2.459640346373261,short_tsm_long_qff,172.207755,172.207755,174.0,174.0,False,-6062.44474878614,6000.0,3,2.8735632183908044,1000000.0,1044000.0,2000.0,261.00000000000006,264.0,21,0.0,546.0,3913,2026-06-24 21:43:00+08:00,-0.5991673514812353,3914,2026-06-24 21:44:00+08:00,open,-0.2197946807162994,167.9046,167.9046,172.0,172.0,26087.639432962846,-12000.0,14087.639432962846,254.4780901417593,264.0,21,0.0,539.4780901417594,515.4780901417594,528.0,42,0.0,1085.4780901417594,13002.161342821086,13002.161342821086,zscore_exit,13
3923,2026-06-24 21:53:00+08:00,2.016432523862749,3924,2026-06-24 21:54:00+08:00,open,1,1.1766139680627148,short_tsm_long_qff,173.33862000000002,173.33862000000002,176.0,176.0,False,-6092.121882590272,6000.0,3,2.840909090909091,1000000.0,1056000.0,2000.0,264.0,264.0,21,0.0,549.0,3932,2026-06-24 22:02:00+08:00,-0.3058189722338094,3933,2026-06-24 22:03:00+08:00,open,-0.0662595038956952,171.119256,171.119256,175.5,175.5,13520.635989833156,-3000.0,10520.635989833156,260.6198410025417,264.0,21,0.0,545.6198410025418,524.6198410025418,528.0,42,0.0,1094.6198410025418,9426.016148830615,9426.016148830615,zscore_exit,9
3941,2026-06-24 22:11:00+08:00,2.240920201541397,3942,2026-06-24 22:12:00+08:00,open,1,1.553636648544929,short_tsm_long_qff,173.96774499999998,173.96774499999998,177.0,177.0,False,-6104.579903590749,6000.0,3,2.824858757062147,1000000.0,1062000.0,2000.0,265.5,264.0,21,0.0,550.5,4180,2026-06-25 02:10:00+08:00,-0.4167879164730668,4181,2026-06-25 02:11:00+08:00,open,-0.5633455642547942,175.995793,175.995793,180.5,180.5,-12380.38106431749,21000.0,8619.61893568251,268.59509526607934,264.0,21,0.0,553.5950952660794,534.0950952660794,528.0,42,0.0,1104.0950952660794,7515.523840416431,7515.523840416431,zscore_exit,239
