basket_id,direction,tranches_filled,entry_first_time,entry_last_time,ref_spread,std_ref,vwa_entry_spread,qff_contracts,gross_notional_twd,exit_time,exit_reason,exit_spread,mae_spread,mae_k,gross_pnl_twd,total_fee_twd,net_pnl_twd,holding_minutes
0,short_tsm_long_qff,1,2026-01-15 01:10:00+08:00,2026-01-15 01:10:00+08:00,1.5998125173034998,0.7463119084273263,1.5998125173034998,3,325800.0,2026-01-17 04:49:00+08:00,zscore_exit,-1.1105782431900937,0.8379575028599782,1.1227979795013228,9546.29997192787,4261.040878450136,5285.2590934777345,3099
1,long_tsm_short_qff,3,2026-01-20 22:36:00+08:00,2026-01-21 00:29:00+08:00,-1.241661048670308,0.8367930011471706,-2.995535400261996,-6,841600.0,2026-01-23 22:32:00+08:00,zscore_exit,0.4107063809846362,4.016307123143376,4.799642346001182,27250.6222815785,8781.740598346221,18468.881683232277,4316
2,short_tsm_long_qff,2,2026-01-28 22:34:00+08:00,2026-01-29 23:01:00+08:00,0.8924545686358318,1.4548122009466236,2.255275777867815,5,679000.0,2026-02-05 23:32:00+08:00,zscore_exit,1.1080657026972447,4.246939184987006,2.919235336508444,7362.698009478394,7146.245812670248,216.45219680814625,11578
3,long_tsm_short_qff,1,2026-02-07 03:20:00+08:00,2026-02-07 03:20:00+08:00,0.7068432406141155,0.7778487149552725,0.7068432406141155,-3,378600.0,2026-03-05 01:10:00+08:00,zscore_exit,1.5649287794229652,2.0231969222348054,2.6010159602193883,3174.8965877546716,4329.018174363312,-1154.1215866086404,37310
4,short_tsm_long_qff,1,2026-03-06 22:58:00+08:00,2026-03-06 22:58:00+08:00,2.088800096887886,0.8564905242728463,2.088800096887886,3,361800.0,2026-03-09 21:50:00+08:00,zscore_exit,0.5877308590151812,0.3773836082617068,0.44061620948124613,5327.998643557825,4283.940766278356,1044.0578772794688,4252
5,long_tsm_short_qff,1,2026-03-11 03:23:00+08:00,2026-03-11 03:23:00+08:00,0.5765253411272196,0.7209042945212761,0.5765253411272196,-3,362400.0,2026-03-12 22:30:00+08:00,zscore_exit,1.878539677820352,0.5913412534170186,0.8202770574556014,4608.005619429393,4336.0557976932905,271.9498217361024,2587
6,long_tsm_short_qff,1,2026-03-16 21:49:00+08:00,2026-03-16 21:49:00+08:00,0.0115855357344793,0.48639678481795645,0.011585535734479301,-3,365400.0,2026-03-20 21:31:00+08:00,zscore_exit,1.2275853044240912,0.9202140298063163,1.8918999025676628,4228.204180481154,4338.647272043246,-110.44309156209147,5742
7,short_tsm_long_qff,2,2026-03-20 21:33:00+08:00,2026-03-21 03:42:00+08:00,0.9617941490798336,0.4488116982883919,1.4255812202344669,6,685200.0,2026-03-26 00:48:00+08:00,zscore_exit,-0.0144144841900384,0.9341178752356107,2.081313563790792,10223.472027460964,8575.63133542749,1647.8406920334746,7395
8,long_tsm_short_qff,2,2026-03-30 21:33:00+08:00,2026-03-31 22:17:00+08:00,-0.2613024879578473,0.47985808918676476,-0.7138370468240501,-6,685800.0,2026-04-02 22:49:00+08:00,zscore_exit,0.7063738510148545,1.291708404176008,2.6918550156466456,9398.308635119482,8689.307337426491,709.0012976929902,4396
9,long_tsm_short_qff,2,2026-04-17 00:10:00+08:00,2026-04-17 21:50:00+08:00,-2.1964031827680017,0.5706728168137456,-2.753344585320466,-4,574400.0,2026-04-20 23:33:00+08:00,zscore_exit,-0.578629027431774,1.833274963391287,3.2124799173492535,13870.120775020845,5825.4819278449395,8044.6388471759055,5723
