n,k,exit_mode,be_offset_k,baskets,fills,win_rate,net_twd,return_pct,sharpe,maxdd_pct,worst_basket_twd,median_basket_twd,total_fee_twd,max_gross_notional_twd,exposure_pct
1,,basket,,59,1:59,0.831,422107,21.11,3.48,-2.95,-11922,5927,389293,1112000,69.5
2,0.5,basket,0.0,59,1:23/2:36,0.847,345030,17.25,3.22,-2.42,-12968,5168,324046,1330000,69.5
2,0.5,breakeven,0.0,100,1:35/2:65,0.65,141500,7.07,1.55,-4.51,-12968,1514,548571,1330000,63.0
2,0.5,breakeven,0.5,73,1:29/2:44,0.836,323948,16.2,3.26,-2.66,-12968,3997,396388,1330000,65.5
2,0.75,basket,0.0,59,1:29/2:30,0.915,333627,16.68,3.3,-2.6,-11823,4214,306719,1328000,69.5
2,0.75,breakeven,0.0,87,1:42/2:45,0.724,216214,10.81,2.64,-3.58,-10510,2818,432663,1328000,58.9
2,0.75,breakeven,0.5,68,1:33/2:35,0.853,281028,14.05,3.1,-2.62,-11823,3492,354380,1328000,61.7
2,1.0,basket,0.0,59,1:35/2:24,0.898,318105,15.91,3.42,-2.29,-10232,3997,289299,1322000,69.5
2,1.0,breakeven,0.0,75,1:47/2:28,0.707,190969,9.55,2.48,-3.38,-10510,2818,354409,1322000,58.9
2,1.0,breakeven,0.5,64,1:39/2:25,0.812,216207,10.81,2.72,-2.83,-10232,3433,315185,1322000,61.3
2,1.5,basket,0.0,59,1:44/2:15,0.898,282526,14.13,3.43,-2.3,-6097,3699,254750,1324000,69.5
2,1.5,breakeven,0.0,64,1:50/2:14,0.844,228285,11.41,3.13,-2.47,-5885,3272,261949,1324000,63.5
2,1.5,breakeven,0.5,62,1:48/2:14,0.871,245164,12.26,3.29,-2.3,-6243,3659,256123,1324000,67.0
2,2.0,basket,0.0,59,1:46/2:13,0.898,291955,14.6,3.59,-2.29,-7507,3723,247508,1184000,69.5
2,2.0,breakeven,0.0,66,1:53/2:13,0.803,223029,11.15,3.14,-2.67,-8702,3353,269052,1184000,63.5
2,2.0,breakeven,0.5,63,1:50/2:13,0.825,234050,11.7,3.1,-2.34,-7507,3557,260464,1184000,66.1
3,0.5,basket,0.0,59,1:23/2:13/3:23,0.898,282988,14.15,3.37,-2.26,-7696,3732,258868,1133400,69.5
3,0.5,breakeven,0.0,107,1:37/2:42/3:28,0.645,107277,5.36,1.64,-4.14,-7525,1044,407955,1093800,62.0
3,0.5,breakeven,0.5,74,1:29/2:23/3:22,0.824,199219,9.96,2.79,-3.09,-7696,2194,306478,1093800,64.7
3,0.75,basket,0.0,59,1:29/2:15/3:15,0.915,267758,13.39,3.65,-1.95,-5056,3177,232860,1089600,69.5
3,0.75,breakeven,0.0,91,1:45/2:30/3:16,0.725,144275,7.21,2.56,-3.01,-6834,1485,309623,1089600,56.7
3,0.75,breakeven,0.5,71,1:35/2:21/3:15,0.845,230699,11.53,3.56,-2.31,-6832,2529,264519,1089600,59.6
3,1.0,basket,0.0,59,1:35/2:11/3:13,0.932,254885,12.74,3.7,-1.93,-4965,2808,215422,1072000,69.5
3,1.0,breakeven,0.0,78,1:48/2:19/3:11,0.705,112298,5.61,2.22,-2.76,-6859,1455,254480,1072000,56.2
3,1.0,breakeven,0.5,66,1:40/2:14/3:12,0.833,190320,9.52,3.29,-2.2,-4369,2110,232643,1072000,59.0
3,1.5,basket,0.0,59,1:44/2:11/3:4,0.932,213317,10.67,3.7,-1.75,-2868,2221,170730,984800,69.5
3,1.5,breakeven,0.0,64,1:50/2:10/3:4,0.844,156055,7.8,3.35,-1.85,-5860,1794,173537,984800,63.1
3,1.5,breakeven,0.5,62,1:48/2:10/3:4,0.903,173015,8.65,3.65,-1.58,-4682,1947,170647,984800,66.8
3,2.0,basket,0.0,59,1:46/2:10/3:3,0.932,212191,10.61,3.78,-1.75,-3063,1999,161996,984800,69.5
3,2.0,breakeven,0.0,66,1:53/2:10/3:3,0.803,145433,7.27,3.21,-1.9,-5117,1794,174940,984800,63.2
3,2.0,breakeven,0.5,63,1:50/2:10/3:3,0.841,172131,8.61,3.69,-1.59,-3063,1974,170548,984800,65.3
