lag_minutes,corr,n
-10,-0.007819537588070686,5273
-9,0.008565956434304774,5288
-8,-0.006179522903691828,5303
-7,0.0006106550391164066,5318
-6,0.013825130664232103,5333
-5,0.002125663115295612,5348
-4,-0.01719015684766023,5363
-3,0.006528882509415937,5378
-2,0.006726250797225079,5393
-1,-0.01232666809942375,5408
0,0.3264833256196058,5423
1,0.056085472507635396,5408
2,0.020202382742331826,5393
3,0.023753421690268034,5378
4,0.009095659520885677,5363
5,-0.005553218368227129,5348
6,0.006075983966819782,5333
7,0.001981875022705281,5318
8,0.00508979563992749,5303
9,-0.013362847667562423,5288
10,0.012856774198821423,5273
