lag_minutes,corr,n
-10,-0.00468246571941903,56469
-9,-0.003674223134155498,56618
-8,0.0005795938976993209,56767
-7,-0.0037825832861909125,56916
-6,0.002792810799032762,57065
-5,-0.01061257109434132,57214
-4,-0.004087262224183247,57363
-3,0.01721494918314036,57512
-2,0.013250770708312732,57661
-1,0.023402714237542747,57810
0,0.35470851987012886,57959
1,0.1780039309649075,57810
2,0.046706103254111946,57661
3,0.01616432974836811,57512
4,0.00021194171662595413,57363
5,0.009809463725471548,57214
6,0.009537512924291667,57065
7,0.0026816651966260607,56916
8,0.001633455537504816,56767
9,-0.001715411449633339,56618
10,-0.00027603867344253426,56469
