entry_time,exit_time,direction,net_pnl_twd,entry_min,exit_min,sessions_held,capture_pts,overnight_pts,intraday_pts,exit_at_open,defer_delta_pts,defer_crosses_weekend
2026-01-21 22:32:00+08:00,2026-01-22 22:31:00+08:00,long_tsm_short_qff,22499.538413980972,2,1,2,3.7647016877851542,2.1954030099418955,1.5692986778432587,True,,False
2026-01-29 23:01:00+08:00,2026-02-06 22:32:00+08:00,short_tsm_long_qff,11475.689889750118,31,2,7,2.587966098058623,7.173728808395302,-4.585762710336679,True,,False
2026-04-01 01:02:00+08:00,2026-04-02 22:42:00+08:00,long_tsm_short_qff,8921.480533623733,212,72,3,1.6540621620469815,1.3066061965956344,0.3474559654513468,False,-0.48278706699964785,True
2026-04-29 22:41:00+08:00,2026-04-29 23:49:00+08:00,short_tsm_long_qff,14276.431022823523,71,139,1,2.6116297800458925,-0.0,2.6116297800458925,False,-1.0342062654958732,False
2026-05-06 21:31:00+08:00,2026-05-08 00:03:00+08:00,long_tsm_short_qff,8261.09295832122,1,153,2,3.466252996137026,1.611397362062304,1.8548556340747222,False,-0.19219586662862187,False
2026-05-18 21:58:00+08:00,2026-05-19 21:32:00+08:00,long_tsm_short_qff,14923.61290537495,28,2,2,2.552230961029788,1.2065668959741536,1.3456640650556344,True,,False
2026-05-26 23:18:00+08:00,2026-05-27 03:48:00+08:00,long_tsm_short_qff,14277.08583868082,108,378,1,1.7716549838925721,0.0,1.7716549838925721,False,-2.6120161025820567,False
2026-05-27 21:31:00+08:00,2026-05-29 21:34:00+08:00,long_tsm_short_qff,8813.509795823658,1,4,3,0.9826266906106942,1.0026465643957212,-0.02001987378502701,True,,False
2026-06-03 21:39:00+08:00,2026-06-05 21:33:00+08:00,short_tsm_long_qff,11387.31771478763,9,3,3,1.8420141132481112,1.2187419745767425,0.6232721386713688,True,,False
2026-06-06 03:25:00+08:00,2026-06-11 21:31:00+08:00,short_tsm_long_qff,21075.68163372489,355,1,5,2.2507869336925648,1.611349951125543,0.6394369825670237,True,,False
2026-06-17 22:28:00+08:00,2026-06-22 22:37:00+08:00,long_tsm_short_qff,11329.119887525481,58,67,3,1.4853564472002914,-2.168842283059204,3.654198730259495,False,0.30241183353604695,False
2026-06-26 21:31:00+08:00,2026-06-26 23:03:00+08:00,short_tsm_long_qff,17395.472110381474,1,93,1,1.5247833834915014,-0.0,1.5247833834915014,False,1.078352233705897,True
2026-07-07 21:31:00+08:00,2026-07-08 21:33:00+08:00,short_tsm_long_qff,13720.445918811467,1,3,2,1.7236113605287553,1.0756026923964117,0.6480086681323439,True,,False
2026-07-09 21:38:00+08:00,2026-07-10 03:54:00+08:00,short_tsm_long_qff,6846.503606011852,8,384,1,1.020667654060937,-0.0,1.020667654060937,False,0.16711356671953936,True
2026-07-15 21:36:00+08:00,2026-07-16 21:31:00+08:00,long_tsm_short_qff,18866.673648476062,6,1,2,1.8631524888126467,2.1234801778006935,-0.2603276889880468,True,,False
2026-07-17 21:37:00+08:00,2026-07-18 02:22:00+08:00,short_tsm_long_qff,7840.154103555513,7,292,1,0.8491493166297114,-0.0,0.8491493166297118,False,-2.23508632788917,True
2026-07-20 21:31:00+08:00,2026-07-21 21:31:00+08:00,short_tsm_long_qff,33364.31017854225,1,1,2,3.5452411559606025,2.112611073161669,1.4326300827989338,True,,False
2026-07-28 21:31:00+08:00,2026-07-30 21:49:00+08:00,short_tsm_long_qff,34848.63836736634,1,19,3,3.955909544840338,0.22609127438218457,3.729818270458153,True,,False
2026-08-03 22:43:00+08:00,2026-08-04 21:31:00+08:00,short_tsm_long_qff,28010.70810860978,73,1,2,3.002986526961456,2.3383706622184217,0.6646158647430342,True,,False
2026-08-12 21:32:00+08:00,2026-08-15 03:58:00+08:00,long_tsm_short_qff,12380.874413595895,2,388,3,1.3261883235062302,0.16772128673302816,1.1584670367732017,False,-0.21363398935065714,True
2026-08-24 21:53:00+08:00,2026-08-26 03:59:00+08:00,long_tsm_short_qff,-920.7085228224278,23,389,2,0.4540778630335838,-0.41367936659621196,0.8677572296297957,False,,False
