entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_crossing_cost_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_crossing_cost_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,crossing_cost_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
390,2026-06-10 21:30:00+08:00,2.7288708311592544,391,2026-06-10 21:31:00+08:00,open,1,2.840134686449728,short_tsm_long_qff,123.01396499999998,123.01396499999998,121.0,121.0,False,-7869.025276926893,8000.0,4,4.132231404958677,1000000.0,968000.0,2000.0,242.0,352.0,20,2082.168,2696.168,411,2026-06-10 21:51:00+08:00,-0.0928890143005493,412,2026-06-10 21:52:00+08:00,open,1.0172796193839349,122.28813,122.28813,122.0,122.0,5711.613961878147,8000.0,13711.613961878147,240.57209650953044,352.0,20,2069.882318368,2682.4544148775303,482.5720965095304,704.0,40,4152.050318368,5378.622414877531,8332.991547000616,8332.991547000616,zscore_exit,21
528,2026-06-10 23:48:00+08:00,2.39759583555806,529,2026-06-10 23:49:00+08:00,open,1,1.3500640911019746,short_tsm_long_qff,119.24966400000001,119.24966400000001,118.0,118.0,False,-7916.164862317766,8000.0,4,4.237288135593221,1000000.0,944000.0,2000.0,236.0,352.0,20,2030.5440000000003,2638.5440000000003,768,2026-06-11 03:48:00+08:00,-0.0945537899765255,769,2026-06-11 03:49:00+08:00,open,0.3301176257859554,119.52404999999999,119.52404999999999,119.5,119.5,-2172.0848119117522,12000.0,9827.915188088247,236.54302120297794,352.0,20,2035.2161544304222,2643.7591756334,472.5430212029779,704.0,40,4065.7601544304225,5282.3031756334,4545.612012454847,4545.612012454847,zscore_exit,240
781,2026-06-11 21:31:00+08:00,-2.3212589685650267,782,2026-06-11 21:32:00+08:00,open,1,-2.3835340009366064,long_tsm_short_qff,125.82413999999999,125.82413999999999,128.0,128.0,False,8138.3429284714375,-8000.0,-4,3.90625,1000000.0,1024000.0,2000.0,256.0,352.0,20,2202.6240000000003,2830.6240000000003,1342,2026-06-13 00:22:00+08:00,0.0481428731163148,1343,2026-06-13 00:23:00+08:00,open,0.0984661895969266,136.95618,136.95618,138.0,138.0,90596.35901346122,-80000.0,10596.359013461217,278.64908975336533,352.0,24,2397.4967682379556,3052.145857991321,534.6490897533654,704.0,44,4600.120768237955,5882.769857991321,4713.589155469896,4713.589155469896,zscore_exit,1611
1560,2026-06-15 21:30:00+08:00,-2.889526618355962,1561,2026-06-15 21:31:00+08:00,open,1,-3.4643357364741494,long_tsm_short_qff,142.74482999999998,142.74482999999998,146.0,146.0,False,6136.824710218928,-6000.0,-3,3.4246575342465753,1000000.0,876000.0,2000.0,219.0,264.0,18,1884.276,2385.276,1575,2026-06-15 21:45:00+08:00,1.1785383141576926,1576,2026-06-15 21:46:00+08:00,open,-0.9381944985500308,146.12114400000002,146.12114400000002,148.0,148.0,20719.84718465833,-12000.0,8719.84718465833,224.17996179616455,264.0,18,1928.8443912942,2435.0243530903645,443.17996179616455,528.0,36,3813.1203912942,4820.300353090364,3899.5468315679664,3899.5468315679664,zscore_exit,15
1950,2026-06-16 21:30:00+08:00,6.478360002767108,1951,2026-06-16 21:31:00+08:00,open,1,4.577464595194567,short_tsm_long_qff,141.3671972,141.3671972,141.0,141.0,False,-7979.22023172148,8000.0,4,3.5460992907801416,1000000.0,1128000.0,2000.0,282.0,352.0,24,2426.328,3084.328,2340,2026-06-17 21:30:00+08:00,-1.4539853959947422,2341,2026-06-17 21:31:00+08:00,open,-1.4572779527734354,140.169792,140.169792,143.0,143.0,9554.359797408437,16000.0,25554.359797408437,279.6114100506479,352.0,24,2405.7765720757748,3061.3879821264227,561.6114100506479,704.0,48,4832.104572075775,6145.715982126423,19408.643815282012,19408.643815282012,zscore_exit,1440
2730,2026-06-18 21:30:00+08:00,-2.284230453912875,2731,2026-06-18 21:31:00+08:00,open,1,-2.159262967390069,long_tsm_short_qff,146.68074,146.68074,152.5,152.5,False,6238.037795555163,-6000.0,-3,3.278688524590164,1000000.0,915000.0,2000.0,228.74999999999994,264.0,18,1968.165,2478.915,3081,2026-06-19 03:21:00+08:00,0.0332206629785733,3082,2026-06-19 03:22:00+08:00,open,-0.2564014042646968,150.395622,150.395622,155.0,155.0,23173.574322027664,-15000.0,8173.574322027664,234.54339358050692,264.0,18,2018.0113583666816,2534.5547519471884,463.29339358050686,528.0,36,3986.1763583666816,5013.469751947188,3160.1045700804752,3160.1045700804752,zscore_exit,351
3186,2026-06-22 22:36:00+08:00,2.3722362640652954,3187,2026-06-22 22:37:00+08:00,open,1,2.232069000957981,short_tsm_long_qff,176.876686,176.876686,179.0,179.0,False,-6072.026926148989,6000.0,3,2.793296089385475,1000000.0,1074000.0,2000.0,268.5,264.0,21,2310.1740000000004,2863.6740000000004,3230,2026-06-22 23:20:00+08:00,-0.0675928115416733,3231,2026-06-22 23:21:00+08:00,open,0.6580734364004592,175.045104,175.045104,180.0,180.0,11121.415221449803,6000.0,17121.415221449803,265.71964619463756,264.0,21,2286.2518358586617,2836.971482053299,534.2196461946376,528.0,42,4596.425835858662,5700.6454820533,11420.769739396503,11420.769739396503,zscore_exit,44
3510,2026-06-23 21:30:00+08:00,2.794238342068315,3511,2026-06-23 21:31:00+08:00,open,1,2.595478187990992,short_tsm_long_qff,166.331376,166.331376,168.5,168.5,False,-6078.227838384503,6000.0,3,2.9673590504451037,1000000.0,1011000.0,2000.0,252.75000000000006,264.0,21,2174.6610000000005,2712.4110000000005,3541,2026-06-23 22:01:00+08:00,-0.1109318623604374,3542,2026-06-23 22:02:00+08:00,open,0.8907042246221043,168.46138,168.46138,173.5,173.5,-12946.649608670257,30000.0,17053.350391329743,255.98666240216758,264.0,21,2202.50924330825,2743.4959057104174,508.73666240216767,528.0,42,4377.17024330825,5455.906905710418,11597.443485619326,11597.443485619326,zscore_exit,31
3900,2026-06-24 21:30:00+08:00,2.7242892882437912,3901,2026-06-24 21:31:00+08:00,open,1,2.459640346373261,short_tsm_long_qff,172.207755,172.207755,174.0,174.0,False,-6062.44474878614,6000.0,3,2.8735632183908044,1000000.0,1044000.0,2000.0,261.00000000000006,264.0,21,2245.6440000000007,2791.6440000000007,3913,2026-06-24 21:43:00+08:00,-0.5991673514812353,3914,2026-06-24 21:44:00+08:00,open,-0.2197946807162994,167.9046,167.9046,172.0,172.0,26087.639432962846,-12000.0,14087.639432962846,254.4780901417593,264.0,21,2189.529487579697,2729.0075777214565,515.4780901417594,528.0,42,4435.173487579697,5520.651577721457,8566.987855241388,8566.987855241388,zscore_exit,13
3951,2026-06-24 22:21:00+08:00,2.4812993177748828,3952,2026-06-24 22:22:00+08:00,open,1,2.293568690956189,short_tsm_long_qff,173.25672,173.25672,175.5,175.5,False,-6077.686337361113,6000.0,3,2.849002849002849,1000000.0,1053000.0,2000.0,263.25,264.0,21,2265.003,2813.253,4173,2026-06-25 02:03:00+08:00,-0.1509145185454217,4174,2026-06-25 02:04:00+08:00,open,0.2130218265304038,175.345588,175.345588,179.0,179.0,-12695.484504150778,21000.0,8304.515495849222,266.4238711260376,264.0,21,2292.3109871684283,2843.734858294466,529.6738711260376,528.0,42,4557.313987168429,5656.987858294466,2647.5276375547564,2647.5276375547564,zscore_exit,222
