entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_crossing_cost_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_crossing_cost_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,crossing_cost_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
390,2026-06-10 21:30:00+08:00,2.7288708311592544,391,2026-06-10 21:31:00+08:00,open,1,2.840134686449728,short_tsm_long_qff,123.01396499999998,123.01396499999998,121.0,121.0,False,-7869.025276926893,8000.0,4,4.132231404958677,1000000.0,968000.0,2000.0,242.0,352.0,20,2082.168,2696.168,411,2026-06-10 21:51:00+08:00,-0.0928890143005493,412,2026-06-10 21:52:00+08:00,open,1.0172796193839349,122.28813,122.28813,122.0,122.0,5711.613961878147,8000.0,13711.613961878147,240.57209650953044,352.0,20,2069.882318368,2682.4544148775303,482.5720965095304,704.0,40,4152.050318368,5378.622414877531,8332.991547000616,8332.991547000616,zscore_exit,21
528,2026-06-10 23:48:00+08:00,2.39759583555806,529,2026-06-10 23:49:00+08:00,open,1,1.3500640911019746,short_tsm_long_qff,119.24966400000001,119.24966400000001,118.0,118.0,False,-7916.164862317766,8000.0,4,4.237288135593221,1000000.0,944000.0,2000.0,236.0,352.0,20,2030.5440000000003,2638.5440000000003,547,2026-06-11 00:07:00+08:00,0.0251861299438758,548,2026-06-11 00:08:00+08:00,open,0.9173412426251438,120.946113,120.946113,120.5,120.5,-13429.36996451401,20000.0,6570.63003548599,239.3573424911285,352.0,20,2059.4305747936696,2670.787917284798,475.3573424911285,704.0,40,4089.97457479367,5309.331917284799,1261.2981182011918,1261.2981182011918,zscore_exit,19
781,2026-06-11 21:31:00+08:00,-2.3212589685650267,782,2026-06-11 21:32:00+08:00,open,1,-2.3835340009366064,long_tsm_short_qff,125.82413999999999,125.82413999999999,128.0,128.0,False,8138.3429284714375,-8000.0,-4,3.90625,1000000.0,1024000.0,2000.0,256.0,352.0,20,2202.6240000000003,2830.6240000000003,1141,2026-06-12 03:31:00+08:00,-0.273983585399045,1142,2026-06-12 03:32:00+08:00,open,-0.6273396149883665,131.33016100000003,131.33016100000003,132.5,132.5,44809.88706936561,-36000.0,8809.887069365614,267.2024717673414,352.0,20,2299.0100670862057,2938.212538853547,523.2024717673414,704.0,40,4501.634067086206,5768.836538853548,3041.050530512066,3041.050530512066,zscore_exit,360
1560,2026-06-15 21:30:00+08:00,-2.889526618355962,1561,2026-06-15 21:31:00+08:00,open,1,-3.4643357364741494,long_tsm_short_qff,142.74482999999998,142.74482999999998,146.0,146.0,False,6136.824710218928,-6000.0,-3,3.4246575342465753,1000000.0,876000.0,2000.0,219.0,264.0,18,1884.276,2385.276,1573,2026-06-15 21:43:00+08:00,0.3458538951468456,1574,2026-06-15 21:44:00+08:00,open,-0.1039799669339444,145.23419900000002,145.23419900000002,147.0,147.0,15276.821192053221,-6000.0,9276.821192053221,222.81920529801334,264.0,18,1917.1364423841067,2421.95564768212,441.81920529801334,528.0,36,3801.4124423841067,4807.23164768212,4469.5895443711015,4469.5895443711015,zscore_exit,13
1950,2026-06-16 21:30:00+08:00,6.478360002767108,1951,2026-06-16 21:31:00+08:00,open,1,4.577464595194567,short_tsm_long_qff,141.3671972,141.3671972,141.0,141.0,False,-7979.22023172148,8000.0,4,3.5460992907801416,1000000.0,1128000.0,2000.0,282.0,352.0,24,2426.328,3084.328,2335,2026-06-17 03:55:00+08:00,0.1965146478587219,2336,2026-06-17 03:56:00+08:00,open,0.15532300799196,136.813186,136.813186,137.5,137.5,36337.45830252614,-28000.0,8337.458302526138,272.9156354243685,352.0,24,2348.1661271912667,2997.081762615635,554.9156354243685,704.0,48,4774.494127191267,6081.4097626156345,2256.0485399105037,2256.0485399105037,zscore_exit,385
2730,2026-06-18 21:30:00+08:00,-2.284230453912875,2731,2026-06-18 21:31:00+08:00,open,1,-2.159262967390069,long_tsm_short_qff,146.68074,146.68074,152.5,152.5,False,6238.037795555163,-6000.0,-3,3.278688524590164,1000000.0,915000.0,2000.0,228.74999999999994,264.0,18,1968.165,2478.915,3041,2026-06-19 02:41:00+08:00,-0.1100273304620165,3042,2026-06-19 02:42:00+08:00,open,-0.4538348158371257,149.94360799999998,149.94360799999998,154.0,154.0,20353.89390590747,-9000.0,11353.89390590747,233.83847347647688,264.0,18,2011.946225791607,2527.784699268084,462.5884734764768,528.0,36,3980.111225791607,5006.699699268083,6347.194206639386,6347.194206639386,zscore_exit,311
3186,2026-06-22 22:36:00+08:00,2.3722362640652954,3187,2026-06-22 22:37:00+08:00,open,1,2.232069000957981,short_tsm_long_qff,176.876686,176.876686,179.0,179.0,False,-6072.026926148989,6000.0,3,2.793296089385475,1000000.0,1074000.0,2000.0,268.5,264.0,21,2310.1740000000004,2863.6740000000004,3229,2026-06-22 23:19:00+08:00,0.2031923902762699,3230,2026-06-22 23:20:00+08:00,open,-0.0675928115416733,174.91867200000002,174.91867200000002,180.0,180.0,11889.113729776636,6000.0,17889.113729776636,265.52772156755583,264.0,21,2284.6005163672507,2835.1282379348067,534.0277215675558,528.0,42,4594.774516367252,5698.802237934808,12190.311491841829,12190.311491841829,zscore_exit,43
3510,2026-06-23 21:30:00+08:00,2.794238342068315,3511,2026-06-23 21:31:00+08:00,open,1,2.595478187990992,short_tsm_long_qff,166.331376,166.331376,168.5,168.5,False,-6078.227838384503,6000.0,3,2.9673590504451037,1000000.0,1011000.0,2000.0,252.75000000000006,264.0,21,2174.6610000000005,2712.4110000000005,3539,2026-06-23 21:59:00+08:00,0.1163281397544393,3540,2026-06-23 22:00:00+08:00,open,-0.0444247776762569,167.29107,167.29107,172.0,172.0,-5833.2387871304845,21000.0,15166.761212869515,254.20830969678266,264.0,21,2187.208296631118,2726.416606327901,506.95830969678275,528.0,42,4361.869296631119,5438.827606327901,9727.933606541614,9727.933606541614,zscore_exit,29
3900,2026-06-24 21:30:00+08:00,2.7242892882437912,3901,2026-06-24 21:31:00+08:00,open,1,2.459640346373261,short_tsm_long_qff,172.207755,172.207755,174.0,174.0,False,-6062.44474878614,6000.0,3,2.8735632183908044,1000000.0,1044000.0,2000.0,261.00000000000006,264.0,21,2245.6440000000007,2791.6440000000007,3913,2026-06-24 21:43:00+08:00,-0.5991673514812353,3914,2026-06-24 21:44:00+08:00,open,-0.2197946807162994,167.9046,167.9046,172.0,172.0,26087.639432962846,-12000.0,14087.639432962846,254.4780901417593,264.0,21,2189.529487579697,2729.0075777214565,515.4780901417594,528.0,42,4435.173487579697,5520.651577721457,8566.987855241388,8566.987855241388,zscore_exit,13
3951,2026-06-24 22:21:00+08:00,2.4812993177748828,3952,2026-06-24 22:22:00+08:00,open,1,2.293568690956189,short_tsm_long_qff,173.25672,173.25672,175.5,175.5,False,-6077.686337361113,6000.0,3,2.849002849002849,1000000.0,1053000.0,2000.0,263.25,264.0,21,2265.003,2813.253,4172,2026-06-25 02:02:00+08:00,-0.0616933207408379,4173,2026-06-25 02:03:00+08:00,open,-0.1509145185454217,175.44085,175.44085,179.5,179.5,-13274.457060020592,24000.0,10725.542939979408,266.5686142650051,264.0,21,2293.556357136104,2845.124971401109,529.8186142650052,528.0,42,4558.559357136104,5658.377971401109,5067.1649685782995,5067.1649685782995,zscore_exit,221
