horizon,objective,feature,gain,weight,cover
1,reg:pseudohubererror,spread,0.3626779317855835,166.0,1729.5150146484375
1,reg:pseudohubererror,spread_zscore_67,0.5215854644775391,101.0,1572.339599609375
1,reg:pseudohubererror,spread_change_1,0.8352373838424683,177.0,2176.3408203125
1,reg:pseudohubererror,spread_change_4,0.5095757246017456,170.0,2168.42822265625
1,reg:pseudohubererror,spread_change_16,0.2999502420425415,85.0,1706.752197265625
1,reg:pseudohubererror,spread_vol_16,0.29586008191108704,65.0,1341.544189453125
1,reg:pseudohubererror,spread_vol_67,0.2904556691646576,108.0,1611.7249755859375
1,reg:pseudohubererror,tsm_fair_return_4,0.3407256305217743,119.0,1803.2493896484375
1,reg:pseudohubererror,tsm_fair_return_16,0.3291623592376709,63.0,1380.76904296875
1,reg:pseudohubererror,qff_return_4,0.4007798731327057,170.0,2075.103271484375
1,reg:pseudohubererror,qff_return_16,0.3363063633441925,122.0,1650.5771484375
1,reg:pseudohubererror,is_day_session,0.3945223093032837,13.0,317.59039306640625
1,reg:pseudohubererror,session_progress,0.4220176637172699,141.0,1695.884765625
1,reg:pseudohubererror,qff_was_filled,0.0,0.0,0.0
2,reg:pseudohubererror,spread,0.6487874984741211,163.0,1582.2296142578125
2,reg:pseudohubererror,spread_zscore_67,0.7873058915138245,112.0,1741.607421875
2,reg:pseudohubererror,spread_change_1,1.3621711730957031,132.0,2385.67529296875
2,reg:pseudohubererror,spread_change_4,0.9805667400360107,154.0,1870.318603515625
2,reg:pseudohubererror,spread_change_16,0.46141278743743896,57.0,1548.8055419921875
2,reg:pseudohubererror,spread_vol_16,0.477792352437973,80.0,1617.9866943359375
2,reg:pseudohubererror,spread_vol_67,0.5470452308654785,163.0,1793.2176513671875
2,reg:pseudohubererror,tsm_fair_return_4,0.5354575514793396,145.0,1821.4737548828125
2,reg:pseudohubererror,tsm_fair_return_16,0.48652997612953186,72.0,1194.1173095703125
2,reg:pseudohubererror,qff_return_4,0.6087985038757324,136.0,1870.6695556640625
2,reg:pseudohubererror,qff_return_16,0.552117645740509,126.0,1626.422119140625
2,reg:pseudohubererror,is_day_session,0.514535129070282,15.0,813.222900390625
2,reg:pseudohubererror,session_progress,0.7502861022949219,145.0,1579.9647216796875
2,reg:pseudohubererror,qff_was_filled,0.0,0.0,0.0
4,reg:pseudohubererror,spread,1.3146103620529175,187.0,1681.8885498046875
4,reg:pseudohubererror,spread_zscore_67,1.6803399324417114,108.0,1679.356201171875
4,reg:pseudohubererror,spread_change_1,1.7602019309997559,94.0,2186.19287109375
4,reg:pseudohubererror,spread_change_4,2.158482313156128,103.0,2136.64990234375
4,reg:pseudohubererror,spread_change_16,0.9020614624023438,42.0,1139.6767578125
4,reg:pseudohubererror,spread_vol_16,0.9270538687705994,129.0,1607.98681640625
4,reg:pseudohubererror,spread_vol_67,1.1228201389312744,267.0,1620.794921875
4,reg:pseudohubererror,tsm_fair_return_4,0.8044059872627258,129.0,1868.4232177734375
4,reg:pseudohubererror,tsm_fair_return_16,0.8307178020477295,52.0,1192.6483154296875
4,reg:pseudohubererror,qff_return_4,1.0363764762878418,105.0,1582.09326171875
4,reg:pseudohubererror,qff_return_16,0.8727416396141052,120.0,1625.559814453125
4,reg:pseudohubererror,is_day_session,1.051211953163147,9.0,912.0747680664062
4,reg:pseudohubererror,session_progress,1.3483617305755615,155.0,1368.6328125
4,reg:pseudohubererror,qff_was_filled,0.0,0.0,0.0
8,reg:pseudohubererror,spread,2.5666720867156982,270.0,1688.9569091796875
8,reg:pseudohubererror,spread_zscore_67,3.2126846313476562,100.0,1614.52294921875
8,reg:pseudohubererror,spread_change_1,2.6146657466888428,65.0,2051.293212890625
8,reg:pseudohubererror,spread_change_4,2.4635534286499023,90.0,1993.0535888671875
8,reg:pseudohubererror,spread_change_16,1.921790599822998,73.0,1580.57421875
8,reg:pseudohubererror,spread_vol_16,1.7760570049285889,122.0,1159.44873046875
8,reg:pseudohubererror,spread_vol_67,2.2714498043060303,301.0,1638.2518310546875
8,reg:pseudohubererror,tsm_fair_return_4,1.6076375246047974,85.0,1928.385986328125
8,reg:pseudohubererror,tsm_fair_return_16,1.4635204076766968,95.0,1276.5933837890625
8,reg:pseudohubererror,qff_return_4,1.3560255765914917,61.0,1575.582275390625
8,reg:pseudohubererror,qff_return_16,1.5269904136657715,80.0,1618.127685546875
8,reg:pseudohubererror,is_day_session,1.2447350025177002,10.0,1197.3302001953125
8,reg:pseudohubererror,session_progress,2.436800241470337,148.0,860.52880859375
8,reg:pseudohubererror,qff_was_filled,0.0,0.0,0.0
