horizon,split,objective,rows,timestamp_start,timestamp_end,target_timestamp_start,target_timestamp_end,mae,rmse,r2,median_absolute_error,pearson_ic,spearman_ic,directional_accuracy,actual_convergence_mean,expected_convergence_mean,actual_convergence_hit_rate,high_convergence_rows,high_convergence_actual_mean,high_convergence_hit_rate
1,train,reg:pseudohubererror,3632,2026-03-13 00:10:00+08:00,2026-06-02 03:25:00+08:00,2026-03-13 00:25:00+08:00,2026-06-02 03:40:00+08:00,0.1780729466803446,0.23944379559213236,0.1684599781249877,0.14066711048255875,0.4387748328433636,0.39753019629715475,0.637114537444934,0.02861180028273426,0.02739469194683995,0.5468061674008811,364,0.27177439371532824,0.8598901098901099
1,test,reg:pseudohubererror,1000,2026-06-02 03:55:00+08:00,2026-06-24 02:25:00+08:00,2026-06-02 04:10:00+08:00,2026-06-24 02:40:00+08:00,0.18708401221388854,0.2564373218261629,0.0091400668984144,0.14314801151211132,0.16405708717912268,0.1785858345858346,0.569,0.017431644813538313,0.02808685477997642,0.525,100,0.06695951833081425,0.62
2,train,reg:pseudohubererror,3631,2026-03-13 00:10:00+08:00,2026-06-02 03:10:00+08:00,2026-03-13 00:40:00+08:00,2026-06-02 03:40:00+08:00,0.22322351996908488,0.30368189699894055,0.18012555029674704,0.17109598583923713,0.4554756050126826,0.41923177395509004,0.6408702836684109,0.04449841901910926,0.04088144166595789,0.5538419168273203,364,0.3352034280482866,0.8351648351648352
2,test,reg:pseudohubererror,1000,2026-06-02 03:55:00+08:00,2026-06-24 02:25:00+08:00,2026-06-02 04:25:00+08:00,2026-06-24 02:55:00+08:00,0.2502388696096939,0.33683738063676794,-0.013352968371777685,0.19552161399127232,0.12888614133591103,0.12813550413550415,0.538,0.026574413662025904,0.0369699562851456,0.518,100,0.07964499177622977,0.58
4,train,reg:pseudohubererror,3629,2026-03-13 00:10:00+08:00,2026-06-02 02:40:00+08:00,2026-03-13 01:10:00+08:00,2026-06-02 03:40:00+08:00,0.28220912487636124,0.385142346709414,0.20523615069301993,0.21433390792075357,0.4893835874995134,0.4669843965351879,0.6607880958941857,0.06370610342252427,0.058354092136611004,0.5621383301184899,363,0.42721818491179175,0.8429752066115702
4,test,reg:pseudohubererror,1000,2026-06-02 03:55:00+08:00,2026-06-24 02:25:00+08:00,2026-06-02 04:55:00+08:00,2026-06-24 03:25:00+08:00,0.34308752496760253,0.4497071347289944,-0.002248722326830377,0.2733236620621211,0.14411681623586564,0.13103215103215105,0.538,0.051674144694772155,0.041119452122835354,0.508,100,0.1475777553255544,0.61
8,train,reg:pseudohubererror,3625,2026-03-13 00:10:00+08:00,2026-06-02 01:40:00+08:00,2026-03-13 02:10:00+08:00,2026-06-02 03:40:00+08:00,0.3596255558249223,0.48355567790911896,0.24919074175140932,0.2790243350959756,0.5400798392932277,0.5164163629074078,0.6711724137931034,0.09135885263338014,0.08380040493376296,0.5682758620689655,363,0.6352734687150221,0.9035812672176309
8,test,reg:pseudohubererror,1000,2026-06-02 03:55:00+08:00,2026-06-24 02:25:00+08:00,2026-06-02 09:30:00+08:00,2026-06-24 04:25:00+08:00,0.47995703431075776,0.6187981525396519,-0.00035467370050468183,0.3949513323028526,0.15528811209650578,0.13394526194526193,0.547,0.08616260325977589,0.05312313384900335,0.539,100,0.21082183492153056,0.67
16,train,reg:pseudohubererror,3617,2026-03-13 00:10:00+08:00,2026-06-01 23:40:00+08:00,2026-03-13 04:10:00+08:00,2026-06-02 03:40:00+08:00,0.4592292423716856,0.5917934476584795,0.33943927562689735,0.3793981942738629,0.6159512967667805,0.5805865323261875,0.689798175283384,0.11824537773560947,0.12026191554102109,0.573126900746475,362,0.8570773227630234,0.9116022099447514
16,test,reg:pseudohubererror,1000,2026-06-02 03:55:00+08:00,2026-06-24 02:25:00+08:00,2026-06-02 11:30:00+08:00,2026-06-24 10:00:00+08:00,0.6370892611252309,0.8004811907929232,0.005396759547867225,0.5722377409879611,0.17689417341642105,0.16654107454107456,0.579,0.13805763579867322,0.056276558692043184,0.561,100,0.2620141139910617,0.63
26,train,reg:pseudohubererror,3607,2026-03-13 00:10:00+08:00,2026-06-01 21:10:00+08:00,2026-03-13 10:15:00+08:00,2026-06-02 03:40:00+08:00,0.5260733377417407,0.678090690019647,0.4124226804354465,0.42071897152995064,0.6606853481713093,0.6306056981468093,0.7058497366232326,0.1646634706059924,0.1751935792264072,0.5871915719434433,361,1.1355031940519023,0.9722991689750693
26,test,reg:pseudohubererror,1000,2026-06-02 03:55:00+08:00,2026-06-24 02:25:00+08:00,2026-06-02 17:40:00+08:00,2026-06-24 12:30:00+08:00,0.7876871410504472,0.9903664410389726,-0.12265789750397693,0.649624439480796,0.03000285231739534,0.04972599187516986,0.526,0.12978390882135074,0.051270406901487146,0.557,100,-0.051659018466191,0.43
